Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
P. Mota,Leixões SC,2,7,2,2,0,216,5,
Kaka,Académica Coimbra,0,0,0,0,0,0,0,
R. Alves,Chaves,5,33,4,18,1,450,24,
H. Basto,CD Trofense,4,18,1,5,1,257,9,
R. Rossi,CD Mafra,4,26,6,12,0,450,18,
Simãozinho,Leixões SC,6,18,8,5,0,360,20,
Carraça,Chaves,7,7,6,7,3,450,20,
Talocha,Varzim SC,6,14,8,4,4,442,13,
J. Miguel,Penafiel,6,20,3,8,1,270,14,
B. Silva,Feirense,21,9,4,9,1,402,40,
B. Pereira,Penafiel,0,3,0,2,0,84,5,
J. Oliveira,Feirense,0,0,0,0,0,66,4,
DGD. Gomes,CD Trofense,0,0,0,0,0,0,0,
ZRZ. Ricardo,Feirense,6,4,3,1,0,121,11,
A. Correia,Académico Viseu FC,9,21,7,5,1,450,16,
Chicao,Leixões SC,3,3,2,4,0,103,10,
N. Michelis,Académico Viseu FC,4,24,9,8,0,360,14,
B. Rodrigues,Chaves,10,25,3,5,1,450,18,
T. Almeida,Chaves,0,0,0,0,0,0,0,
T. Domingos,Académico Viseu FC,5,16,4,3,1,420,12,
P. Rosas,Casa Pia,9,18,5,7,2,379,19,
R. Pereira,Académico Viseu FC,1,10,0,3,0,90,4,
A. Romero,Chaves,11,3,5,0,1,449,17,
J. Wynder,Benfica B U21,6,11,6,11,0,299,20,
D. Spencer,Benfica B U21,2,3,0,0,0,165,3,
I. Milioransa,Académico Viseu FC,1,4,4,2,0,214,8,
EFE. Fernandes,Feirense,7,24,4,9,1,316,20,
GBG. Brás,FC Porto B,0,0,0,0,0,0,0,
G. Negrao,Penafiel,0,0,0,0,0,14,1,
A. Ribeiro,FC Porto B,6,14,4,5,1,341,12,
L. Gomes,FC Porto B,2,11,0,2,0,110,4,
J. Fonseca,Benfica B U21,0,0,0,0,0,0,0,
D. Rodrigues,FC Porto B,2,2,0,1,1,237,6,
LML. Martins,Benfica B U21,0,0,0,0,0,1,1,
J. Lomboto,Rio Ave,4,21,5,7,0,283,13,
T. Parente,Benfica B U21,0,0,0,0,0,0,0,
MCM. Cunha,FC Porto B,2,4,0,1,1,75,5,
B. Junior,CD Mafra,5,7,5,3,0,335,18,
K. Henrique,FC Porto B,2,4,2,0,0,286,6,
F. Sousa,FC Porto B,0,0,0,0,0,0,0,
A. Silva,SC Farense,3,10,0,2,0,205,7,
