Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
P. Mota,Leixões SC,68,55,8,0,21,0,216,0,
Kaka,Académica Coimbra,0,0,0,0,0,0,0,0,
R. Alves,Chaves,161,127,32,0,2,0,450,1,
H. Basto,CD Trofense,82,63,9,0,0,0,257,0,
R. Rossi,CD Mafra,206,169,39,0,0,0,450,2,
Simãozinho,Leixões SC,145,92,17,0,25,0,360,4,
Carraça,Chaves,188,150,15,1,44,0,450,5,
Talocha,Varzim SC,123,82,26,2,32,3,442,6,
J. Miguel,Penafiel,87,63,20,0,0,0,270,0,
B. Silva,Feirense,163,133,11,0,21,0,402,6,
B. Pereira,Penafiel,32,22,7,0,4,0,84,1,
J. Oliveira,Feirense,12,10,0,0,1,0,66,0,
DGD. Gomes,CD Trofense,0,0,0,0,0,0,0,0,
ZRZ. Ricardo,Feirense,18,12,7,0,0,0,121,1,
A. Correia,Académico Viseu FC,272,236,50,1,2,1,450,3,
Chicao,Leixões SC,46,31,13,0,0,0,103,0,
N. Michelis,Académico Viseu FC,170,134,42,0,0,0,360,0,
B. Rodrigues,Chaves,224,189,35,0,0,0,450,1,
T. Almeida,Chaves,0,0,0,0,0,0,0,0,
T. Domingos,Académico Viseu FC,159,111,17,0,22,0,420,1,
P. Rosas,Casa Pia,104,87,14,2,27,3,379,11,
R. Pereira,Académico Viseu FC,26,18,8,0,0,0,90,0,
A. Romero,Chaves,198,167,19,0,17,0,449,4,
J. Wynder,Benfica B U21,221,196,25,0,0,0,299,2,
D. Spencer,Benfica B U21,60,45,8,0,5,0,165,1,
I. Milioransa,Académico Viseu FC,76,52,12,1,8,1,214,6,
EFE. Fernandes,Feirense,144,115,36,1,2,0,316,3,
GBG. Brás,FC Porto B,0,0,0,0,0,0,0,0,
G. Negrao,Penafiel,6,4,0,0,0,0,14,0,
A. Ribeiro,FC Porto B,207,179,37,0,2,0,341,0,
L. Gomes,FC Porto B,63,46,20,0,0,0,110,0,
J. Fonseca,Benfica B U21,0,0,0,0,0,0,0,0,
D. Rodrigues,FC Porto B,80,50,20,0,23,1,237,5,
LML. Martins,Benfica B U21,0,0,0,0,0,0,1,0,
J. Lomboto,Rio Ave,103,80,14,0,0,0,283,0,
T. Parente,Benfica B U21,0,0,0,0,0,0,0,0,
MCM. Cunha,FC Porto B,30,21,7,0,1,0,75,0,
B. Junior,CD Mafra,115,82,24,0,18,0,335,3,
K. Henrique,FC Porto B,102,82,16,1,4,0,286,2,
F. Sousa,FC Porto B,0,0,0,0,0,0,0,0,
A. Silva,SC Farense,105,91,12,0,0,0,205,0,
