Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
F. Vaz,CD Trofense,7,59,1982,0,,0,0,0.0,,0.0,2,1,1,0,0,3,34,26,3,9,0,1,Forward
Z. Manuel,Varzim SC,4,292,1983,0,7.0,3,0,0.0,,0.0,0,3,1,1,1,7,60,37,0,2,0,4,Forward
R. Valente,Leixões SC,4,249,1984,0,3.0,2,0,0.0,,0.0,2,3,0,4,0,10,52,37,3,0,0,0,Forward
Xavier,Académica Coimbra,4,108,1985,0,2.0,1,0,0.0,,0.0,1,2,0,0,1,3,22,17,3,6,0,1,Forward
A. Kamara,CD Mafra,1,6,1986,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
R. Alves,Penafiel,5,344,1987,0,8.0,4,2,0.0,,0.0,6,1,1,0,0,19,135,106,10,15,0,5,Forward
A. Carter,SC Farense,4,334,1988,1,7.0,2,1,0.0,,0.0,0,5,0,13,3,18,79,52,6,0,0,4,Forward
Roberto,Chaves,5,337,1989,0,9.0,3,0,0.0,,0.0,1,4,0,9,2,15,67,39,0,0,0,4,Forward
W. Carvalho,Chaves,4,89,1990,0,4.0,2,0,0.0,,0.0,3,1,0,3,0,14,25,19,3,1,0,2,Forward
A. Rodrigues,Chaves,2,161,1991,0,2.0,0,0,0.0,,0.0,4,1,0,3,1,14,44,38,3,0,1,1,Forward
A. Clóvis,Académico Viseu FC,4,197,1992,0,7.0,2,0,0.0,,0.0,0,2,0,6,5,11,40,26,1,2,0,1,Forward
N. Mortimer,Académico Viseu FC,2,57,1993,0,,0,0,0.0,,0.0,0,1,0,0,0,1,14,12,2,0,0,2,Forward
A. Schutte,Penafiel,1,1,1994,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
Reinaldo,Chaves,3,20,1995,0,1.0,0,0,0.0,,0.0,1,0,0,1,1,4,6,3,0,0,0,0,Forward
X. Skuka,Penafiel,2,0,1996,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
A. Liberal,SC Covilhã,2,8,1997,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,1,0,0,Forward
Paulité,Leixões SC,2,93,1998,0,,0,0,0.0,,0.0,0,0,0,1,0,3,10,7,1,3,0,1,Forward
T. Monteiro,Rio Ave,6,450,1999,0,9.0,4,2,0.0,,0.0,1,6,1,19,2,33,92,66,3,0,1,6,Forward
LGL. Gabriel,Académico Viseu FC,3,61,2000,0,1.0,1,0,0.0,,0.0,1,1,0,0,0,7,20,16,2,12,2,2,Forward
Werton,Leixões SC,2,135,2001,0,3.0,2,1,0.0,,0.0,0,0,1,0,0,7,34,27,3,4,1,1,Forward
RMR. Matos,CD Mafra,2,9,2002,0,1.0,1,0,0.0,,0.0,0,1,0,4,0,4,3,2,0,0,0,0,Forward
LVL. Vonić,FC Porto B,3,213,2003,0,6.0,5,3,0.0,,0.0,5,1,0,2,0,12,44,34,3,0,1,3,Forward
RRR. Rego,Benfica B U21,1,5,2004,0,,0,0,0.0,,0.0,0,1,0,0,0,0,1,0,0,0,0,0,Forward
T. Andrade,FC Porto B,5,193,2005,0,2.0,2,0,0.0,,0.0,1,3,1,2,0,13,70,44,12,14,0,1,Forward
DSD. Silva,Varzim SC,5,86,2006,0,2.0,1,0,0.0,,0.0,2,0,1,1,0,9,29,20,2,6,0,3,Forward
JMJ. Marques,CD Mafra,2,23,2007,0,,0,0,0.0,,0.0,1,0,0,0,0,3,7,4,1,8,0,2,Forward
TMT. Melnichenko,FC Porto B,4,267,2008,1,5.0,1,1,0.0,,0.0,1,5,0,9,3,22,60,36,3,2,1,4,Forward
J. Silva,SC Covilhã,3,15,2009,0,1.0,0,0,0.0,,0.0,1,0,0,0,0,2,6,3,1,1,0,0,Forward
A. Rehmi,Rio Ave,4,22,2010,0,,0,0,0.0,,0.0,0,0,0,1,0,2,6,6,0,13,0,0,Forward
A. Candé,FC Porto B,5,163,2011,0,3.0,1,0,0.0,,0.0,0,3,1,1,1,5,15,9,0,0,0,1,Forward
CSC. Santana,CF Estrela Amadora,2,45,2012,0,1.0,0,0,0.0,,0.0,4,0,1,1,0,8,22,19,3,1,0,1,Forward
JLJ. Leal,Penafiel,1,0,2013,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Forward
JLJ. Layn Saint-Louis,Feirense,3,10,2014,0,,0,0,0.0,,0.0,0,1,0,0,0,0,4,1,0,0,0,0,Forward
B. Caicedo,FC Porto B,2,9,2015,0,,0,0,0.0,,0.0,0,0,0,0,0,0,6,4,0,0,0,0,Forward
