Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
F. Vaz,CD Trofense,0,0,,0,0,59,0.0,,0.0,
Z. Manuel,Varzim SC,0,0,7.0,3,0,292,0.0,,0.0,
R. Valente,Leixões SC,0,0,3.0,2,0,249,0.0,,0.0,
Xavier,Académica Coimbra,0,0,2.0,1,0,108,0.0,,0.0,
A. Kamara,CD Mafra,0,0,,0,0,6,0.0,,0.0,
R. Alves,Penafiel,0,0,8.0,4,2,344,0.0,,0.0,
A. Carter,SC Farense,1,0,7.0,2,1,334,0.0,,0.0,
Roberto,Chaves,0,0,9.0,3,0,337,0.0,,0.0,
W. Carvalho,Chaves,0,0,4.0,2,0,89,0.0,,0.0,
A. Rodrigues,Chaves,0,1,2.0,0,0,161,0.0,,0.0,
A. Clóvis,Académico Viseu FC,0,0,7.0,2,0,197,0.0,,0.0,
N. Mortimer,Académico Viseu FC,0,0,,0,0,57,0.0,,0.0,
A. Schutte,Penafiel,0,0,,0,0,1,0.0,,0.0,
Reinaldo,Chaves,0,0,1.0,0,0,20,0.0,,0.0,
X. Skuka,Penafiel,0,0,,0,0,0,0.0,,0.0,
A. Liberal,SC Covilhã,0,0,,0,0,8,0.0,,0.0,
Paulité,Leixões SC,0,0,,0,0,93,0.0,,0.0,
T. Monteiro,Rio Ave,0,1,9.0,4,2,450,0.0,,0.0,
LGL. Gabriel,Académico Viseu FC,0,2,1.0,1,0,61,0.0,,0.0,
Werton,Leixões SC,0,1,3.0,2,1,135,0.0,,0.0,
RMR. Matos,CD Mafra,0,0,1.0,1,0,9,0.0,,0.0,
LVL. Vonić,FC Porto B,0,1,6.0,5,3,213,0.0,,0.0,
RRR. Rego,Benfica B U21,0,0,,0,0,5,0.0,,0.0,
T. Andrade,FC Porto B,0,0,2.0,2,0,193,0.0,,0.0,
DSD. Silva,Varzim SC,0,0,2.0,1,0,86,0.0,,0.0,
JMJ. Marques,CD Mafra,0,0,,0,0,23,0.0,,0.0,
TMT. Melnichenko,FC Porto B,1,1,5.0,1,1,267,0.0,,0.0,
J. Silva,SC Covilhã,0,0,1.0,0,0,15,0.0,,0.0,
A. Rehmi,Rio Ave,0,0,,0,0,22,0.0,,0.0,
A. Candé,FC Porto B,0,0,3.0,1,0,163,0.0,,0.0,
CSC. Santana,CF Estrela Amadora,0,0,1.0,0,0,45,0.0,,0.0,
JLJ. Leal,Penafiel,0,0,,0,0,0,0.0,,0.0,
JLJ. Layn Saint-Louis,Feirense,0,0,,0,0,10,0.0,,0.0,
B. Caicedo,FC Porto B,0,0,,0,0,9,0.0,,0.0,
