Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
F. Vaz,CD Trofense,7,0,59,0,0,
Z. Manuel,Varzim SC,4,0,292,0,0,
R. Valente,Leixões SC,4,0,249,0,0,
Xavier,Académica Coimbra,4,0,108,0,0,
A. Kamara,CD Mafra,1,0,6,0,0,
R. Alves,Penafiel,5,2,344,0,0,
A. Carter,SC Farense,4,1,334,0,0,
Roberto,Chaves,5,0,337,0,0,
W. Carvalho,Chaves,4,0,89,0,0,
A. Rodrigues,Chaves,2,0,161,0,0,
A. Clóvis,Académico Viseu FC,4,0,197,0,0,
N. Mortimer,Académico Viseu FC,2,0,57,0,0,
A. Schutte,Penafiel,1,0,1,0,0,
Reinaldo,Chaves,3,0,20,0,0,
X. Skuka,Penafiel,2,0,0,0,0,
A. Liberal,SC Covilhã,2,0,8,0,0,
Paulité,Leixões SC,2,0,93,0,0,
T. Monteiro,Rio Ave,6,2,450,0,0,
LGL. Gabriel,Académico Viseu FC,3,0,61,0,0,
Werton,Leixões SC,2,1,135,0,0,
RMR. Matos,CD Mafra,2,0,9,0,0,
LVL. Vonić,FC Porto B,3,3,213,0,0,
RRR. Rego,Benfica B U21,1,0,5,0,0,
T. Andrade,FC Porto B,5,0,193,0,0,
DSD. Silva,Varzim SC,5,0,86,0,0,
JMJ. Marques,CD Mafra,2,0,23,0,0,
TMT. Melnichenko,FC Porto B,4,1,267,0,0,
J. Silva,SC Covilhã,3,0,15,0,0,
A. Rehmi,Rio Ave,4,0,22,0,0,
A. Candé,FC Porto B,5,0,163,0,0,
CSC. Santana,CF Estrela Amadora,2,0,45,0,0,
JLJ. Leal,Penafiel,1,0,0,0,0,
JLJ. Layn Saint-Louis,Feirense,3,0,10,0,0,
B. Caicedo,FC Porto B,2,0,9,0,0,
