Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
F. Vaz,CD Trofense,2,1,1,0,0,59,3,
Z. Manuel,Varzim SC,0,3,1,1,1,292,7,
R. Valente,Leixões SC,2,3,0,4,0,249,10,
Xavier,Académica Coimbra,1,2,0,0,1,108,3,
A. Kamara,CD Mafra,0,0,0,0,0,6,0,
R. Alves,Penafiel,6,1,1,0,0,344,19,
A. Carter,SC Farense,0,5,0,13,3,334,18,
Roberto,Chaves,1,4,0,9,2,337,15,
W. Carvalho,Chaves,3,1,0,3,0,89,14,
A. Rodrigues,Chaves,4,1,0,3,1,161,14,
A. Clóvis,Académico Viseu FC,0,2,0,6,5,197,11,
N. Mortimer,Académico Viseu FC,0,1,0,0,0,57,1,
A. Schutte,Penafiel,0,0,0,0,0,1,0,
Reinaldo,Chaves,1,0,0,1,1,20,4,
X. Skuka,Penafiel,0,0,0,0,0,0,0,
A. Liberal,SC Covilhã,0,0,0,0,0,8,0,
Paulité,Leixões SC,0,0,0,1,0,93,3,
T. Monteiro,Rio Ave,1,6,1,19,2,450,33,
LGL. Gabriel,Académico Viseu FC,1,1,0,0,0,61,7,
Werton,Leixões SC,0,0,1,0,0,135,7,
RMR. Matos,CD Mafra,0,1,0,4,0,9,4,
LVL. Vonić,FC Porto B,5,1,0,2,0,213,12,
RRR. Rego,Benfica B U21,0,1,0,0,0,5,0,
T. Andrade,FC Porto B,1,3,1,2,0,193,13,
DSD. Silva,Varzim SC,2,0,1,1,0,86,9,
JMJ. Marques,CD Mafra,1,0,0,0,0,23,3,
TMT. Melnichenko,FC Porto B,1,5,0,9,3,267,22,
J. Silva,SC Covilhã,1,0,0,0,0,15,2,
A. Rehmi,Rio Ave,0,0,0,1,0,22,2,
A. Candé,FC Porto B,0,3,1,1,1,163,5,
CSC. Santana,CF Estrela Amadora,4,0,1,1,0,45,8,
JLJ. Leal,Penafiel,0,0,0,0,0,0,0,
JLJ. Layn Saint-Louis,Feirense,0,1,0,0,0,10,0,
B. Caicedo,FC Porto B,0,0,0,0,0,9,0,
