Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,Position
Vozinha,Chaves,5,450,2016,0,,0,0,0.0,,0.0,0,5,0,5,0,7,157,113,70,0,0,0,15,Goalkeeper
B. Brígido,CF Estrela Amadora,1,90,2017,0,,0,0,0.0,,0.0,0,0,0,0,0,0,27,21,12,0,0,0,1,Goalkeeper
P. Silva,CD Mafra,1,0,2018,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Fraisl,CD Mafra,5,450,2019,0,,0,0,0.0,,0.0,0,6,0,2,0,3,147,97,91,0,0,0,16,Goalkeeper
I. Stefanović,Leixões SC,4,180,2020,0,,0,0,0.0,,0.0,0,3,0,2,0,2,36,19,20,0,0,0,1,Goalkeeper
M. Oliveira,Penafiel,3,0,2021,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
NMN. Macedo,Académica Coimbra,2,90,2022,0,,0,0,0.0,,0.0,0,0,0,0,0,0,38,28,11,0,0,0,3,Goalkeeper
M. Ángel Morro,Leixões SC,1,0,2023,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
D. Gril,Académico Viseu FC,3,180,2024,0,,0,0,0.0,,0.0,0,4,0,2,0,2,72,42,42,0,0,0,6,Goalkeeper
FLF. Lemos,CD Mafra,2,0,2025,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Baldé,Penafiel,3,270,2026,0,,0,0,0.0,,0.0,0,6,0,1,0,1,70,43,37,0,0,0,8,Goalkeeper
G. Tabuaço,Leixões SC,5,450,2027,0,,0,0,0.0,,0.0,0,13,1,6,0,8,168,124,74,0,0,1,12,Goalkeeper
G. Ribeiro,FC Porto B,5,450,2028,0,,0,0,0.0,,0.0,1,24,0,1,0,4,130,86,62,0,0,0,10,Goalkeeper
D. Fernandes,FC Porto B,5,0,2029,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
M. Sampaio,Académico Viseu FC,3,90,2030,0,,0,0,0.0,,0.0,0,2,0,1,0,1,27,14,19,0,0,0,1,Goalkeeper
DFD. Ferreira,Benfica B U21,1,0,2031,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
GSG. Santos,Feirense,1,0,2032,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper
