Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
Vozinha,Chaves,0,0,,0,0,450,0.0,,0.0,
B. Brígido,CF Estrela Amadora,0,0,,0,0,90,0.0,,0.0,
P. Silva,CD Mafra,0,0,,0,0,0,0.0,,0.0,
M. Fraisl,CD Mafra,0,0,,0,0,450,0.0,,0.0,
I. Stefanović,Leixões SC,0,0,,0,0,180,0.0,,0.0,
M. Oliveira,Penafiel,0,0,,0,0,0,0.0,,0.0,
NMN. Macedo,Académica Coimbra,0,0,,0,0,90,0.0,,0.0,
M. Ángel Morro,Leixões SC,0,0,,0,0,0,0.0,,0.0,
D. Gril,Académico Viseu FC,0,0,,0,0,180,0.0,,0.0,
FLF. Lemos,CD Mafra,0,0,,0,0,0,0.0,,0.0,
M. Baldé,Penafiel,0,0,,0,0,270,0.0,,0.0,
G. Tabuaço,Leixões SC,0,0,,0,0,450,0.0,,0.0,
G. Ribeiro,FC Porto B,0,0,,0,0,450,0.0,,0.0,
D. Fernandes,FC Porto B,0,0,,0,0,0,0.0,,0.0,
M. Sampaio,Académico Viseu FC,0,0,,0,0,90,0.0,,0.0,
DFD. Ferreira,Benfica B U21,0,0,,0,0,0,0.0,,0.0,
GSG. Santos,Feirense,0,0,,0,0,0,0.0,,0.0,
