Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
Vozinha,Chaves,5,0,450,0,0,
B. Brígido,CF Estrela Amadora,1,0,90,0,0,
P. Silva,CD Mafra,1,0,0,0,0,
M. Fraisl,CD Mafra,5,0,450,0,0,
I. Stefanović,Leixões SC,4,0,180,0,0,
M. Oliveira,Penafiel,3,0,0,0,0,
NMN. Macedo,Académica Coimbra,2,0,90,0,0,
M. Ángel Morro,Leixões SC,1,0,0,0,0,
D. Gril,Académico Viseu FC,3,0,180,0,0,
FLF. Lemos,CD Mafra,2,0,0,0,0,
M. Baldé,Penafiel,3,0,270,0,0,
G. Tabuaço,Leixões SC,5,0,450,0,0,
G. Ribeiro,FC Porto B,5,0,450,0,0,
D. Fernandes,FC Porto B,5,0,0,0,0,
M. Sampaio,Académico Viseu FC,3,0,90,0,0,
DFD. Ferreira,Benfica B U21,1,0,0,0,0,
GSG. Santos,Feirense,1,0,0,0,0,
