Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
Vozinha,Chaves,0,5,0,5,0,450,7,
B. Brígido,CF Estrela Amadora,0,0,0,0,0,90,0,
P. Silva,CD Mafra,0,0,0,0,0,0,0,
M. Fraisl,CD Mafra,0,6,0,2,0,450,3,
I. Stefanović,Leixões SC,0,3,0,2,0,180,2,
M. Oliveira,Penafiel,0,0,0,0,0,0,0,
NMN. Macedo,Académica Coimbra,0,0,0,0,0,90,0,
M. Ángel Morro,Leixões SC,0,0,0,0,0,0,0,
D. Gril,Académico Viseu FC,0,4,0,2,0,180,2,
FLF. Lemos,CD Mafra,0,0,0,0,0,0,0,
M. Baldé,Penafiel,0,6,0,1,0,270,1,
G. Tabuaço,Leixões SC,0,13,1,6,0,450,8,
G. Ribeiro,FC Porto B,1,24,0,1,0,450,4,
D. Fernandes,FC Porto B,0,0,0,0,0,0,0,
M. Sampaio,Académico Viseu FC,0,2,0,1,0,90,1,
DFD. Ferreira,Benfica B U21,0,0,0,0,0,0,0,
GSG. Santos,Feirense,0,0,0,0,0,0,0,
