Name,Team,Mins,Saves,Unnamed: 3
Vozinha,Chaves,450,15,
B. Brígido,CF Estrela Amadora,90,1,
P. Silva,CD Mafra,0,0,
M. Fraisl,CD Mafra,450,16,
I. Stefanović,Leixões SC,180,1,
M. Oliveira,Penafiel,0,0,
NMN. Macedo,Académica Coimbra,90,3,
M. Ángel Morro,Leixões SC,0,0,
D. Gril,Académico Viseu FC,180,6,
FLF. Lemos,CD Mafra,0,0,
M. Baldé,Penafiel,270,8,
G. Tabuaço,Leixões SC,450,12,
G. Ribeiro,FC Porto B,450,10,
D. Fernandes,FC Porto B,0,0,
M. Sampaio,Académico Viseu FC,90,1,
DFD. Ferreira,Benfica B U21,0,0,
GSG. Santos,Feirense,0,0,
