Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
Vozinha,Chaves,157,113,70,0,0,0,450,0,
B. Brígido,CF Estrela Amadora,27,21,12,0,0,0,90,0,
P. Silva,CD Mafra,0,0,0,0,0,0,0,0,
M. Fraisl,CD Mafra,147,97,91,0,0,0,450,0,
I. Stefanović,Leixões SC,36,19,20,0,0,0,180,0,
M. Oliveira,Penafiel,0,0,0,0,0,0,0,0,
NMN. Macedo,Académica Coimbra,38,28,11,0,0,0,90,0,
M. Ángel Morro,Leixões SC,0,0,0,0,0,0,0,0,
D. Gril,Académico Viseu FC,72,42,42,0,0,0,180,0,
FLF. Lemos,CD Mafra,0,0,0,0,0,0,0,0,
M. Baldé,Penafiel,70,43,37,0,0,0,270,0,
G. Tabuaço,Leixões SC,168,124,74,0,0,0,450,1,
G. Ribeiro,FC Porto B,130,86,62,0,0,0,450,0,
D. Fernandes,FC Porto B,0,0,0,0,0,0,0,0,
M. Sampaio,Académico Viseu FC,27,14,19,0,0,0,90,0,
DFD. Ferreira,Benfica B U21,0,0,0,0,0,0,0,0,
GSG. Santos,Feirense,0,0,0,0,0,0,0,0,
