Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
M. Paulo,Académica Coimbra,6,493,2033,0,3.0,0,0,0.0,,0.0,7,16,5,6,1,24,212,174,25,3,0,5,Midfielder
A. Castro,FC Porto B,5,23,2034,0,,0,0,0.0,,0.0,0,0,0,1,0,1,26,22,4,2,0,0,Midfielder
D. Candeias,Académica Coimbra,2,172,2035,1,2.0,1,0,0.0,,0.0,2,0,1,1,1,3,57,32,6,16,2,5,Midfielder
A. Santos,Varzim SC,3,247,2036,0,,0,0,0.0,,0.0,1,1,2,2,0,9,100,70,16,1,0,4,Midfielder
A. André,Leixões SC,4,279,2037,1,,0,0,0.0,,0.0,2,3,3,4,0,17,96,86,7,1,0,2,Midfielder
J. Amorim,Leixões SC,3,0,2038,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
R. Pinto,CD Mafra,4,132,2039,0,,0,0,0.0,,0.0,1,1,0,1,0,3,49,36,8,0,0,0,Midfielder
P. Tiba,Chaves,3,0,2040,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
A. Simões,Leixões SC,4,154,2041,0,,0,0,0.0,,0.0,10,6,2,2,0,15,60,40,8,0,0,0,Midfielder
LSL. Silva,Académico Viseu FC,1,32,2042,0,,0,0,0.0,,0.0,1,0,0,2,0,3,18,17,3,0,0,0,Midfielder
VGV. Gonçalves,CD Mafra,3,143,2043,0,1.0,0,0,0.0,,0.0,1,3,0,3,1,5,51,44,5,8,0,1,Midfielder
Reko,Penafiel,3,124,2044,0,,0,0,0.0,,0.0,1,2,0,1,0,5,30,22,6,1,0,0,Midfielder
Y. Semedo,SC Farense,5,438,2045,1,12.0,3,1,0.0,,0.0,7,7,8,4,2,20,311,245,44,37,4,20,Midfielder
H. Evrard,Leixões SC,4,184,2046,0,1.0,1,0,0.0,,0.0,1,4,4,2,0,6,67,60,8,0,0,1,Midfielder
C. Kahraman,Académico Viseu FC,4,166,2047,0,2.0,1,0,0.0,,0.0,1,1,1,1,1,5,83,72,5,2,0,0,Midfielder
Paulinho,Leixões SC,3,64,2048,0,,0,0,0.0,,0.0,4,1,0,0,0,4,21,17,0,3,0,1,Midfielder
A. Ceitil,Académico Viseu FC,5,272,2049,0,1.0,0,0,0.0,,0.0,10,15,2,10,0,24,106,75,17,1,0,0,Midfielder
Ktatau,Chaves,4,57,2050,0,1.0,0,0,0.0,,0.0,1,1,0,0,1,4,23,19,0,0,0,1,Midfielder
H. Jocu,Feirense,2,29,2051,0,,0,0,0.0,,0.0,0,1,1,0,0,0,24,23,1,2,0,1,Midfielder
Robinho,Académico Viseu FC,1,90,2052,0,1.0,1,1,0.0,,0.0,0,1,2,4,0,5,33,22,2,1,0,0,Midfielder
D. Andrade,FC Porto B,3,270,2053,0,5.0,1,0,0.0,,0.0,5,10,2,7,3,19,127,104,19,1,0,2,Midfielder
S. Messeguem,Académico Viseu FC,4,241,2054,0,,0,0,0.0,,0.0,8,5,2,1,0,14,74,66,11,1,0,2,Midfielder
A. Marcus,CF Estrela Amadora,5,368,2055,1,6.0,0,0,0.0,,0.0,6,4,0,6,4,32,108,88,8,21,2,7,Midfielder
P. Pinho,Chaves,5,388,2056,0,6.0,1,1,0.0,,0.0,11,4,6,5,2,28,174,143,22,2,0,5,Midfielder
S. Koné,Académico Viseu FC,4,87,2057,0,2.0,1,0,0.0,,0.0,0,2,0,2,1,4,42,34,3,0,0,1,Midfielder
N. Félix,Benfica B U21,2,158,2058,0,1.0,0,0,0.0,,0.0,3,3,2,1,1,6,120,104,9,1,0,1,Midfielder
DPD. Prioste,Benfica B U21,1,30,2059,0,,0,0,0.0,,0.0,0,0,0,1,0,1,26,26,1,0,0,0,Midfielder
Marquinho,Académico Viseu FC,3,270,2060,1,4.0,0,0,0.0,,0.0,1,3,3,1,1,4,82,61,11,9,1,2,Midfielder
T. Ribeiro,Feirense,6,79,2061,0,1.0,0,0,0.0,,0.0,5,1,1,1,0,6,28,16,2,7,0,3,Midfielder
TdT. de Sousa Moreira,Benfica B U21,2,5,2062,0,,0,0,0.0,,0.0,0,0,0,0,0,0,3,1,0,0,0,0,Midfielder
Cascavel,Académica Coimbra,5,24,2063,0,,0,0,0.0,,0.0,1,0,0,0,0,2,11,7,1,4,0,0,Midfielder
F. França,Varzim SC,4,118,2064,0,,0,0,0.0,,0.0,3,3,3,4,0,8,44,35,6,3,0,1,Midfielder
J. Teixeira,FC Porto B,5,331,2065,1,6.0,2,0,0.0,,0.0,8,4,4,5,0,25,112,86,10,1,1,4,Midfielder
G. Sousa,FC Porto B,5,129,2066,0,,0,0,0.0,,0.0,4,1,0,1,0,8,49,35,4,6,0,1,Midfielder
K. Nagata,FC Porto B,3,220,2067,0,8.0,3,1,0.0,,0.0,3,1,0,0,3,12,53,44,5,3,0,0,Midfielder
Andrey,CD Mafra,1,0,2068,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
R. Pina,Leixões SC,5,351,2069,1,14.0,4,2,0.0,,0.0,1,1,1,3,6,13,139,112,14,4,0,5,Midfielder
A. Silva,Penafiel,2,99,2070,0,5.0,1,1,0.0,,0.0,1,2,0,0,2,5,17,10,0,2,0,2,Midfielder
S. Iheanacho,CD Mafra,5,336,2071,0,9.0,4,0,0.0,,0.0,6,2,2,4,2,18,63,41,6,2,0,4,Midfielder
B. Souza,Académica Coimbra,4,5,2072,0,,0,0,0.0,,0.0,1,0,0,0,0,1,2,2,0,0,0,0,Midfielder
Y. Maiga,CD Mafra,3,155,2073,0,1.0,0,0,0.0,,0.0,4,3,7,4,0,13,52,35,12,1,0,0,Midfielder
SPS. Popoola,Feirense,1,0,2074,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder
