Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
M. Paulo,Académica Coimbra,0,0,3.0,0,0,493,0.0,,0.0,
A. Castro,FC Porto B,0,0,,0,0,23,0.0,,0.0,
D. Candeias,Académica Coimbra,1,2,2.0,1,0,172,0.0,,0.0,
A. Santos,Varzim SC,0,0,,0,0,247,0.0,,0.0,
A. André,Leixões SC,1,0,,0,0,279,0.0,,0.0,
J. Amorim,Leixões SC,0,0,,0,0,0,0.0,,0.0,
R. Pinto,CD Mafra,0,0,,0,0,132,0.0,,0.0,
P. Tiba,Chaves,0,0,,0,0,0,0.0,,0.0,
A. Simões,Leixões SC,0,0,,0,0,154,0.0,,0.0,
LSL. Silva,Académico Viseu FC,0,0,,0,0,32,0.0,,0.0,
VGV. Gonçalves,CD Mafra,0,0,1.0,0,0,143,0.0,,0.0,
Reko,Penafiel,0,0,,0,0,124,0.0,,0.0,
Y. Semedo,SC Farense,1,4,12.0,3,1,438,0.0,,0.0,
H. Evrard,Leixões SC,0,0,1.0,1,0,184,0.0,,0.0,
C. Kahraman,Académico Viseu FC,0,0,2.0,1,0,166,0.0,,0.0,
Paulinho,Leixões SC,0,0,,0,0,64,0.0,,0.0,
A. Ceitil,Académico Viseu FC,0,0,1.0,0,0,272,0.0,,0.0,
Ktatau,Chaves,0,0,1.0,0,0,57,0.0,,0.0,
H. Jocu,Feirense,0,0,,0,0,29,0.0,,0.0,
Robinho,Académico Viseu FC,0,0,1.0,1,1,90,0.0,,0.0,
D. Andrade,FC Porto B,0,0,5.0,1,0,270,0.0,,0.0,
S. Messeguem,Académico Viseu FC,0,0,,0,0,241,0.0,,0.0,
A. Marcus,CF Estrela Amadora,1,2,6.0,0,0,368,0.0,,0.0,
P. Pinho,Chaves,0,0,6.0,1,1,388,0.0,,0.0,
S. Koné,Académico Viseu FC,0,0,2.0,1,0,87,0.0,,0.0,
N. Félix,Benfica B U21,0,0,1.0,0,0,158,0.0,,0.0,
DPD. Prioste,Benfica B U21,0,0,,0,0,30,0.0,,0.0,
Marquinho,Académico Viseu FC,1,1,4.0,0,0,270,0.0,,0.0,
T. Ribeiro,Feirense,0,0,1.0,0,0,79,0.0,,0.0,
TdT. de Sousa Moreira,Benfica B U21,0,0,,0,0,5,0.0,,0.0,
Cascavel,Académica Coimbra,0,0,,0,0,24,0.0,,0.0,
F. França,Varzim SC,0,0,,0,0,118,0.0,,0.0,
J. Teixeira,FC Porto B,1,1,6.0,2,0,331,0.0,,0.0,
G. Sousa,FC Porto B,0,0,,0,0,129,0.0,,0.0,
K. Nagata,FC Porto B,0,0,8.0,3,1,220,0.0,,0.0,
Andrey,CD Mafra,0,0,,0,0,0,0.0,,0.0,
R. Pina,Leixões SC,1,0,14.0,4,2,351,0.0,,0.0,
A. Silva,Penafiel,0,0,5.0,1,1,99,0.0,,0.0,
S. Iheanacho,CD Mafra,0,0,9.0,4,0,336,0.0,,0.0,
B. Souza,Académica Coimbra,0,0,,0,0,5,0.0,,0.0,
Y. Maiga,CD Mafra,0,0,1.0,0,0,155,0.0,,0.0,
SPS. Popoola,Feirense,0,0,,0,0,0,0.0,,0.0,
