Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
M. Paulo,Académica Coimbra,6,0,493,0,0,
A. Castro,FC Porto B,5,0,23,0,0,
D. Candeias,Académica Coimbra,2,0,172,0,0,
A. Santos,Varzim SC,3,0,247,0,0,
A. André,Leixões SC,4,0,279,0,0,
J. Amorim,Leixões SC,3,0,0,0,0,
R. Pinto,CD Mafra,4,0,132,0,0,
P. Tiba,Chaves,3,0,0,0,0,
A. Simões,Leixões SC,4,0,154,0,0,
LSL. Silva,Académico Viseu FC,1,0,32,0,0,
VGV. Gonçalves,CD Mafra,3,0,143,0,0,
Reko,Penafiel,3,0,124,0,0,
Y. Semedo,SC Farense,5,1,438,0,0,
H. Evrard,Leixões SC,4,0,184,0,0,
C. Kahraman,Académico Viseu FC,4,0,166,0,0,
Paulinho,Leixões SC,3,0,64,0,0,
A. Ceitil,Académico Viseu FC,5,0,272,0,0,
Ktatau,Chaves,4,0,57,0,0,
H. Jocu,Feirense,2,0,29,0,0,
Robinho,Académico Viseu FC,1,1,90,0,0,
D. Andrade,FC Porto B,3,0,270,0,0,
S. Messeguem,Académico Viseu FC,4,0,241,0,0,
A. Marcus,CF Estrela Amadora,5,0,368,0,0,
P. Pinho,Chaves,5,1,388,0,0,
S. Koné,Académico Viseu FC,4,0,87,0,0,
N. Félix,Benfica B U21,2,0,158,0,0,
DPD. Prioste,Benfica B U21,1,0,30,0,0,
Marquinho,Académico Viseu FC,3,0,270,0,0,
T. Ribeiro,Feirense,6,0,79,0,0,
TdT. de Sousa Moreira,Benfica B U21,2,0,5,0,0,
Cascavel,Académica Coimbra,5,0,24,0,0,
F. França,Varzim SC,4,0,118,0,0,
J. Teixeira,FC Porto B,5,0,331,0,0,
G. Sousa,FC Porto B,5,0,129,0,0,
K. Nagata,FC Porto B,3,1,220,0,0,
Andrey,CD Mafra,1,0,0,0,0,
R. Pina,Leixões SC,5,2,351,0,0,
A. Silva,Penafiel,2,1,99,0,0,
S. Iheanacho,CD Mafra,5,0,336,0,0,
B. Souza,Académica Coimbra,4,0,5,0,0,
Y. Maiga,CD Mafra,3,0,155,0,0,
SPS. Popoola,Feirense,1,0,0,0,0,
