Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
M. Paulo,Académica Coimbra,7,16,5,6,1,493,24,
A. Castro,FC Porto B,0,0,0,1,0,23,1,
D. Candeias,Académica Coimbra,2,0,1,1,1,172,3,
A. Santos,Varzim SC,1,1,2,2,0,247,9,
A. André,Leixões SC,2,3,3,4,0,279,17,
J. Amorim,Leixões SC,0,0,0,0,0,0,0,
R. Pinto,CD Mafra,1,1,0,1,0,132,3,
P. Tiba,Chaves,0,0,0,0,0,0,0,
A. Simões,Leixões SC,10,6,2,2,0,154,15,
LSL. Silva,Académico Viseu FC,1,0,0,2,0,32,3,
VGV. Gonçalves,CD Mafra,1,3,0,3,1,143,5,
Reko,Penafiel,1,2,0,1,0,124,5,
Y. Semedo,SC Farense,7,7,8,4,2,438,20,
H. Evrard,Leixões SC,1,4,4,2,0,184,6,
C. Kahraman,Académico Viseu FC,1,1,1,1,1,166,5,
Paulinho,Leixões SC,4,1,0,0,0,64,4,
A. Ceitil,Académico Viseu FC,10,15,2,10,0,272,24,
Ktatau,Chaves,1,1,0,0,1,57,4,
H. Jocu,Feirense,0,1,1,0,0,29,0,
Robinho,Académico Viseu FC,0,1,2,4,0,90,5,
D. Andrade,FC Porto B,5,10,2,7,3,270,19,
S. Messeguem,Académico Viseu FC,8,5,2,1,0,241,14,
A. Marcus,CF Estrela Amadora,6,4,0,6,4,368,32,
P. Pinho,Chaves,11,4,6,5,2,388,28,
S. Koné,Académico Viseu FC,0,2,0,2,1,87,4,
N. Félix,Benfica B U21,3,3,2,1,1,158,6,
DPD. Prioste,Benfica B U21,0,0,0,1,0,30,1,
Marquinho,Académico Viseu FC,1,3,3,1,1,270,4,
T. Ribeiro,Feirense,5,1,1,1,0,79,6,
TdT. de Sousa Moreira,Benfica B U21,0,0,0,0,0,5,0,
Cascavel,Académica Coimbra,1,0,0,0,0,24,2,
F. França,Varzim SC,3,3,3,4,0,118,8,
J. Teixeira,FC Porto B,8,4,4,5,0,331,25,
G. Sousa,FC Porto B,4,1,0,1,0,129,8,
K. Nagata,FC Porto B,3,1,0,0,3,220,12,
Andrey,CD Mafra,0,0,0,0,0,0,0,
R. Pina,Leixões SC,1,1,1,3,6,351,13,
A. Silva,Penafiel,1,2,0,0,2,99,5,
S. Iheanacho,CD Mafra,6,2,2,4,2,336,18,
B. Souza,Académica Coimbra,1,0,0,0,0,5,1,
Y. Maiga,CD Mafra,4,3,7,4,0,155,13,
SPS. Popoola,Feirense,0,0,0,0,0,0,0,
