Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
M. Paulo,Académica Coimbra,212,174,25,0,3,0,493,5,
A. Castro,FC Porto B,26,22,4,0,2,0,23,0,
D. Candeias,Académica Coimbra,57,32,6,1,16,2,172,5,
A. Santos,Varzim SC,100,70,16,0,1,0,247,4,
A. André,Leixões SC,96,86,7,1,1,0,279,2,
J. Amorim,Leixões SC,0,0,0,0,0,0,0,0,
R. Pinto,CD Mafra,49,36,8,0,0,0,132,0,
P. Tiba,Chaves,0,0,0,0,0,0,0,0,
A. Simões,Leixões SC,60,40,8,0,0,0,154,0,
LSL. Silva,Académico Viseu FC,18,17,3,0,0,0,32,0,
VGV. Gonçalves,CD Mafra,51,44,5,0,8,0,143,1,
Reko,Penafiel,30,22,6,0,1,0,124,0,
Y. Semedo,SC Farense,311,245,44,1,37,4,438,20,
H. Evrard,Leixões SC,67,60,8,0,0,0,184,1,
C. Kahraman,Académico Viseu FC,83,72,5,0,2,0,166,0,
Paulinho,Leixões SC,21,17,0,0,3,0,64,1,
A. Ceitil,Académico Viseu FC,106,75,17,0,1,0,272,0,
Ktatau,Chaves,23,19,0,0,0,0,57,1,
H. Jocu,Feirense,24,23,1,0,2,0,29,1,
Robinho,Académico Viseu FC,33,22,2,0,1,0,90,0,
D. Andrade,FC Porto B,127,104,19,0,1,0,270,2,
S. Messeguem,Académico Viseu FC,74,66,11,0,1,0,241,2,
A. Marcus,CF Estrela Amadora,108,88,8,1,21,2,368,7,
P. Pinho,Chaves,174,143,22,0,2,0,388,5,
S. Koné,Académico Viseu FC,42,34,3,0,0,0,87,1,
N. Félix,Benfica B U21,120,104,9,0,1,0,158,1,
DPD. Prioste,Benfica B U21,26,26,1,0,0,0,30,0,
Marquinho,Académico Viseu FC,82,61,11,1,9,1,270,2,
T. Ribeiro,Feirense,28,16,2,0,7,0,79,3,
TdT. de Sousa Moreira,Benfica B U21,3,1,0,0,0,0,5,0,
Cascavel,Académica Coimbra,11,7,1,0,4,0,24,0,
F. França,Varzim SC,44,35,6,0,3,0,118,1,
J. Teixeira,FC Porto B,112,86,10,1,1,1,331,4,
G. Sousa,FC Porto B,49,35,4,0,6,0,129,1,
K. Nagata,FC Porto B,53,44,5,0,3,0,220,0,
Andrey,CD Mafra,0,0,0,0,0,0,0,0,
R. Pina,Leixões SC,139,112,14,1,4,0,351,5,
A. Silva,Penafiel,17,10,0,0,2,0,99,2,
S. Iheanacho,CD Mafra,63,41,6,0,2,0,336,4,
B. Souza,Académica Coimbra,2,2,0,0,0,0,5,0,
Y. Maiga,CD Mafra,52,35,12,0,1,0,155,0,
SPS. Popoola,Feirense,0,0,0,0,0,0,0,0,
