Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
Dante,Nice,26,1966,2075,0,9.0,2,0,0.4636,0.472,0.494,32,71,34,41,3,93,1423,1263,143,2,0,4,Defender
I. Traoré,Metz,3,0,2076,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
S. Umtiti,Lille,3,0,2077,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
N. Pallois,Stade de Reims,32,2020,2078,2,3.0,1,0,0.4244,0.432,0.3679,61,155,28,20,0,95,843,707,138,7,1,3,Defender
A. Bamba,Angers,31,1520,2079,0,1.0,0,0,0.0818,0.088,0.27,22,76,19,11,0,42,560,502,55,5,0,6,Defender
A. Mandi,Lille,34,1736,2080,0,6.0,2,0,0.3409,0.342,1.2455,31,51,15,15,0,57,1146,1026,127,10,0,5,Defender
D. Appiah,Saint-Étienne,30,2124,2081,1,5.0,2,0,0.2031,0.202,2.1776,71,74,28,28,1,128,921,705,97,53,4,13,Defender
M. Colin,Metz,3,17,2082,0,,0,0,0.0,,0.0,0,4,0,1,0,1,6,5,1,0,0,0,Defender
T. Meunier,Lille,31,1951,2083,0,28.0,11,2,1.8908,1.853,2.4185,53,54,34,33,8,103,1250,1039,104,62,0,13,Defender
K. Lala,Stade Brestois,32,2685,2084,2,12.0,7,3,3.0036,0.637,4.9865,66,64,25,8,2,103,1438,1173,207,125,10,41,Defender
C. Mata,Olympique Lyonnais,31,2370,2085,4,5.0,0,0,0.2403,0.24,2.1905,41,70,46,21,3,110,1546,1393,125,38,3,11,Defender
Marquinhos,Paris Saint-Germain,27,1725,2086,0,8.0,3,2,1.0821,1.082,0.9554,30,61,11,32,0,72,1813,1724,138,3,2,9,Defender
N. Tagliafico,Olympique Lyonnais,27,1911,2087,1,28.0,7,3,3.019,3.023,1.4409,57,49,36,25,16,110,1165,1028,56,37,1,5,Defender
F. Hanin,Angers,34,2677,2088,2,11.0,1,1,0.9704,0.98,2.5283,69,78,48,19,3,130,1286,1044,145,106,4,25,Defender
C. Jullien,Montpellier,1,0,2089,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
T. Kehrer,AS Monaco,33,2376,2090,0,12.0,8,4,1.4982,1.498,0.4537,36,111,36,55,0,112,1781,1604,164,2,0,5,Defender
B. Chardonnet,Stade Brestois,31,2417,2091,0,14.0,1,1,0.7964,0.588,1.1112,46,161,29,59,5,124,1207,992,255,3,4,8,Defender
L. Hernández,Paris Saint-Germain,20,875,2092,0,3.0,0,0,0.0444,0.044,0.1641,24,34,7,13,2,48,849,782,49,2,0,1,Defender
A. Maitland-Niles,Olympique Lyonnais,34,2013,2093,4,22.0,7,1,2.9363,2.937,3.204,71,59,25,15,5,113,1031,897,72,48,7,27,Defender
H. Hateboer,Olympique Lyonnais,32,1680,2094,0,8.0,0,0,0.4295,0.429,1.4093,31,63,29,42,2,89,1035,910,88,33,2,15,Defender
J. Lefort,Angers,34,3060,2095,1,9.0,1,0,0.5644,0.566,1.1595,52,195,32,40,3,114,1721,1438,256,12,4,10,Defender
O. El Hajjam,Bordeaux,1,0,2096,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
J. Gradit,RC Lens,29,2103,2097,0,15.0,3,0,0.7597,0.762,0.9382,44,120,25,64,2,127,1315,1128,151,10,1,12,Defender
M. Niakhaté,Olympique Lyonnais,33,2725,2098,0,2.0,1,0,0.1153,0.116,1.0338,47,136,25,43,0,109,1828,1665,127,5,1,7,Defender
M. Udol,RC Lens,3,300,2099,0,3.0,2,2,0.0,,0.0,2,6,5,7,1,15,156,121,17,15,1,1,Defender
C. Arcus,Angers,30,2055,2100,1,3.0,0,0,0.039,0.039,1.4295,52,82,27,32,1,113,809,689,55,55,3,17,Defender
Adryelson,Olympique Lyonnais,3,10,2101,0,,0,0,0.0,,0.0,0,1,1,1,0,1,3,1,0,0,0,0,Defender
F. Centonze,Nantes,9,267,2102,0,,0,0,0.0,,0.3157,8,15,2,6,0,18,115,92,5,11,0,3,Defender
