Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
W. Khazri,Montpellier,31,1078,2171,1,36.0,6,1,2.3043,2.289,1.7923,25,7,5,10,15,68,285,213,31,46,3,18,Forward
W. Saïd,RC Lens,26,909,2172,0,17.0,7,3,3.1771,3.179,0.9085,15,2,2,10,3,38,232,187,7,8,3,8,Forward
N. Maupay,Olympique de Marseille,31,1051,2173,4,19.0,10,4,4.1999,4.136,1.325,9,0,2,8,4,40,293,247,10,1,4,13,Forward
L. Ajorque,Stade Brestois,31,2505,2174,2,54.0,27,13,10.5107,9.585,1.7705,26,26,6,133,6,193,660,459,33,7,3,35,Forward
B. Embolo,Stade Rennais,34,1836,2175,4,51.0,19,6,10.7015,10.774,3.6237,22,10,3,30,13,108,418,297,24,6,9,32,Forward
S. BenrahmaO,lympique Lyonnais,16,737,2176,3,17.0,4,1,1.9744,1.974,2.7249,9,2,3,0,4,23,309,245,12,43,5,15,Forward
M. Baldé,Stade Brestois,29,1184,2177,3,30.0,9,2,3.1339,2.913,1.3314,15,13,7,38,3,91,247,181,18,10,3,16,Forward
I. Cardona,Saint-Étienne,14,983,2178,2,23.0,12,5,4.4454,3.989,1.5576,7,5,3,10,4,32,341,243,12,31,1,15,Forward
F. Sotoca,RC Lens,31,1795,2179,1,47.0,18,1,4.6457,4.644,2.8445,22,23,14,44,11,101,882,691,48,75,2,18,Forward
L. Blas,Stade Rennais,29,2302,2180,8,57.0,26,6,5.0024,5.013,5.4346,38,11,13,12,14,147,806,658,63,124,8,47,Forward
O. Dembélé,Paris Saint-Germain,30,1736,2181,6,97.0,51,21,16.6116,15.795,7.1776,11,1,9,4,19,71,977,813,49,80,13,63,Forward
A. Gouiri,Olympique de Marseille,33,2088,2182,5,82.0,41,13,11.8805,11.954,3.3245,14,6,3,10,19,68,630,533,13,69,7,35,Forward
