Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
W. Khazri,Montpellier,1,3,36.0,6,1,1078,2.3043,2.289,1.7923,
W. Saïd,RC Lens,0,3,17.0,7,3,909,3.1771,3.179,0.9085,
N. Maupay,Olympique de Marseille,4,4,19.0,10,4,1051,4.1999,4.136,1.325,
L. Ajorque,Stade Brestois,2,3,54.0,27,13,2505,10.5107,9.585,1.7705,
B. Embolo,Stade Rennais,4,9,51.0,19,6,1836,10.7015,10.774,3.6237,
S. BenrahmaO,lympique Lyonnais,3,5,17.0,4,1,737,1.9744,1.974,2.7249,
M. Baldé,Stade Brestois,3,3,30.0,9,2,1184,3.1339,2.913,1.3314,
I. Cardona,Saint-Étienne,2,1,23.0,12,5,983,4.4454,3.989,1.5576,
F. Sotoca,RC Lens,1,2,47.0,18,1,1795,4.6457,4.644,2.8445,
L. Blas,Stade Rennais,8,8,57.0,26,6,2302,5.0024,5.013,5.4346,
O. Dembélé,Paris Saint-Germain,6,13,97.0,51,21,1736,16.6116,15.795,7.1776,
A. Gouiri,Olympique de Marseille,5,7,82.0,41,13,2088,11.8805,11.954,3.3245,
M. Mohamed,Nantes,0,0,43.0,16,5,1245,5.5078,5.541,0.3424,
M. Tamari,Stade Rennais,1,6,40.0,14,3,1686,4.6088,4.993,2.4538,
K. Kvaratskhelia,Paris Saint-Germain,3,9,34.0,15,4,920,3.2765,3.276,3.8109,
I. Ganago,Nantes,0,0,7.0,0,0,271,0.4046,0.404,0.1329,
M. Bayo,Lille,1,1,10.0,4,2,366,2.0306,2.225,0.1465,
Z. Davitashvili,Saint-Étienne,7,8,70.0,27,9,2698,8.142,6.661,5.5284,
F. Balogun,AS Monaco,0,3,31.0,10,4,626,4.7681,4.769,1.1492,
G. Ramos,Paris Saint-Germain,3,5,55.0,32,10,1057,13.6301,11.258,1.3454,
M. Daramy,Stade de Reims,0,0,1.0,0,0,26,0.0347,0.035,0.1556,
E. Lepaul,Stade Rennais,0,1,41.0,17,9,1629,5.2298,5.136,1.6684,
E. Wahi,Nice,1,0,17.0,11,3,575,6.0189,5.231,0.2099,
B. Barcola,Paris Saint-Germain,10,18,73.0,38,13,2180,13.5062,13.431,5.8996,
M. Abline,Nantes,2,6,74.0,27,9,2782,8.046,7.704,3.3592,
A. Sima,RC Lens,2,3,38.0,18,7,1243,6.1156,5.854,0.8321,
E. Emegha,RC Strasbourg,3,4,61.0,35,14,2302,16.5797,16.96,0.6792,
M. Cho,Nice,4,9,36.0,15,3,1635,3.9428,3.974,3.4893,
M. Biereth,AS Monaco,2,8,39.0,23,13,1229,11.1511,9.747,3.1734,
A. Bamba Dieng,Lorient,0,0,14.0,7,3,549,3.0252,2.333,0.159,
L. Stassin,Saint-Étienne,4,7,39.0,20,10,1812,6.8333,7.056,3.1076,
A. Boakye,Saint-Étienne,0,1,24.0,9,3,741,1.8739,1.829,0.9544,
D. Moreira,RC Strasbourg,7,14,25.0,8,2,2574,1.8789,2.027,7.3729,
M. Fernández,Lille,2,6,23.0,12,4,1064,2.8276,2.848,1.9208,
I. Housni,Paris Saint-Germain,0,1,5.0,0,0,243,0.2356,0.236,0.3896,
LML. Michal,AS Monaco,0,0,,0,0,16,0.0,,0.0079,
M. Luković,RC Strasbourg,0,0,,0,0,20,0.0,,0.0,
A. Salama,Stade de Reims,0,0,9.0,3,0,368,0.7589,0.706,0.1687,
H. Wendel Meister,Stade Rennais,0,1,2.0,1,1,66,0.0601,0.061,0.0387,
AGA. Gueguin,Montpellier,0,0,,0,0,22,0.0,,0.0521,
JNJ. Ndiaye,Montpellier,0,0,5.0,2,0,455,0.5102,0.497,0.5074,
M. Fofana,Olympique Lyonnais,4,6,31.0,15,5,1597,3.8602,3.844,4.3758,
E. Nuamah,Olympique Lyonnais,1,2,28.0,13,3,1065,2.1875,2.254,1.3247,
I. Salah,Stade Rennais,1,1,13.0,4,1,363,0.5828,0.582,0.387,
R. Labeau Lascary,Stade Brestois,1,2,14.0,5,2,635,2.5567,2.555,0.6017,
J. Agbonifo,RC Lens,0,0,6.0,4,1,299,0.6847,0.686,0.3708,
I. Orazi,Stade de Reims,0,0,,0,0,2,0.0,,0.0,
B. Guirassy,Nantes,0,0,7.0,4,2,357,0.7022,0.711,0.238,
YIY. Issoufou,Montpellier,0,0,2.0,0,0,82,0.061,0.061,0.0093,
ABA. Bojang,Stade de Reims,0,0,,0,0,0,0.0,,0.0,
NEN. Edjouma,Lille,0,0,4.0,2,1,149,0.9039,0.904,0.0625,
RVR. Vaz,Olympique de Marseille,0,0,,0,0,29,0.0,,0.0,
R. Fofana,RC Lens,0,0,,0,0,24,0.0,,0.0,
IMI. Mbaye,Paris Saint-Germain,1,3,12.0,7,1,336,1.6416,1.81,0.2634,
AGA. Gomes Rodriguez,Olympique Lyonnais,0,0,,0,0,19,0.0,,0.0,
N. Pays,Montpellier,0,1,11.0,1,0,444,1.3215,1.321,0.4595,
K. Abdallah,Olympique de Marseille,0,0,,0,0,9,0.0,,0.0,
QNQ. Ndjantou,Paris Saint-Germain,0,0,,0,0,0,0.0,,0.0,
EME. Molebe,Montpellier,0,0,,0,0,0,0.0,,0.0,
SDS. Diop,Stade Brestois,0,0,,0,0,10,0.0,,0.0,
