Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
W. Khazri,Montpellier,25,7,5,10,15,1078,68,
W. Saïd,RC Lens,15,2,2,10,3,909,38,
N. Maupay,Olympique de Marseille,9,0,2,8,4,1051,40,
L. Ajorque,Stade Brestois,26,26,6,133,6,2505,193,
B. Embolo,Stade Rennais,22,10,3,30,13,1836,108,
S. BenrahmaO,lympique Lyonnais,9,2,3,0,4,737,23,
M. Baldé,Stade Brestois,15,13,7,38,3,1184,91,
I. Cardona,Saint-Étienne,7,5,3,10,4,983,32,
F. Sotoca,RC Lens,22,23,14,44,11,1795,101,
L. Blas,Stade Rennais,38,11,13,12,14,2302,147,
O. Dembélé,Paris Saint-Germain,11,1,9,4,19,1736,71,
A. Gouiri,Olympique de Marseille,14,6,3,10,19,2088,68,
M. Mohamed,Nantes,18,27,10,57,13,1245,123,
M. Tamari,Stade Rennais,18,4,5,11,13,1686,94,
K. Kvaratskhelia,Paris Saint-Germain,19,3,2,3,8,920,65,
I. Ganago,Nantes,1,2,4,4,2,271,13,
M. Bayo,Lille,1,4,0,4,3,366,9,
Z. Davitashvili,Saint-Étienne,21,14,13,15,23,2698,121,
F. Balogun,AS Monaco,1,0,1,4,11,626,18,
G. Ramos,Paris Saint-Germain,10,6,0,20,3,1057,42,
M. Daramy,Stade de Reims,0,1,0,1,1,26,1,
E. Lepaul,Stade Rennais,11,10,4,35,14,1629,69,
E. Wahi,Nice,0,0,1,4,3,575,14,
B. Barcola,Paris Saint-Germain,27,11,19,14,7,2180,97,
M. Abline,Nantes,11,35,4,64,22,2782,163,
A. Sima,RC Lens,15,7,1,41,10,1243,87,
E. Emegha,RC Strasbourg,6,30,1,27,8,2302,76,
M. Cho,Nice,13,5,5,14,8,1635,87,
M. Biereth,AS Monaco,5,6,4,19,7,1229,54,
A. Bamba Dieng,Lorient,4,3,0,10,3,549,28,
L. Stassin,Saint-Étienne,16,8,3,15,12,1812,71,
A. Boakye,Saint-Étienne,7,4,6,5,9,741,32,
D. Moreira,RC Strasbourg,44,56,35,27,6,2574,163,
M. Fernández,Lille,12,5,3,1,8,1064,53,
I. Housni,Paris Saint-Germain,7,1,1,0,2,243,15,
LML. Michal,AS Monaco,0,0,0,0,0,16,0,
M. Luković,RC Strasbourg,0,0,0,0,0,20,0,
A. Salama,Stade de Reims,3,0,1,2,2,368,13,
H. Wendel Meister,Stade Rennais,2,0,1,2,1,66,5,
AGA. Gueguin,Montpellier,1,0,0,0,0,22,1,
JNJ. Ndiaye,Montpellier,3,2,0,6,2,455,22,
M. Fofana,Olympique Lyonnais,22,3,8,2,9,1597,84,
E. Nuamah,Olympique Lyonnais,21,7,8,13,5,1065,67,
I. Salah,Stade Rennais,4,0,2,1,3,363,17,
R. Labeau Lascary,Stade Brestois,16,6,1,6,1,635,43,
J. Agbonifo,RC Lens,7,0,1,1,0,299,22,
I. Orazi,Stade de Reims,0,0,0,0,0,2,0,
B. Guirassy,Nantes,11,5,2,7,2,357,29,
YIY. Issoufou,Montpellier,6,1,0,0,1,82,7,
ABA. Bojang,Stade de Reims,0,0,0,0,0,0,0,
NEN. Edjouma,Lille,2,0,0,2,0,149,11,
RVR. Vaz,Olympique de Marseille,0,0,0,1,0,29,3,
R. Fofana,RC Lens,2,0,0,0,0,24,3,
IMI. Mbaye,Paris Saint-Germain,4,2,2,2,1,336,14,
AGA. Gomes Rodriguez,Olympique Lyonnais,0,0,0,0,0,19,0,
N. Pays,Montpellier,13,2,4,5,4,444,34,
K. Abdallah,Olympique de Marseille,1,0,0,0,0,9,1,
QNQ. Ndjantou,Paris Saint-Germain,0,0,0,0,0,0,0,
EME. Molebe,Montpellier,0,0,0,0,0,0,0,
SDS. Diop,Stade Brestois,1,0,0,0,0,10,1,
