Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
W. Khazri,Montpellier,285,213,31,1,46,3,1078,18,
W. Saïd,RC Lens,232,187,7,0,8,3,909,8,
N. Maupay,Olympique de Marseille,293,247,10,4,1,4,1051,13,
L. Ajorque,Stade Brestois,660,459,33,2,7,3,2505,35,
B. Embolo,Stade Rennais,418,297,24,4,6,9,1836,32,
S. BenrahmaO,lympique Lyonnais,309,245,12,3,43,5,737,15,
M. Baldé,Stade Brestois,247,181,18,3,10,3,1184,16,
I. Cardona,Saint-Étienne,341,243,12,2,31,1,983,15,
F. Sotoca,RC Lens,882,691,48,1,75,2,1795,18,
L. Blas,Stade Rennais,806,658,63,8,124,8,2302,47,
O. Dembélé,Paris Saint-Germain,977,813,49,6,80,13,1736,63,
A. Gouiri,Olympique de Marseille,630,533,13,5,69,7,2088,35,
M. Mohamed,Nantes,239,159,15,0,4,0,1245,6,
M. Tamari,Stade Rennais,401,327,12,1,20,6,1686,22,
K. Kvaratskhelia,Paris Saint-Germain,507,453,11,3,33,9,920,26,
I. Ganago,Nantes,73,58,2,0,3,0,271,5,
M. Bayo,Lille,58,41,0,1,0,1,366,4,
Z. Davitashvili,Saint-Étienne,833,696,25,7,84,8,2698,51,
F. Balogun,AS Monaco,118,84,3,0,5,3,626,6,
G. Ramos,Paris Saint-Germain,232,188,1,3,1,5,1057,16,
M. Daramy,Stade de Reims,4,4,0,0,0,0,26,1,
E. Lepaul,Stade Rennais,338,236,21,0,15,1,1629,7,
E. Wahi,Nice,108,88,3,1,2,0,575,6,
B. Barcola,Paris Saint-Germain,866,721,16,10,25,18,2180,51,
M. Abline,Nantes,505,346,25,2,30,6,2782,27,
A. Sima,RC Lens,312,226,8,2,16,3,1243,13,
E. Emegha,RC Strasbourg,337,272,4,3,0,4,2302,18,
M. Cho,Nice,428,330,13,4,51,9,1635,30,
M. Biereth,AS Monaco,224,144,3,2,7,8,1229,21,
A. Bamba Dieng,Lorient,98,79,1,0,5,0,549,1,
L. Stassin,Saint-Étienne,453,348,10,4,19,7,1812,18,
A. Boakye,Saint-Étienne,249,191,11,0,5,1,741,13,
D. Moreira,RC Strasbourg,1112,907,54,7,94,14,2574,31,
M. Fernández,Lille,275,216,12,2,30,6,1064,16,
I. Housni,Paris Saint-Germain,59,38,1,0,5,1,243,2,
LML. Michal,AS Monaco,6,5,0,0,1,0,16,0,
M. Luković,RC Strasbourg,3,2,0,0,0,0,20,0,
A. Salama,Stade de Reims,78,62,5,0,4,0,368,5,
H. Wendel Meister,Stade Rennais,14,11,0,0,0,1,66,2,
AGA. Gueguin,Montpellier,5,4,0,0,1,0,22,0,
JNJ. Ndiaye,Montpellier,77,54,0,0,1,0,455,5,
M. Fofana,Olympique Lyonnais,554,463,12,4,70,6,1597,26,
E. Nuamah,Olympique Lyonnais,411,345,14,1,30,2,1065,18,
I. Salah,Stade Rennais,113,84,8,1,15,1,363,6,
R. Labeau Lascary,Stade Brestois,152,120,5,1,19,2,635,7,
J. Agbonifo,RC Lens,68,51,4,0,7,0,299,3,
I. Orazi,Stade de Reims,1,1,0,0,0,0,2,0,
B. Guirassy,Nantes,111,83,6,0,7,0,357,2,
YIY. Issoufou,Montpellier,16,10,0,0,3,0,82,0,
ABA. Bojang,Stade de Reims,0,0,0,0,0,0,0,0,
NEN. Edjouma,Lille,40,30,2,0,6,0,149,1,
RVR. Vaz,Olympique de Marseille,3,1,0,0,0,0,29,0,
R. Fofana,RC Lens,8,5,0,0,0,0,24,0,
IMI. Mbaye,Paris Saint-Germain,142,128,1,1,5,3,336,3,
AGA. Gomes Rodriguez,Olympique Lyonnais,1,1,0,0,1,0,19,0,
N. Pays,Montpellier,158,131,4,0,17,1,444,3,
K. Abdallah,Olympique de Marseille,2,2,0,0,0,0,9,0,
QNQ. Ndjantou,Paris Saint-Germain,0,0,0,0,0,0,0,0,
EME. Molebe,Montpellier,0,0,0,0,0,0,0,0,
SDS. Diop,Stade Brestois,2,2,0,0,0,0,10,0,
