Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
L. Butelle,Stade de Reims,0,0,,0,0,0,0.0,,0.0,
S. Mandanda,Stade Rennais,0,0,,0,0,1486,0.0,,0.007,
K. Johnsson,RC Strasbourg,0,0,,0,0,270,0.0,,0.0,
A. Lopes,Nantes,0,0,,0,0,1564,0.0,,0.0,
B. Maubleu,Saint-Étienne,0,0,,0,0,0,0.0,,0.0,
M. Dupé,Nice,0,0,,0,0,0,0.0,,0.0,
G. Rulli,Olympique de Marseille,0,0,,0,0,3060,0.0,,0.0,
P. Carlgren,Nantes,0,0,,0,0,416,0.0,,0.0,
B. Samba,Stade Rennais,0,0,,0,0,2879,0.0,,0.0474,
M. Caillard,Lille,0,0,,0,0,0,0.0,,0.0,
R. Descamps,Olympique Lyonnais,0,0,,0,0,90,0.0,,0.0,
M. Safonov,Paris Saint-Germain,0,0,,0,0,878,0.0,,0.0,
J. de Lange,Olympique de Marseille,0,0,,0,0,0,0.0,,0.0,
G. Larsonneur,Saint-Étienne,0,0,,0,0,2970,0.0,,0.0174,
A. Olliero,Stade de Reims,0,0,,0,0,0,0.0,,0.0,
Y. Diouf,Nice,0,0,1.0,1,0,3270,0.0572,0.057,0.0,
R. Majecki,Stade Brestois,0,0,,0,0,1342,0.0,,0.0103,
H. Koffi,Angers,0,0,,0,0,438,0.0,,0.0,
P. Köhn,AS Monaco,0,0,,0,0,1710,0.0,,0.0,
G. Coudert,Stade Brestois,0,0,,0,0,180,0.0,,0.0,
M. Zinga,Angers,0,0,,0,0,90,0.0,,0.0,
L. Chevalier,Paris Saint-Germain,0,2,,0,0,3060,0.0,,0.19,
Y. Lienard,AS Monaco,0,0,,0,0,0,0.0,,0.0,
E. Jaouen,Stade de Reims,0,0,,0,0,180,0.0,,0.0,
R. Risser,RC Lens,0,0,,0,0,0,0.0,,0.0,
N. Jauny,Stade Brestois,0,0,,0,0,0,0.0,,0.0,
