Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
L. Butelle,Stade de Reims,0,0,0,0,0,0,0,0,
S. Mandanda,Stade Rennais,433,288,222,0,0,0,1486,2,
K. Johnsson,RC Strasbourg,108,86,28,0,0,0,270,0,
A. Lopes,Nantes,491,300,306,0,0,0,1564,0,
B. Maubleu,Saint-Étienne,0,0,0,0,0,0,0,0,
M. Dupé,Nice,0,0,0,0,0,0,0,0,
G. Rulli,Olympique de Marseille,1069,929,270,0,0,0,3060,2,
P. Carlgren,Nantes,109,66,68,0,0,0,416,0,
B. Samba,Stade Rennais,1057,816,429,0,0,0,2879,0,
M. Caillard,Lille,0,0,0,0,0,0,0,0,
R. Descamps,Olympique Lyonnais,28,25,6,0,0,0,90,0,
M. Safonov,Paris Saint-Germain,264,204,105,0,0,0,878,0,
J. de Lange,Olympique de Marseille,0,0,0,0,0,0,0,0,
G. Larsonneur,Saint-Étienne,1038,638,551,0,0,0,2970,1,
A. Olliero,Stade de Reims,0,0,0,0,0,0,0,0,
Y. Diouf,Nice,1124,737,591,0,0,0,3270,0,
R. Majecki,Stade Brestois,328,227,136,0,0,0,1342,0,
H. Koffi,Angers,108,74,51,0,0,0,438,0,
P. Köhn,AS Monaco,476,344,210,0,0,0,1710,0,
G. Coudert,Stade Brestois,61,47,21,0,0,0,180,0,
M. Zinga,Angers,29,17,16,0,0,0,90,0,
L. Chevalier,Paris Saint-Germain,936,722,365,0,0,2,3060,3,
Y. Lienard,AS Monaco,0,0,0,0,0,0,0,0,
E. Jaouen,Stade de Reims,88,55,42,0,0,0,180,1,
R. Risser,RC Lens,0,0,0,0,0,0,0,0,
N. Jauny,Stade Brestois,0,0,0,0,0,0,0,0,
