Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
F. Coquelin,Nantes,1,1,7.0,1,1,232,1.0399,1.039,0.3531,
B. André,Lille,3,5,16.0,4,0,2693,1.387,1.381,2.6833,
R. Cabella,Nantes,2,5,30.0,7,1,1032,3.9776,3.977,3.0878,
G. Kondogbia,Olympique de Marseille,0,0,8.0,1,0,2021,0.4776,0.473,1.125,
B. Stambouli,Metz,0,0,1.0,0,0,227,0.0,,0.0,
P. Højbjerg,Olympique de Marseille,4,4,33.0,8,2,2666,3.2757,3.275,4.6085,
T. Minamino,AS Monaco,3,9,57.0,21,6,2236,8.8914,8.887,4.6655,
T. Savanier,Montpellier,5,15,44.0,15,2,2268,3.9643,2.281,7.2495,
P. Capelle,Angers,0,3,6.0,0,0,489,0.2299,0.228,0.6566,
A. Thomasson,RC Lens,7,8,41.0,13,3,2621,5.9528,5.95,5.195,
F. Tardieu,Saint-Étienne,4,1,14.0,2,2,1190,0.5871,0.593,1.5742,
M. Sanson,Nice,0,0,9.0,4,3,235,1.4903,1.522,0.075,
G. Kamara,Stade Rennais,1,0,1.0,0,0,660,0.1728,0.173,0.7165,
A. Golovin,AS Monaco,0,3,23.0,9,3,1153,2.2398,2.303,2.9183,
J. Gbamin,Metz,0,0,2.0,0,0,221,0.427,0.526,0.0314,
C. Tolisso,Olympique Lyonnais,4,8,51.0,20,7,2340,5.3568,5.338,4.8483,
B. Santamaria,Stade Rennais,1,1,20.0,4,0,1421,1.0696,1.045,0.6113,
N. Bentaleb,Lille,0,0,5.0,1,1,335,0.7267,0.726,0.2346,
R. Aguilar,RC Lens,2,4,11.0,3,1,1129,0.7688,0.762,1.3697,
H. Belkebla,Angers,1,1,3.0,0,0,1795,0.0879,0.075,0.3142,
V. Rongier,Stade Rennais,1,2,14.0,7,3,1587,1.0079,1.009,1.4523,
D. Zakaria,AS Monaco,4,4,31.0,11,6,2149,5.249,3.616,2.0052,
F. Ruiz,Paris Saint-Germain,5,9,43.0,12,4,1917,4.1474,4.329,5.0658,
O. Mangala,Olympique Lyonnais,0,0,1.0,0,0,68,0.0528,0.053,0.0502,
J. Clauss,Nice,8,14,26.0,8,3,2311,2.2316,2.231,6.8147,
D. Machado,Nantes,4,5,23.0,5,1,1793,2.3398,2.286,2.8601,
R. Del Castillo,Stade Brestois,4,8,21.0,12,6,1266,4.6706,1.497,4.1354,
G. Hein,Metz,1,0,3.0,2,1,300,0.0,,0.0,
T. Ndombélé,Nice,2,3,11.0,3,1,1140,2.3548,2.353,1.3486,
A. Nordin,Stade Rennais,0,1,28.0,13,4,1163,4.1004,2.509,1.2122,
H. Magnetti,Stade Brestois,0,0,19.0,6,1,2335,0.7942,0.8,0.6268,
A. Gomes,Olympique de Marseille,1,4,9.0,3,1,737,1.7076,0.947,1.5557,
K. Diatta,AS Monaco,0,1,2.0,1,0,510,0.1655,0.166,0.8697,
Vitinha,Paris Saint-Germain,1,4,27.0,14,5,2023,3.4127,1.835,3.9985,
J. Deminguet,Metz,0,0,6.0,1,0,219,0.0,,0.0,
K. Nakamura,Stade de Reims,2,5,91.0,33,11,2870,9.0788,9.123,3.3635,
M. Camara,Stade Rennais,3,3,49.0,20,5,2669,3.9745,4.138,2.5745,
K. Lee,Paris Saint-Germain,6,16,41.0,14,6,1665,3.5069,3.514,6.4373,
A. Abdi,Nice,2,4,29.0,11,5,1417,4.2884,4.787,1.7389,
S. Diop,Nice,4,6,22.0,11,6,1066,5.9815,6.012,2.7554,
H. Abdelli,Olympique de Marseille,1,5,39.0,12,6,2848,6.3595,3.222,3.6704,
S. Nanasi,RC Strasbourg,4,12,28.0,12,6,2122,6.459,5.911,4.6583,
J. Lepenant,Olympique Lyonnais,1,2,20.0,5,2,2063,1.4033,1.366,1.7353,
O. Sahraoui,Lille,3,7,23.0,9,3,1292,2.8541,2.934,4.3313,
J. Chotard,Stade Brestois,0,0,18.0,3,1,1800,1.2797,1.274,0.9507,
H. Boudaoui,Nice,3,6,39.0,19,2,2438,2.6596,2.733,2.8305,
A. Moueffek,Saint-Étienne,1,2,10.0,2,0,1042,1.0901,1.079,1.0371,
M. Gbane,Stade de Reims,1,1,5.0,3,0,1292,0.1673,0.171,0.7663,
T. Tessmann,Olympique Lyonnais,0,1,18.0,10,1,1261,0.9507,0.951,0.7852,
J. Patrick,Stade de Reims,0,0,11.0,1,0,631,0.1562,0.161,0.2369,
Q. Merlin,Stade Rennais,3,5,26.0,10,1,1602,2.0615,2.056,2.4566,
B. Old,Saint-Étienne,0,1,11.0,2,0,523,0.9973,0.998,0.4692,
I. Miladinović,Saint-Étienne,0,0,,0,0,27,0.0,,0.0,
T. Louchet,Nice,0,1,12.0,4,1,780,0.7938,0.792,1.2938,
M. Akliouche,AS Monaco,10,15,62.0,19,5,2409,9.2341,8.466,7.8255,
T. Le Bris,Lorient,0,0,1.0,1,0,24,0.0,,0.0,
I. Koné,Olympique de Marseille,1,4,10.0,4,2,829,0.4433,0.438,1.4776,
A. Camblan,Stade Brestois,0,0,1.0,0,0,31,0.0482,0.048,0.0,
H. Arnar Haraldsson,Lille,3,6,35.0,13,5,1765,3.7977,3.86,3.1719,
W. Zaïre-Emery,Paris Saint-Germain,2,4,16.0,7,1,2040,1.6387,1.672,1.4225,
D. Doué,Paris Saint-Germain,6,16,55.0,20,6,1724,5.1438,5.142,5.6644,
K. Doumbia,Stade Brestois,2,4,22.0,10,3,1328,2.8257,2.813,1.7449,
