Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
F. Coquelin,Nantes,6,1,232,1.0399,0.3531,
B. André,Lille,30,0,2693,1.387,2.6833,
R. Cabella,Nantes,27,1,1032,3.9776,3.0878,
G. Kondogbia,Olympique de Marseille,25,0,2021,0.4776,1.125,
B. Stambouli,Metz,3,0,227,0,0,
P. Højbjerg,Olympique de Marseille,31,2,2666,3.2757,4.6085,
T. Minamino,AS Monaco,31,6,2236,8.8914,4.6655,
T. Savanier,Montpellier,31,2,2268,3.9643,7.2495,
P. Capelle,Angers,25,0,489,0.2299,0.6566,
A. Thomasson,RC Lens,33,3,2621,5.9528,5.195,
F. Tardieu,Saint-Étienne,30,2,1190,0.5871,1.5742,
M. Sanson,Nice,8,3,235,1.4903,0.075,
G. Kamara,Stade Rennais,16,0,660,0.1728,0.7165,
A. Golovin,AS Monaco,21,3,1153,2.2398,2.9183,
J. Gbamin,Metz,17,0,221,0.427,0.0314,
C. Tolisso,Olympique Lyonnais,33,7,2340,5.3568,4.8483,
B. Santamaria,Stade Rennais,32,0,1421,1.0696,0.6113,
N. Bentaleb,Lille,12,1,335,0.7267,0.2346,
R. Aguilar,RC Lens,19,1,1129,0.7688,1.3697,
H. Belkebla,Angers,22,0,1795,0.0879,0.3142,
V. Rongier,Stade Rennais,30,3,1587,1.0079,1.4523,
D. Zakaria,AS Monaco,27,6,2149,5.249,2.0052,
F. Ruiz,Paris Saint-Germain,32,4,1917,4.1474,5.0658,
O. Mangala,Olympique Lyonnais,2,0,68,0.0528,0.0502,
J. Clauss,Nice,28,3,2311,2.2316,6.8147,
D. Machado,Nantes,27,1,1793,2.3398,2.8601,
R. Del Castillo,Stade Brestois,26,6,1266,4.6706,4.1354,
G. Hein,Metz,3,1,300,0,0,
T. Ndombélé,Nice,19,1,1140,2.3548,1.3486,
A. Nordin,Stade Rennais,16,4,1163,4.1004,1.2122,
H. Magnetti,Stade Brestois,32,1,2335,0.7942,0.6268,
A. Gomes,Olympique de Marseille,24,1,737,1.7076,1.5557,
K. Diatta,AS Monaco,24,0,510,0.1655,0.8697,
Vitinha,Paris Saint-Germain,31,5,2023,3.4127,3.9985,
J. Deminguet,Metz,3,0,219,0,0,
K. Nakamura,Stade de Reims,34,11,2870,9.0788,3.3635,
M. Camara,Stade Rennais,34,5,2669,3.9745,2.5745,
K. Lee,Paris Saint-Germain,32,6,1665,3.5069,6.4373,
A. Abdi,Nice,26,5,1417,4.2884,1.7389,
S. Diop,Nice,29,6,1066,5.9815,2.7554,
H. Abdelli,Olympique de Marseille,32,6,2848,6.3595,3.6704,
S. Nanasi,RC Strasbourg,32,6,2122,6.459,4.6583,
J. Lepenant,Olympique Lyonnais,30,2,2063,1.4033,1.7353,
O. Sahraoui,Lille,31,3,1292,2.8541,4.3313,
J. Chotard,Stade Brestois,25,1,1800,1.2797,0.9507,
H. Boudaoui,Nice,29,2,2438,2.6596,2.8305,
A. Moueffek,Saint-Étienne,23,0,1042,1.0901,1.0371,
M. Gbane,Stade de Reims,15,0,1292,0.1673,0.7663,
T. Tessmann,Olympique Lyonnais,32,1,1261,0.9507,0.7852,
J. Patrick,Stade de Reims,19,0,631,0.1562,0.2369,
Q. Merlin,Stade Rennais,28,1,1602,2.0615,2.4566,
B. Old,Saint-Étienne,14,0,523,0.9973,0.4692,
I. Miladinović,Saint-Étienne,13,0,27,0,0,
T. Louchet,Nice,30,1,780,0.7938,1.2938,
M. Akliouche,AS Monaco,32,5,2409,9.2341,7.8255,
T. Le Bris,Lorient,1,0,24,0,0,
I. Koné,Olympique de Marseille,28,2,829,0.4433,1.4776,
A. Camblan,Stade Brestois,8,0,31,0.0482,0,
H. Arnar Haraldsson,Lille,26,5,1765,3.7977,3.1719,
W. Zaïre-Emery,Paris Saint-Germain,29,1,2040,1.6387,1.4225,
D. Doué,Paris Saint-Germain,32,6,1724,5.1438,5.6644,
K. Doumbia,Stade Brestois,31,3,1328,2.8257,1.7449,
M. Adeline,Troyes,2,0,25,0,0.0086,
L. Mouton,Angers,31,0,1042,1.4516,1.2757,
J. Neves,Paris Saint-Germain,33,3,1845,2.9843,3.8865,
Y. Belkhdim,Angers,32,1,1515,0.7415,0.5085,
J. Mwanga,RC Strasbourg,27,1,1252,1.4161,1.5,
K. Fayad,Montpellier,20,0,1018,1.2707,0.5459,
L. Camara,AS Monaco,29,2,2056,2.29,4.9676,
N. Mukau,Lille,29,0,1218,0.7623,0.676,
E. Mbappé,Lille,11,0,236,1.0696,1.1582,
M. Diawara,Olympique Lyonnais,21,0,609,0.3375,0.2552,
DTD. Tabibou,Nantes,11,0,54,0.0188,0.5228,
MCM. Coulibaly,AS Monaco,1,0,0,0,0,
D. Cissé,Stade Rennais,13,1,1074,0.4328,0.6903,
S. Mayulu,Paris Saint-Germain,29,2,811,2.7685,2.0115,
A. Sishuba,Montpellier,4,0,2,0,0,
A. Bouaddi,Lille,34,0,1154,0.1243,1.2326,
H. Makalou,Stade Brestois,8,0,40,0,0.0054,
SES. El Mourabet,RC Strasbourg,12,0,0,0,0,
TCT. Chennahi,Montpellier,23,0,184,0.1533,0.0203,
G. Yassine,RC Strasbourg,2,0,82,0,0,
ABA. Bamba,AS Monaco,1,0,0,0,0,
AOA. Ouattara,RC Strasbourg,11,0,161,0.2083,0.0197,
