Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
F. Coquelin,Nantes,9,3,6,3,2,232,14,
B. André,Lille,103,51,48,97,3,2693,255,
R. Cabella,Nantes,39,3,8,3,10,1032,80,
G. Kondogbia,Olympique de Marseille,60,62,22,27,2,2021,114,
B. Stambouli,Metz,15,4,3,5,0,227,23,
P. Højbjerg,Olympique de Marseille,64,31,42,21,10,2666,131,
T. Minamino,AS Monaco,33,18,10,18,14,2236,86,
T. Savanier,Montpellier,29,20,14,20,9,2268,135,
P. Capelle,Angers,24,5,11,3,1,489,38,
A. Thomasson,RC Lens,90,28,19,17,18,2621,181,
F. Tardieu,Saint-Étienne,18,20,15,14,7,1190,49,
M. Sanson,Nice,6,2,4,1,0,235,10,
G. Kamara,Stade Rennais,23,7,7,2,0,660,33,
A. Golovin,AS Monaco,37,5,12,10,6,1153,85,
J. Gbamin,Metz,2,2,3,7,1,221,16,
C. Tolisso,Olympique Lyonnais,57,37,22,54,13,2340,172,
B. Santamaria,Stade Rennais,31,23,30,38,5,1421,104,
N. Bentaleb,Lille,4,6,5,3,1,335,8,
R. Aguilar,RC Lens,34,23,13,10,5,1129,68,
H. Belkebla,Angers,56,45,35,10,2,1795,105,
V. Rongier,Stade Rennais,50,26,33,14,2,1587,88,
D. Zakaria,AS Monaco,41,34,34,18,7,2149,101,
F. Ruiz,Paris Saint-Germain,37,25,17,5,19,1917,66,
O. Mangala,Olympique Lyonnais,1,1,0,0,1,68,1,
J. Clauss,Nice,52,62,48,17,8,2311,91,
D. Machado,Nantes,36,29,16,16,5,1793,103,
R. Del Castillo,Stade Brestois,31,5,6,8,4,1266,75,
G. Hein,Metz,3,0,1,1,1,300,7,
T. Ndombélé,Nice,35,8,14,3,3,1140,91,
A. Nordin,Stade Rennais,24,6,5,13,8,1163,99,
H. Magnetti,Stade Brestois,52,36,18,10,5,2335,93,
A. Gomes,Olympique de Marseille,10,2,0,6,3,737,31,
K. Diatta,AS Monaco,18,12,9,16,0,510,48,
Vitinha,Paris Saint-Germain,43,18,14,1,5,2023,82,
J. Deminguet,Metz,7,5,1,2,3,219,18,
K. Nakamura,Stade de Reims,26,19,14,7,28,2870,74,
M. Camara,Stade Rennais,72,26,32,19,9,2669,164,
K. Lee,Paris Saint-Germain,25,3,3,5,10,1665,87,
A. Abdi,Nice,43,31,20,22,5,1417,91,
S. Diop,Nice,23,6,17,3,5,1066,55,
H. Abdelli,Olympique de Marseille,48,26,26,15,10,2848,150,
S. Nanasi,RC Strasbourg,20,15,7,3,5,2122,59,
J. Lepenant,Olympique Lyonnais,68,23,18,22,9,2063,144,
O. Sahraoui,Lille,13,8,7,0,10,1292,60,
J. Chotard,Stade Brestois,39,47,21,16,7,1800,72,
H. Boudaoui,Nice,76,44,22,17,8,2438,168,
A. Moueffek,Saint-Étienne,20,24,5,9,2,1042,47,
M. Gbane,Stade de Reims,22,93,18,19,0,1292,53,
T. Tessmann,Olympique Lyonnais,25,29,19,4,4,1261,53,
J. Patrick,Stade de Reims,26,10,6,14,7,631,60,
Q. Merlin,Stade Rennais,22,13,14,7,9,1602,50,
B. Old,Saint-Étienne,7,2,2,1,6,523,27,
I. Miladinović,Saint-Étienne,0,2,1,2,0,27,2,
T. Louchet,Nice,27,19,18,11,5,780,51,
M. Akliouche,AS Monaco,51,12,15,5,17,2409,144,
T. Le Bris,Lorient,1,0,1,0,0,24,1,
I. Koné,Olympique de Marseille,17,6,8,4,4,829,48,
A. Camblan,Stade Brestois,1,0,0,0,0,31,1,
H. Arnar Haraldsson,Lille,36,6,8,2,12,1765,92,
W. Zaïre-Emery,Paris Saint-Germain,50,19,22,9,7,2040,98,
D. Doué,Paris Saint-Germain,48,7,13,8,20,1724,158,
K. Doumbia,Stade Brestois,41,11,28,10,3,1328,92,
M. Adeline,Troyes,1,2,0,0,0,25,2,
L. Mouton,Angers,49,15,10,5,6,1042,73,
J. Neves,Paris Saint-Germain,63,19,23,22,8,1845,133,
Y. Belkhdim,Angers,50,38,21,7,1,1515,72,
J. Mwanga,RC Strasbourg,43,18,10,11,4,1252,70,
K. Fayad,Montpellier,31,12,9,11,6,1018,84,
L. Camara,AS Monaco,65,30,31,23,9,2056,137,
N. Mukau,Lille,33,22,15,14,6,1218,71,
E. Mbappé,Lille,6,0,1,1,5,236,11,
M. Diawara,Olympique Lyonnais,21,10,13,2,2,609,36,
DTD. Tabibou,Nantes,1,3,0,2,0,54,7,
MCM. Coulibaly,AS Monaco,0,0,0,0,0,0,0,
D. Cissé,Stade Rennais,31,11,12,4,4,1074,58,
S. Mayulu,Paris Saint-Germain,25,10,5,2,9,811,59,
A. Sishuba,Montpellier,1,0,0,0,0,2,1,
A. Bouaddi,Lille,50,11,10,9,2,1154,82,
H. Makalou,Stade Brestois,0,0,0,0,0,40,1,
SES. El Mourabet,RC Strasbourg,0,0,0,0,0,0,0,
TCT. Chennahi,Montpellier,6,6,2,1,2,184,9,
G. Yassine,RC Strasbourg,6,2,0,0,0,82,11,
ABA. Bamba,AS Monaco,0,0,0,0,0,0,0,
AOA. Ouattara,RC Strasbourg,2,5,5,1,1,161,3,
