Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
R. Thomas,Valenciennes,0,0,2.0,1,1,213,0.0,,0.0,
V. Sasso,USL Dunkerque,0,1,13.0,1,0,1160,0.0,,0.0,
C. Junior Senneville,USL Dunkerque,0,0,,0,0,28,0.0,,0.0,
Abner,USL Dunkerque,2,2,3.0,0,0,1065,0.0,,0.0,
G. Paquiez,Grenoble Foot 38,1,0,4.0,1,0,1308,0.0,,0.0,
J. Chougrani,Rodez AF,0,0,1.0,0,0,85,0.0,,0.0,
B. Youssouf,Sochaux,0,1,2.0,2,0,49,0.0,,0.0,
P. Lemonnier,Guingamp,0,0,3.0,1,1,681,0.0,,0.0,
Y. Salmier,Le Havre,0,2,5.0,1,1,1260,0.0,,0.0,
V. Henry,Caen,0,0,,0,0,308,0.0,,0.0,
F. Bohnert,Bastia,0,1,1.0,0,0,765,0.0,,0.0,
A. Georgen,USL Dunkerque,0,2,6.0,0,0,1268,0.0,,0.0,
J. Ruiz,Pau FC,1,0,6.0,0,0,964,0.0,,0.0,
O. Sangante,USL Dunkerque,0,0,7.0,0,0,1350,0.0,,0.0,
S. Alakouch,Paris FC,0,0,,0,0,0,0.0,,0.0,
T. De Smet,Paris FC,2,2,5.0,2,0,1298,0.0,,0.0,
A. Hakim Abdallah,Guingamp,4,5,12.0,3,0,1060,0.0,,0.0,
G. Akueson,Bastia,0,0,2.0,2,0,1022,0.0,,0.0,
O. Kanté,Pau FC,0,0,,0,0,679,0.0,,0.0,
J. Lambert Evan's Allan,Rodez AF,0,0,,0,0,1,0.0,,0.0,
T. Ollila,Paris FC,0,0,1.0,1,0,197,0.0,,0.0,
D. Guidi,Bastia,0,0,3.0,1,1,895,0.0,,0.0,
C. Vidal,Grenoble Foot 38,0,0,11.0,1,0,1440,0.0,,0.0,
A. Sissoko,Guingamp,0,3,2.0,1,0,765,0.0,,0.0,
A. Linguet,USL Dunkerque,0,0,,0,0,217,0.0,,0.0,
A. Roncaglia,Bastia,0,0,7.0,1,0,918,0.0,,0.0,
M. Mbow,Paris FC,0,0,7.0,4,2,1336,0.0,,0.0,
S. Muzalimoja Mambo,Grenoble Foot 38,1,1,1.0,0,0,477,0.0,,0.0,
D. Meddah,Caen,0,0,5.0,1,0,449,0.0,,0.0,
S. Delos,Grenoble Foot 38,2,3,6.0,3,2,1217,0.0,,0.0,
A. Tchaptchet,Grenoble Foot 38,0,0,,0,0,1004,0.0,,0.0,
ALA. Lô,Amiens SC,0,0,2.0,2,0,401,0.0,,0.0,
L. Morante,Caen,0,0,1.0,0,0,231,0.0,,0.0,
L. Mouyokolo,Grenoble Foot 38,0,0,8.0,3,1,1440,0.0,,0.0,
D. Gomis,Guingamp,0,1,4.0,1,1,1141,0.0,,0.0,
J. Gaudin,Paris FC,1,2,2.0,0,0,791,0.0,,0.0,
M. Xantippe,Grenoble Foot 38,1,3,4.0,2,2,1303,0.0,,0.0,
N. Fernandez,Nancy,0,0,2.0,1,0,180,0.0,,0.0,
Y. Koré,Paris FC,0,0,3.0,2,1,810,0.0,,0.0,
N. Galves,Rodez AF,0,5,8.0,2,1,981,0.0,,0.0,
J. Guevara,Bastia,0,0,4.0,1,0,196,0.0,,0.0,
L. Sy,Auxerre,0,1,2.0,0,0,867,0.0,,0.0,
D. Bolumbu,Caen,0,0,,0,0,100,0.0,,0.0,
R. Lipinski,Rodez AF,0,0,6.0,0,0,350,0.0,,0.0,
Z. Ariss,Bastia,0,3,12.0,6,1,1010,0.0,,0.0,
S. Nair,Guingamp,0,0,17.0,4,0,1260,0.0,,0.0,
T. Meynadier,Bastia,0,0,9.0,1,0,1002,0.0,,0.0,
L. Laurent,Rodez AF,0,0,,0,0,355,0.0,,0.0,
S. Bakayoko,Amiens SC,0,0,2.0,1,1,801,0.0,,0.0,
J. Kalulu Kyatengwa,Pau FC,0,3,4.0,0,0,754,0.0,,0.0,
A. Chabane,Amiens SC,0,0,1.0,1,1,283,0.0,,0.0,
EGE. Gassama,Guingamp,0,0,,0,0,0,0.0,,0.0,
