Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
R. Thomas,Valenciennes,7,1,213,0,0,
V. Sasso,USL Dunkerque,13,0,1160,0,0,
C. Junior Senneville,USL Dunkerque,1,0,28,0,0,
Abner,USL Dunkerque,15,0,1065,0,0,
G. Paquiez,Grenoble Foot 38,15,0,1308,0,0,
J. Chougrani,Rodez AF,2,0,85,0,0,
B. Youssouf,Sochaux,5,0,49,0,0,
P. Lemonnier,Guingamp,12,1,681,0,0,
Y. Salmier,Le Havre,14,1,1260,0,0,
V. Henry,Caen,9,0,308,0,0,
F. Bohnert,Bastia,15,0,765,0,0,
A. Georgen,USL Dunkerque,15,0,1268,0,0,
J. Ruiz,Pau FC,14,0,964,0,0,
O. Sangante,USL Dunkerque,15,0,1350,0,0,
S. Alakouch,Paris FC,1,0,0,0,0,
T. De Smet,Paris FC,15,0,1298,0,0,
A. Hakim Abdallah,Guingamp,15,0,1060,0,0,
G. Akueson,Bastia,13,0,1022,0,0,
O. Kanté,Pau FC,15,0,679,0,0,
J. Lambert Evan's Allan,Rodez AF,2,0,1,0,0,
T. Ollila,Paris FC,16,0,197,0,0,
D. Guidi,Bastia,14,1,895,0,0,
C. Vidal,Grenoble Foot 38,16,0,1440,0,0,
A. Sissoko,Guingamp,9,0,765,0,0,
A. Linguet,USL Dunkerque,6,0,217,0,0,
A. Roncaglia,Bastia,15,0,918,0,0,
M. Mbow,Paris FC,15,2,1336,0,0,
S. Muzalimoja Mambo,Grenoble Foot 38,11,0,477,0,0,
D. Meddah,Caen,7,0,449,0,0,
S. Delos,Grenoble Foot 38,16,2,1217,0,0,
A. Tchaptchet,Grenoble Foot 38,15,0,1004,0,0,
ALA. Lô,Amiens SC,7,0,401,0,0,
L. Morante,Caen,10,0,231,0,0,
L. Mouyokolo,Grenoble Foot 38,16,1,1440,0,0,
D. Gomis,Guingamp,13,1,1141,0,0,
J. Gaudin,Paris FC,11,0,791,0,0,
M. Xantippe,Grenoble Foot 38,16,2,1303,0,0,
N. Fernandez,Nancy,9,0,180,0,0,
Y. Koré,Paris FC,13,1,810,0,0,
N. Galves,Rodez AF,16,1,981,0,0,
J. Guevara,Bastia,6,0,196,0,0,
L. Sy,Auxerre,13,0,867,0,0,
D. Bolumbu,Caen,4,0,100,0,0,
R. Lipinski,Rodez AF,7,0,350,0,0,
Z. Ariss,Bastia,13,1,1010,0,0,
S. Nair,Guingamp,14,0,1260,0,0,
T. Meynadier,Bastia,15,0,1002,0,0,
L. Laurent,Rodez AF,7,0,355,0,0,
S. Bakayoko,Amiens SC,14,1,801,0,0,
J. Kalulu Kyatengwa,Pau FC,15,0,754,0,0,
A. Chabane,Amiens SC,11,1,283,0,0,
EGE. Gassama,Guingamp,1,0,0,0,0,
