Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
R. Thomas,Valenciennes,2,25,1,10,1,213,13,
V. Sasso,USL Dunkerque,8,55,15,29,4,1160,50,
C. Junior Senneville,USL Dunkerque,0,1,0,0,0,28,1,
Abner,USL Dunkerque,13,25,11,8,1,1065,55,
G. Paquiez,Grenoble Foot 38,30,53,25,18,1,1308,65,
J. Chougrani,Rodez AF,1,1,4,4,0,85,6,
B. Youssouf,Sochaux,0,1,0,1,0,49,1,
P. Lemonnier,Guingamp,5,57,16,37,1,681,54,
Y. Salmier,Le Havre,12,76,14,20,0,1260,47,
V. Henry,Caen,8,6,5,1,0,308,15,
F. Bohnert,Bastia,16,25,12,7,0,765,41,
A. Georgen,USL Dunkerque,27,27,19,18,4,1268,77,
J. Ruiz,Pau FC,8,51,10,22,3,964,37,
O. Sangante,USL Dunkerque,21,50,9,19,0,1350,54,
S. Alakouch,Paris FC,0,0,0,0,0,0,0,
T. De Smet,Paris FC,32,39,23,12,1,1298,67,
A. Hakim Abdallah,Guingamp,13,20,9,7,3,1060,37,
G. Akueson,Bastia,22,63,29,34,0,1022,72,
O. Kanté,Pau FC,19,30,6,11,0,679,40,
J. Lambert Evan's Allan,Rodez AF,0,0,0,0,0,1,0,
T. Ollila,Paris FC,4,2,1,2,0,197,7,
D. Guidi,Bastia,12,49,10,24,0,895,43,
C. Vidal,Grenoble Foot 38,7,110,14,47,4,1440,65,
A. Sissoko,Guingamp,8,26,16,4,0,765,26,
A. Linguet,USL Dunkerque,4,7,2,1,0,217,11,
A. Roncaglia,Bastia,10,51,6,26,1,918,39,
M. Mbow,Paris FC,24,71,15,31,0,1336,70,
S. Muzalimoja Mambo,Grenoble Foot 38,11,26,6,19,0,477,37,
D. Meddah,Caen,5,13,4,15,2,449,24,
S. Delos,Grenoble Foot 38,25,41,9,13,2,1217,75,
A. Tchaptchet,Grenoble Foot 38,14,48,16,12,0,1004,32,
ALA. Lô,Amiens SC,5,22,2,8,0,401,16,
L. Morante,Caen,3,23,4,10,0,231,14,
L. Mouyokolo,Grenoble Foot 38,25,99,12,43,3,1440,76,
D. Gomis,Guingamp,27,73,6,39,1,1141,84,
J. Gaudin,Paris FC,16,24,11,15,1,791,49,
M. Xantippe,Grenoble Foot 38,33,49,19,14,1,1303,68,
N. Fernandez,Nancy,6,13,2,3,0,180,10,
Y. Koré,Paris FC,13,37,5,10,1,810,35,
N. Galves,Rodez AF,13,9,10,14,4,981,53,
J. Guevara,Bastia,8,16,4,5,1,196,14,
L. Sy,Auxerre,16,19,9,3,1,867,38,
D. Bolumbu,Caen,0,8,3,2,0,100,5,
R. Lipinski,Rodez AF,9,8,4,3,3,350,15,
Z. Ariss,Bastia,27,44,22,21,5,1010,81,
S. Nair,Guingamp,19,53,23,60,3,1260,115,
T. Meynadier,Bastia,17,37,16,12,3,1002,51,
L. Laurent,Rodez AF,17,14,5,5,0,355,22,
S. Bakayoko,Amiens SC,10,47,6,11,0,801,29,
J. Kalulu Kyatengwa,Pau FC,12,13,7,2,3,754,25,
A. Chabane,Amiens SC,10,11,2,3,0,283,17,
EGE. Gassama,Guingamp,0,0,0,0,0,0,0,
