Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
R. Thomas,Valenciennes,122,103,30,0,0,0,213,0,
V. Sasso,USL Dunkerque,1118,1048,37,0,1,1,1160,5,
C. Junior Senneville,USL Dunkerque,23,21,2,0,1,0,28,1,
Abner,USL Dunkerque,529,461,38,2,27,2,1065,8,
G. Paquiez,Grenoble Foot 38,593,508,59,1,12,0,1308,8,
J. Chougrani,Rodez AF,51,41,7,0,3,0,85,0,
B. Youssouf,Sochaux,33,25,7,0,12,1,49,4,
P. Lemonnier,Guingamp,443,370,70,0,0,0,681,1,
Y. Salmier,Le Havre,810,702,98,0,3,2,1260,3,
V. Henry,Caen,169,132,31,0,19,0,308,6,
F. Bohnert,Bastia,350,283,42,0,27,1,765,9,
A. Georgen,USL Dunkerque,766,662,64,0,40,2,1268,16,
J. Ruiz,Pau FC,563,498,81,1,0,0,964,3,
O. Sangante,USL Dunkerque,1250,1068,213,0,7,0,1350,2,
S. Alakouch,Paris FC,0,0,0,0,0,0,0,0,
T. De Smet,Paris FC,696,579,72,2,29,2,1298,9,
A. Hakim Abdallah,Guingamp,393,282,77,4,78,5,1060,24,
G. Akueson,Bastia,466,393,67,0,0,0,1022,0,
O. Kanté,Pau FC,364,310,47,0,0,0,679,0,
J. Lambert Evan's Allan,Rodez AF,0,0,0,0,0,0,1,0,
T. Ollila,Paris FC,66,52,9,0,4,0,197,2,
D. Guidi,Bastia,511,432,99,0,2,0,895,3,
C. Vidal,Grenoble Foot 38,660,553,148,0,0,0,1440,0,
A. Sissoko,Guingamp,532,475,48,0,31,3,765,6,
A. Linguet,USL Dunkerque,76,65,6,0,4,0,217,2,
A. Roncaglia,Bastia,486,424,57,0,1,0,918,4,
M. Mbow,Paris FC,966,884,127,0,0,0,1336,0,
S. Muzalimoja Mambo,Grenoble Foot 38,254,207,38,1,1,1,477,2,
D. Meddah,Caen,353,328,25,0,0,0,449,1,
S. Delos,Grenoble Foot 38,343,278,26,2,42,3,1217,11,
A. Tchaptchet,Grenoble Foot 38,494,404,79,0,1,0,1004,0,
ALA. Lô,Amiens SC,300,273,28,0,0,0,401,0,
L. Morante,Caen,117,85,25,0,1,0,231,0,
L. Mouyokolo,Grenoble Foot 38,544,469,88,0,0,0,1440,3,
D. Gomis,Guingamp,780,707,62,0,1,1,1141,3,
J. Gaudin,Paris FC,430,332,92,1,61,2,791,13,
M. Xantippe,Grenoble Foot 38,392,293,29,1,32,3,1303,17,
N. Fernandez,Nancy,100,84,12,0,0,0,180,0,
Y. Koré,Paris FC,468,391,61,0,14,0,810,2,
N. Galves,Rodez AF,246,171,40,0,115,5,981,33,
J. Guevara,Bastia,101,91,9,0,0,0,196,0,
L. Sy,Auxerre,358,298,40,0,27,1,867,4,
D. Bolumbu,Caen,24,21,2,0,0,0,100,0,
R. Lipinski,Rodez AF,132,105,27,0,15,0,350,2,
Z. Ariss,Bastia,477,375,65,0,31,3,1010,10,
S. Nair,Guingamp,977,871,113,0,0,0,1260,4,
T. Meynadier,Bastia,426,355,53,0,29,0,1002,6,
L. Laurent,Rodez AF,155,125,27,0,0,0,355,0,
S. Bakayoko,Amiens SC,323,281,38,0,0,0,801,0,
J. Kalulu Kyatengwa,Pau FC,326,269,25,0,43,3,754,13,
A. Chabane,Amiens SC,113,93,12,0,0,0,283,0,
EGE. Gassama,Guingamp,0,0,0,0,0,0,0,0,
