Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
G. Courtet,Valenciennes,16,3,1186,0,0,
A. Kanté,USL Dunkerque,16,5,1093,0,0,
A. Gory,Paris FC,14,3,821,0,0,
L. Mafouta,Guingamp,14,3,1066,0,0,
P. Hamel,Paris FC,12,3,561,0,0,
K. Djoco,Sochaux,16,1,732,0,0,
J. Krasso,Paris FC,14,9,1128,0,0,
E. Sylvestre,USL Dunkerque,15,3,257,0,0,
LGL. Gueye,Paris FC,1,0,0,0,0,
M. Baaloudj,Rodez AF,12,0,123,0,0,
Y. Diaby,Grenoble Foot 38,16,0,966,0,0,
T. Arconte,Rodez AF,10,1,329,0,0,
I. Baldé,Rodez AF,15,3,671,0,0,
A. Hemia,Guingamp,10,3,626,0,0,
M. Bokele Mputu,USL Dunkerque,15,3,362,0,0,
M. Inchaud,Valenciennes,3,0,38,0,0,
I. Chegra,Ajaccio,13,0,125,0,0,
O. Sissoko,Pau FC,3,0,47,0,0,
