Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Placide,Bastia,16,0,1440,0,0,
A. Ortolá,Guingamp,10,0,900,0,0,
A. Sauvage,Amiens SC,15,0,90,0,0,
M. Jeannin,Sochaux,16,0,90,0,0,
J. Fabri,Bastia,12,0,0,0,0,
E. Basilio,Nancy,15,0,1350,0,0,
A. Mandrea,Caen,14,0,1170,0,0,
M. Diaw,Le Havre,11,0,990,0,0,
L. M'Pasi,Le Havre,16,0,450,0,0,
B. Allain,Grenoble Foot 38,10,0,0,0,0,
M. Pattier,Grenoble Foot 38,6,0,90,0,0,
Y. Clementia,Caen,15,0,180,0,0,
T. Bartouche,Guingamp,1,0,0,0,0,
O. Nkambadio,Paris FC,16,0,1388,0,0,
M. Diop,Grenoble Foot 38,16,0,1350,0,0,
E. Crombez,Rodez AF,2,0,0,0,0,
