Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Placide,Bastia,0,15,0,2,0,1440,2,
A. Ortolá,Guingamp,0,18,0,0,0,900,2,
A. Sauvage,Amiens SC,0,2,0,0,0,90,0,
M. Jeannin,Sochaux,0,0,0,0,0,90,0,
J. Fabri,Bastia,0,0,0,0,0,0,0,
E. Basilio,Nancy,0,23,0,2,0,1350,3,
A. Mandrea,Caen,0,15,1,2,0,1170,5,
M. Diaw,Le Havre,1,8,0,3,0,990,6,
L. M'Pasi,Le Havre,0,7,0,2,0,450,2,
B. Allain,Grenoble Foot 38,0,0,0,0,0,0,0,
M. Pattier,Grenoble Foot 38,0,1,0,0,0,90,0,
Y. Clementia,Caen,0,1,0,0,0,180,0,
T. Bartouche,Guingamp,0,0,0,0,0,0,0,
O. Nkambadio,Paris FC,0,18,0,3,0,1388,8,
M. Diop,Grenoble Foot 38,1,6,0,5,0,1350,10,
E. Crombez,Rodez AF,0,0,0,0,0,0,0,
