Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
T. Mangani,Ajaccio,15,247,2427,1,,0,0,0.0,,0.0,5,6,3,5,0,14,99,84,16,4,0,3,Midfielder
Y. M'Vila,Caen,12,877,2428,0,7.0,3,1,0.0,,0.0,23,32,11,17,0,55,550,474,93,10,0,8,Midfielder
M. Autret,Caen,5,79,2429,0,1.0,0,0,0.0,,0.0,3,0,0,1,1,7,53,38,8,12,0,6,Midfielder
M. Barreto,Dijon,14,1114,2430,4,15.0,4,1,0.0,,0.0,23,7,6,7,2,60,525,404,78,54,5,24,Midfielder
T. Monconduit,Amiens SC,10,776,2431,0,9.0,2,0,0.0,,0.0,11,27,10,4,4,24,349,291,44,0,0,3,Midfielder
C. Vincent,Bastia,14,794,2432,0,21.0,9,4,0.0,,0.0,11,8,2,4,9,21,281,238,31,34,0,8,Midfielder
O. Orinel,Nîmes Olympique,10,665,2433,1,13.0,7,3,0.0,,0.0,18,9,12,5,1,44,240,194,23,11,0,7,Midfielder
J. Eickmayer,Bastia,11,505,2434,0,5.0,1,0,0.0,,0.0,3,5,2,1,0,12,202,175,14,10,0,2,Midfielder
M. López,Paris FC,14,1246,2435,5,13.0,3,1,0.0,,0.0,29,12,15,1,4,60,1273,1135,129,62,7,35,Midfielder
Y. Demoncy,Guingamp,16,1269,2436,2,12.0,5,4,0.0,,0.0,15,9,4,9,3,52,495,388,23,103,3,27,Midfielder
D. Louiserre,Guingamp,14,1207,2437,0,12.0,5,0,0.0,,0.0,30,23,8,10,5,52,879,805,64,7,0,8,Midfielder
J. Benet,Grenoble Foot 38,15,1328,2438,2,12.0,4,3,0.0,,0.0,27,20,18,9,2,68,625,536,71,62,4,14,Midfielder
A. Bobichon,Pau FC,2,32,2439,0,1.0,0,0,0.0,,0.0,0,0,0,0,0,1,15,14,2,5,0,4,Midfielder
V. Marchetti,Paris FC,15,1083,2440,3,21.0,6,1,0.0,,0.0,16,13,15,9,11,48,642,556,47,6,4,13,Midfielder
D. Tavares,Sochaux,1,20,2441,0,,0,0,0.0,,0.0,0,2,1,1,0,1,0,0,0,2,0,1,Midfielder
M. Cafaro,Paris FC,11,568,2442,3,20.0,10,4,0.0,,0.0,6,7,2,0,6,20,220,180,12,10,4,8,Midfielder
A. Leautey,Amiens SC,16,1418,2443,3,24.0,12,5,0.0,,0.0,14,8,6,3,8,68,473,387,30,41,5,15,Midfielder
L. Rajot,Caen,13,293,2444,0,5.0,1,0,0.0,,0.0,5,4,3,9,3,16,208,178,25,4,0,2,Midfielder
J. Anziani,Pau FC,16,1355,2445,1,31.0,6,3,0.0,,0.0,15,23,18,13,8,58,515,408,62,67,5,22,Midfielder
S. Beusnard,Pau FC,15,1094,2446,1,12.0,2,1,0.0,,0.0,19,10,9,8,7,37,564,504,45,8,0,17,Midfielder
K. Kaiboue,Amiens SC,10,886,2447,1,9.0,5,0,0.0,,0.0,31,33,12,24,0,77,472,349,104,20,0,7,Midfielder
V. Lobry,Amiens SC,15,1239,2448,2,12.0,1,0,0.0,,0.0,12,21,14,14,7,45,545,460,62,18,4,11,Midfielder
K. Sidibé,Guingamp,12,944,2449,1,9.0,3,0,0.0,,0.0,17,21,5,46,1,84,585,475,39,1,0,11,Midfielder
F. Tomi,Bastia,6,258,2450,1,7.0,3,2,0.0,,0.0,3,0,0,5,2,12,83,69,5,7,1,9,Midfielder
G. Kyeremeh,Le Havre,12,706,2451,2,13.0,6,2,0.0,,0.0,3,0,2,2,4,23,120,102,2,20,3,12,Midfielder
A. Boutrah,Bastia,16,1305,2452,1,38.0,13,1,0.0,,0.0,13,3,14,7,15,79,567,472,41,30,2,24,Midfielder
T. Ducrocq,Bastia,14,1185,2453,2,25.0,13,2,0.0,,0.0,21,26,20,9,6,44,517,423,60,52,4,19,Midfielder
A. Sagna,Guingamp,9,166,2454,0,2.0,2,1,0.0,,0.0,3,1,0,2,0,9,59,46,0,7,0,0,Midfielder
A. Trouillet,Rodez AF,11,423,2455,1,7.0,2,0,0.0,,0.0,15,3,6,5,3,25,169,136,16,8,1,1,Midfielder
M. Essimi,USL Dunkerque,5,136,2456,0,1.0,1,1,0.0,,0.0,3,2,2,2,0,8,27,19,0,3,0,1,Midfielder
M. Bangré,Grenoble Foot 38,12,442,2457,0,13.0,6,1,0.0,,0.0,4,1,1,4,1,17,171,145,4,5,0,7,Midfielder
E. Bardeli,USL Dunkerque,15,1126,2458,4,13.0,4,1,0.0,,0.0,19,9,7,7,0,40,615,517,36,57,6,30,Midfielder
K. Gasnier,Pau FC,2,15,2459,0,1.0,0,0,0.0,,0.0,2,0,0,0,0,2,3,3,0,0,0,0,Midfielder
K. Diawara,Le Havre,15,533,2460,0,13.0,5,1,0.0,,0.0,5,1,4,2,5,19,116,91,1,10,1,9,Midfielder
F. Doucouré,Le Havre,9,609,2461,0,8.0,2,0,0.0,,0.0,20,15,10,5,0,34,284,225,24,22,0,6,Midfielder
W. Younoussa,Rodez AF,16,1048,2462,2,20.0,4,0,0.0,,0.0,18,4,15,15,7,85,349,235,60,32,4,10,Midfielder
I. Kebbal,Paris FC,13,910,2463,6,11.0,2,1,0.0,,0.0,17,6,5,0,6,53,554,483,41,38,5,23,Midfielder
D. Gaucho,Caen,11,885,2464,1,8.0,4,0,0.0,,0.0,22,34,17,19,2,48,502,428,74,2,1,3,Midfielder
S. Belloumou,Valenciennes,14,1087,2465,0,6.0,1,0,0.0,,0.0,33,28,18,22,1,78,676,548,90,3,0,5,Midfielder
N. Kandil,Amiens SC,10,575,2466,0,9.0,5,2,0.0,,0.0,20,9,6,5,2,47,237,175,22,17,2,12,Midfielder
L. Doucet,USL Dunkerque,16,281,2467,0,2.0,1,1,0.0,,0.0,6,4,3,1,0,15,154,134,19,6,0,4,Midfielder
M. Achi,Rodez AF,9,57,2468,0,1.0,0,0,0.0,,0.0,1,0,0,1,1,4,20,17,3,6,0,2,Midfielder
J. Janneh,Bastia,12,875,2469,0,5.0,2,0,0.0,,0.0,40,8,10,15,1,68,492,425,64,3,0,7,Midfielder
R. Lutin,Amiens SC,16,660,2470,1,7.0,0,0,0.0,,0.0,29,4,4,2,5,59,242,189,26,11,0,6,Midfielder
S. Diba,Grenoble Foot 38,5,261,2471,0,6.0,0,0,0.0,,0.0,11,3,5,5,0,18,113,98,11,0,1,3,Midfielder
I. Fofana,Amiens SC,16,893,2472,0,5.0,1,1,0.0,,0.0,24,21,11,9,1,46,388,335,37,0,0,7,Midfielder
J. N'Duquidi,Amiens SC,8,145,2473,0,1.0,0,0,0.0,,0.0,1,2,1,5,1,8,72,62,4,0,0,0,Midfielder
K. Dong,Pau FC,4,26,2474,0,,0,0,0.0,,0.0,0,0,0,0,0,1,11,9,2,1,0,1,Midfielder
A. Ipiele,Valenciennes,16,866,2475,3,20.0,4,2,0.0,,0.0,9,5,7,17,7,55,276,185,10,41,1,17,Midfielder
TAT. Averlant,Amiens SC,2,167,2476,1,3.0,3,1,0.0,,0.0,3,0,0,1,0,10,31,27,4,5,1,1,Midfielder
RTR. Touzghar,Pau FC,2,18,2477,0,1.0,0,0,0.0,,0.0,0,0,1,2,0,2,7,4,0,1,0,0,Midfielder
A. Camara,Paris FC,14,917,2478,0,8.0,3,1,0.0,,0.0,32,10,11,15,2,83,511,443,43,7,1,10,Midfielder
