Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
T. Mangani,Ajaccio,99,84,16,1,4,0,247,3,
Y. M'Vila,Caen,550,474,93,0,10,0,877,8,
M. Autret,Caen,53,38,8,0,12,0,79,6,
M. Barreto,Dijon,525,404,78,4,54,5,1114,24,
T. Monconduit,Amiens SC,349,291,44,0,0,0,776,3,
C. Vincent,Bastia,281,238,31,0,34,0,794,8,
O. Orinel,Nîmes Olympique,240,194,23,1,11,0,665,7,
J. Eickmayer,Bastia,202,175,14,0,10,0,505,2,
M. López,Paris FC,1273,1135,129,5,62,7,1246,35,
Y. Demoncy,Guingamp,495,388,23,2,103,3,1269,27,
D. Louiserre,Guingamp,879,805,64,0,7,0,1207,8,
J. Benet,Grenoble Foot 38,625,536,71,2,62,4,1328,14,
A. Bobichon,Pau FC,15,14,2,0,5,0,32,4,
V. Marchetti,Paris FC,642,556,47,3,6,4,1083,13,
D. Tavares,Sochaux,0,0,0,0,2,0,20,1,
M. Cafaro,Paris FC,220,180,12,3,10,4,568,8,
A. Leautey,Amiens SC,473,387,30,3,41,5,1418,15,
L. Rajot,Caen,208,178,25,0,4,0,293,2,
J. Anziani,Pau FC,515,408,62,1,67,5,1355,22,
S. Beusnard,Pau FC,564,504,45,1,8,0,1094,17,
K. Kaiboue,Amiens SC,472,349,104,1,20,0,886,7,
V. Lobry,Amiens SC,545,460,62,2,18,4,1239,11,
K. Sidibé,Guingamp,585,475,39,1,1,0,944,11,
F. Tomi,Bastia,83,69,5,1,7,1,258,9,
G. Kyeremeh,Le Havre,120,102,2,2,20,3,706,12,
A. Boutrah,Bastia,567,472,41,1,30,2,1305,24,
T. Ducrocq,Bastia,517,423,60,2,52,4,1185,19,
A. Sagna,Guingamp,59,46,0,0,7,0,166,0,
A. Trouillet,Rodez AF,169,136,16,1,8,1,423,1,
M. Essimi,USL Dunkerque,27,19,0,0,3,0,136,1,
M. Bangré,Grenoble Foot 38,171,145,4,0,5,0,442,7,
E. Bardeli,USL Dunkerque,615,517,36,4,57,6,1126,30,
K. Gasnier,Pau FC,3,3,0,0,0,0,15,0,
K. Diawara,Le Havre,116,91,1,0,10,1,533,9,
F. Doucouré,Le Havre,284,225,24,0,22,0,609,6,
W. Younoussa,Rodez AF,349,235,60,2,32,4,1048,10,
I. Kebbal,Paris FC,554,483,41,6,38,5,910,23,
D. Gaucho,Caen,502,428,74,1,2,1,885,3,
S. Belloumou,Valenciennes,676,548,90,0,3,0,1087,5,
N. Kandil,Amiens SC,237,175,22,0,17,2,575,12,
L. Doucet,USL Dunkerque,154,134,19,0,6,0,281,4,
M. Achi,Rodez AF,20,17,3,0,6,0,57,2,
J. Janneh,Bastia,492,425,64,0,3,0,875,7,
R. Lutin,Amiens SC,242,189,26,1,11,0,660,6,
S. Diba,Grenoble Foot 38,113,98,11,0,0,1,261,3,
I. Fofana,Amiens SC,388,335,37,0,0,0,893,7,
J. N'Duquidi,Amiens SC,72,62,4,0,0,0,145,0,
K. Dong,Pau FC,11,9,2,0,1,0,26,1,
A. Ipiele,Valenciennes,276,185,10,3,41,1,866,17,
TAT. Averlant,Amiens SC,31,27,4,1,5,1,167,1,
RTR. Touzghar,Pau FC,7,4,0,0,1,0,18,0,
A. Camara,Paris FC,511,443,43,0,7,1,917,10,
A. Sekongo,USL Dunkerque,127,107,7,1,3,2,308,4,
M. Manitu,Amiens SC,28,22,2,0,3,0,128,2,
BMB. Merouga,Ajaccio,0,0,0,0,0,0,0,0,
IDI. Daf,Amiens SC,7,5,2,0,0,0,12,0,
