,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
0,466,Defender,Championship,K. Bartley,West Bromwich Albion,33,2612,0,24.0,6,0,1.87,1.88,0.86,25,179,23,111,4,148,1686,1500,158,1,3,11,0.0,0.0,0.0,0,0.0,0.83,0.21,5.1,58.09,51.68,5.44,0.03,0.1,0.38,0.86,6.17,0.79,3.82,0.14,0.0,0.06,0.06,0.03
1,467,Defender,Championship,S. Cook,Queens Park Rangers,32,2622,0,19.0,8,2,1.45,1.49,1.17,19,171,24,74,5,111,1398,1097,309,19,0,7,0.0,0.07,0.0,2,0.07,0.65,0.27,3.81,47.99,37.65,10.61,0.65,0.0,0.24,0.65,5.87,0.82,2.54,0.17,0.0,0.05,0.05,0.04
2,468,Defender,Championship,C. Forsyth,Derby County,46,2554,4,18.0,6,3,2.03,2.0,1.86,36,134,30,93,2,145,1091,780,203,35,4,12,0.0,0.11,0.14,7,0.25,0.63,0.21,5.11,38.45,27.49,7.15,1.23,0.14,0.42,1.27,4.72,1.06,3.28,0.07,0.0,0.07,0.07,0.07
3,469,Defender,Championship,A. Hughes,Preston North End,41,3238,1,9.0,3,0,0.66,0.53,1.51,73,155,36,129,3,236,1744,1330,278,42,0,15,0.0,0.0,0.03,1,0.03,0.25,0.08,6.56,48.47,36.97,7.73,1.17,0.0,0.42,2.03,4.31,1.0,3.59,0.08,0.0,0.02,0.01,0.04
4,470,Defender,Championship,D. Batth,Derby County,39,3016,0,17.0,6,2,2.12,2.09,0.88,31,239,37,154,7,206,1545,1236,271,0,1,4,0.0,0.06,0.0,2,0.06,0.51,0.18,6.15,46.1,36.88,8.09,0.0,0.03,0.12,0.93,7.13,1.1,4.6,0.21,0.0,0.06,0.06,0.03
5,471,Defender,Championship,J. Robinson,Birmingham City,43,3114,0,14.0,2,0,0.9,0.9,1.03,40,180,25,111,4,190,1958,1697,267,3,0,11,0.0,0.0,0.0,0,0.0,0.4,0.06,5.49,56.59,49.05,7.72,0.09,0.0,0.32,1.16,5.2,0.72,3.21,0.12,0.0,0.03,0.03,0.03
6,472,Defender,Championship,J. Egan,Hull City,42,905,0,5.0,1,0,0.26,0.28,0.09,2,70,3,33,1,38,399,331,56,0,0,5,0.0,0.0,0.0,0,0.0,0.5,0.1,3.78,39.68,32.92,5.57,0.0,0.0,0.5,0.2,6.96,0.3,3.28,0.1,0.0,0.03,0.03,0.01
7,473,Defender,Championship,L. Ayling,Middlesbrough,30,1953,2,14.0,2,0,0.67,0.67,2.95,60,33,23,32,3,124,1378,1172,142,57,4,23,0.0,0.0,0.09,2,0.09,0.65,0.09,5.71,63.5,54.01,6.54,2.63,0.18,1.06,2.76,1.52,1.06,1.47,0.14,0.0,0.03,0.03,0.14
8,474,Defender,Championship,J. Bidwell,Coventry City,42,2080,1,12.0,1,1,1.57,1.05,2.49,20,60,18,45,2,82,786,586,77,84,5,22,0.0,0.04,0.04,2,0.09,0.52,0.04,3.55,34.01,25.36,3.33,3.63,0.22,0.95,0.87,2.6,0.78,1.95,0.09,0.0,0.07,0.05,0.11
9,475,Defender,Championship,R. Leonard,Millwall,34,2631,1,12.0,0,0,0.88,0.88,2.25,77,103,35,80,3,212,1031,679,251,61,2,30,0.0,0.0,0.03,1,0.03,0.41,0.0,7.25,35.27,23.23,8.59,2.09,0.07,1.03,2.63,3.52,1.2,2.74,0.1,0.0,0.03,0.03,0.08
10,476,Defender,Championship,B. Gibson,Stoke City,33,1947,0,8.0,4,3,1.11,1.11,0.14,14,112,17,61,1,88,1423,1190,241,0,0,2,0.0,0.14,0.0,3,0.14,0.37,0.18,4.07,65.78,55.01,11.14,0.0,0.0,0.09,0.65,5.18,0.79,2.82,0.05,0.0,0.05,0.05,0.01
11,477,Defender,Championship,D. Lenihan,Middlesbrough,3,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,478,Defender,Championship,S. Bradley,Derby County,22,305,0,1.0,1,0,0.21,0.21,0.07,2,28,5,7,0,11,100,79,9,1,0,0,0.0,0.0,0.0,0,0.0,0.3,0.3,3.25,29.51,23.31,2.66,0.3,0.0,0.0,0.59,8.26,1.48,2.07,0.0,0.0,0.06,0.06,0.02
13,479,Defender,Championship,M. Wallace,Huddersfield Town,30,732,0,5.0,1,0,0.25,0.25,0.04,7,59,5,36,1,47,335,252,67,1,0,1,0.0,0.0,0.0,0,0.0,0.61,0.12,5.78,41.19,30.98,8.24,0.12,0.0,0.12,0.86,7.25,0.61,4.43,0.12,0.0,0.03,0.03,0.0
14,480,Defender,Championship,M. Ihiekwe,Blackpool,29,1820,0,22.0,8,2,1.62,1.66,0.29,17,131,19,99,3,130,935,791,80,0,0,6,0.0,0.1,0.0,2,0.1,1.09,0.4,6.43,46.24,39.12,3.96,0.0,0.0,0.3,0.84,6.48,0.94,4.9,0.15,0.0,0.08,0.08,0.01
15,481,Defender,Championship,J. Bryan,Millwall,40,3283,1,24.0,6,1,1.33,1.34,4.33,90,113,69,56,9,203,1267,934,236,164,7,50,0.0,0.03,0.03,2,0.05,0.66,0.16,5.57,34.73,25.6,6.47,4.5,0.19,1.37,2.47,3.1,1.89,1.54,0.25,0.0,0.04,0.04,0.12
16,482,Defender,Championship,K. Naismith,Bristol City,31,763,0,3.0,0,0,0.06,0.06,0.19,19,47,6,38,2,74,404,307,65,4,0,3,0.0,0.0,0.0,0,0.0,0.35,0.0,8.73,47.65,36.21,7.67,0.47,0.0,0.35,2.24,5.54,0.71,4.48,0.24,0.0,0.01,0.01,0.02
17,483,Defender,Championship,C. Chambers,Cardiff City,41,3520,1,30.0,9,2,1.53,1.52,1.77,73,144,52,90,8,187,2059,1682,263,20,1,24,0.0,0.05,0.03,3,0.08,0.77,0.23,4.78,52.64,43.01,6.72,0.51,0.03,0.61,1.87,3.68,1.33,2.3,0.2,0.0,0.04,0.04,0.05
18,484,Defender,Championship,J. Whatmough,Huddersfield Town,30,1130,1,5.0,1,0,0.29,0.23,0.65,27,76,13,48,3,82,644,523,98,2,1,3,0.0,0.0,0.08,1,0.08,0.4,0.08,6.53,51.29,41.65,7.81,0.16,0.08,0.24,2.15,6.05,1.04,3.82,0.24,0.0,0.02,0.02,0.05
19,485,Defender,Championship,S. Ajayi,Hull City,17,1230,0,5.0,1,0,0.44,0.44,0.13,12,54,11,30,0,49,814,706,85,3,0,1,0.0,0.0,0.0,0,0.0,0.37,0.07,3.59,59.56,51.66,6.22,0.22,0.0,0.07,0.88,3.95,0.8,2.2,0.0,0.0,0.03,0.03,0.01
20,486,Defender,Championship,L. Lindsay,Preston North End,39,2625,1,22.0,5,1,1.87,1.99,0.46,39,221,50,140,6,201,1372,1080,184,1,3,6,0.0,0.03,0.03,2,0.07,0.75,0.17,6.89,47.04,37.03,6.31,0.03,0.1,0.21,1.34,7.58,1.71,4.8,0.21,0.0,0.06,0.07,0.02
21,487,Defender,Championship,Y. Ribeiro,Blackburn Rovers,15,1350,1,8.0,0,0,0.6,0.65,1.55,24,50,16,26,4,73,682,524,86,74,2,7,0.0,0.0,0.07,1,0.07,0.53,0.0,4.87,45.47,34.93,5.73,4.93,0.13,0.47,1.6,3.33,1.07,1.73,0.27,0.0,0.04,0.04,0.1
22,488,Defender,Championship,J. Cooper,Millwall,36,3195,1,43.0,12,3,2.57,2.69,0.78,33,234,21,183,8,235,1336,1004,276,1,1,11,0.0,0.08,0.03,4,0.11,1.21,0.34,6.62,37.63,28.28,7.77,0.03,0.03,0.31,0.93,6.59,0.59,5.15,0.23,0.0,0.07,0.08,0.02
23,489,Defender,Championship,M. Clarke,Derby County,43,2478,0,18.0,5,3,2.31,2.05,1.74,54,176,36,107,3,184,1357,1111,213,6,5,14,0.0,0.11,0.0,3,0.11,0.65,0.18,6.68,49.29,40.35,7.74,0.22,0.18,0.51,1.96,6.39,1.31,3.89,0.11,0.0,0.08,0.07,0.06
24,490,Defender,Championship,D. Fry,Middlesbrough,27,1416,0,4.0,2,0,0.45,0.45,0.46,8,140,21,65,0,79,1077,972,100,0,1,2,0.0,0.0,0.0,0,0.0,0.25,0.13,5.02,68.45,61.78,6.36,0.0,0.06,0.13,0.51,8.9,1.33,4.13,0.0,0.0,0.03,0.03,0.03
25,491,Defender,Championship,P. Ng,Cardiff City,37,2790,1,25.0,7,1,1.61,1.57,2.45,79,92,26,50,8,210,1331,1020,195,41,2,29,0.0,0.03,0.03,2,0.06,0.81,0.23,6.77,42.94,32.9,6.29,1.32,0.06,0.94,2.55,2.97,0.84,1.61,0.26,0.0,0.05,0.05,0.08
26,492,Defender,Championship,C. Elder,Derby County,31,2155,3,9.0,1,0,0.41,0.38,2.67,42,63,27,56,7,127,757,550,70,115,6,30,0.0,0.0,0.13,3,0.13,0.38,0.04,5.3,31.61,22.97,2.92,4.8,0.25,1.25,1.75,2.63,1.13,2.34,0.29,0.0,0.02,0.02,0.11
