,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
0,793,Defender,Eredivisie,N. Viergever,FC Utrecht,33,2951,1,14.0,7,3,3.5,3.49,1.5,52,159,28,53,1,120,1818,1569,180,2,1,7,0.0,0.09,0.03,4,0.12,0.43,0.21,3.66,55.45,47.85,5.49,0.06,0.03,0.21,1.59,4.85,0.85,1.62,0.03,0.0,0.11,0.11,0.05
1,794,Defender,Eredivisie,B. Nuytinck,NEC Nijmegen,27,1699,0,13.0,4,1,1.13,1.13,0.62,27,120,16,59,3,96,1060,941,124,2,1,4,0.0,0.05,0.0,1,0.05,0.69,0.21,5.09,56.15,49.85,6.57,0.11,0.05,0.21,1.43,6.36,0.85,3.13,0.16,0.0,0.06,0.06,0.03
2,795,Defender,Eredivisie,P. van Aanholt,Sparta Rotterdam,21,1679,0,19.0,1,0,0.64,0.65,2.11,29,44,21,7,7,48,655,544,57,24,1,18,0.0,0.0,0.0,0,0.0,1.02,0.05,2.57,35.11,29.16,3.06,1.29,0.05,0.96,1.55,2.36,1.13,0.38,0.38,0.0,0.03,0.03,0.11
3,796,Defender,Eredivisie,M. Peersman,FC Groningen,26,1814,2,4.0,0,0,0.21,0.21,1.26,36,91,22,40,1,123,1041,831,114,26,2,10,0.0,0.0,0.1,2,0.1,0.2,0.0,6.1,51.65,41.23,5.66,1.29,0.1,0.5,1.79,4.51,1.09,1.98,0.05,0.0,0.01,0.01,0.06
4,797,Defender,Eredivisie,I. Pinto,Fortuna Sittard,31,2514,3,5.0,1,0,0.25,0.25,4.5,50,76,24,16,1,91,931,682,187,95,2,26,0.0,0.0,0.11,3,0.11,0.18,0.04,3.26,33.33,24.42,6.69,3.4,0.07,0.93,1.79,2.72,0.86,0.57,0.04,0.0,0.01,0.01,0.16
5,798,Defender,Eredivisie,B. Martins Indi,Sparta Rotterdam,24,555,0,3.0,0,0,0.08,0.09,0.24,3,25,4,7,1,17,472,433,30,0,0,3,0.0,0.0,0.0,0,0.0,0.49,0.0,2.76,76.54,70.22,4.86,0.0,0.0,0.49,0.49,4.05,0.65,1.14,0.16,0.0,0.01,0.01,0.04
6,799,Defender,Eredivisie,G. Trauner,Feyenoord,23,1393,0,14.0,3,0,0.96,1.14,0.93,18,73,36,47,6,73,1146,1036,77,0,1,6,0.0,0.0,0.0,0,0.0,0.9,0.19,4.72,74.04,66.93,4.97,0.0,0.06,0.39,1.16,4.72,2.33,3.04,0.39,0.0,0.06,0.07,0.06
7,800,Defender,Eredivisie,G. Nauber,Go Ahead Eagles,32,2688,0,15.0,4,2,1.75,1.78,0.37,26,165,16,55,6,90,1667,1474,205,0,0,5,0.0,0.07,0.0,2,0.07,0.5,0.13,3.01,55.81,49.35,6.86,0.0,0.0,0.17,0.87,5.52,0.54,1.84,0.2,0.0,0.06,0.06,0.01
8,801,Defender,Eredivisie,M. van der Hoorn,FC Utrecht,32,2559,2,23.0,8,3,2.72,2.69,1.43,39,182,37,152,4,212,1625,1330,308,3,5,12,0.0,0.11,0.07,5,0.18,0.81,0.28,7.46,57.15,46.78,10.83,0.11,0.18,0.42,1.37,6.4,1.3,5.35,0.14,0.0,0.1,0.09,0.05
9,802,Defender,Eredivisie,D. Mirani,Heracles Almelo,34,3016,0,22.0,5,2,1.66,1.66,1.03,45,209,33,115,2,173,1765,1509,264,6,1,8,0.0,0.06,0.0,2,0.06,0.66,0.15,5.16,52.67,45.03,7.88,0.18,0.03,0.24,1.34,6.24,0.98,3.43,0.06,0.0,0.05,0.05,0.03
10,803,Defender,Eredivisie,D. Sinkgraven,Fortuna Sittard,2,77,0,0.0,0,0,0.0,0.0,0.02,5,6,1,0,0,6,48,42,4,4,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,7.01,56.1,49.09,4.68,4.68,0.0,0.0,5.84,7.01,1.17,0.0,0.0,0.0,0.0,0.0,0.02
11,804,Defender,Eredivisie,J. Kramer,Go Ahead Eagles,34,3047,1,26.0,9,0,1.72,1.68,1.99,31,240,29,87,6,141,2408,2137,253,6,4,15,0.0,0.0,0.03,1,0.03,0.77,0.27,4.16,71.13,63.12,7.47,0.18,0.12,0.44,0.92,7.09,0.86,2.57,0.18,0.0,0.05,0.05,0.06
