,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
0,1478,Defender,LaLiga 2,J. Ángel,Sporting Gijón,38,1380,2,13.0,3,1,26,44,10,25,2,66,685,552,113,155,4,27,0.0,0.07,0.13,3,0.2,0.85,0.2,4.3,44.67,36.0,7.37,10.11,0.26,1.76,1.7,2.87,0.65,1.63,0.13,0.0
1,1479,Defender,LaLiga 2,J. Pulido,Huesca,37,3184,1,20.0,7,2,29,231,40,79,2,132,1579,1395,167,2,3,12,0.0,0.06,0.03,3,0.08,0.57,0.2,3.73,44.63,39.43,4.72,0.06,0.08,0.34,0.82,6.53,1.13,2.23,0.06,0.0
2,1480,Defender,LaLiga 2,M. Mateu,CD Tenerife,37,3218,5,24.0,7,2,36,83,23,12,5,91,1313,974,340,272,9,57,0.0,0.06,0.14,7,0.2,0.67,0.2,2.55,36.72,27.24,9.51,7.61,0.25,1.59,1.01,2.32,0.64,0.34,0.14,0.0
3,1481,Defender,LaLiga 2,N. Maraš,Mirandés,35,2026,1,11.0,2,0,30,124,17,66,1,108,982,828,120,2,2,9,0.0,0.0,0.04,1,0.04,0.49,0.09,4.8,43.62,36.78,5.33,0.09,0.09,0.4,1.33,5.51,0.76,2.93,0.04,0.0
4,1482,Defender,LaLiga 2,A. Arbilla,Eibar,30,2326,0,17.0,5,0,23,139,36,42,3,80,1703,1424,356,1,0,6,0.0,0.0,0.0,0,0.0,0.66,0.19,3.1,65.89,55.1,13.77,0.04,0.0,0.23,0.89,5.38,1.39,1.63,0.12,0.0
5,1483,Defender,LaLiga 2,I. Miquel,Leganés,35,1252,1,4.0,1,0,12,97,19,26,0,43,658,561,110,1,1,3,0.0,0.0,0.07,1,0.07,0.29,0.07,3.09,47.3,40.33,7.91,0.07,0.07,0.22,0.86,6.97,1.37,1.87,0.0,0.0
7,1485,Defender,LaLiga 2,S. Postigo,Mirandés,32,690,1,5.0,0,0,6,49,9,12,1,22,350,311,52,0,1,3,0.0,0.0,0.13,1,0.13,0.65,0.0,2.87,45.65,40.57,6.78,0.0,0.13,0.39,0.78,6.39,1.17,1.57,0.13,0.0
8,1486,Defender,LaLiga 2,P. Insua,Real Zaragoza,30,1108,0,4.0,2,1,28,65,13,35,1,68,672,582,72,0,0,2,0.0,0.08,0.0,1,0.08,0.32,0.16,5.52,54.58,47.27,5.85,0.0,0.0,0.16,2.27,5.28,1.06,2.84,0.08,0.0
9,1487,Defender,LaLiga 2,J. Antonio Ríos,FC Cartagena,23,1078,1,5.0,0,0,10,39,10,8,2,24,398,288,90,64,2,14,0.0,0.0,0.08,1,0.08,0.42,0.0,2.0,33.23,24.04,7.51,5.34,0.17,1.17,0.83,3.26,0.83,0.67,0.17,0.0
10,1488,Defender,LaLiga 2,N. Martínez,FC Cartagena,16,1129,3,8.0,2,2,27,38,15,10,2,62,409,299,82,37,3,15,0.0,0.16,0.24,5,0.4,0.64,0.16,4.94,32.6,23.84,6.54,2.95,0.24,1.2,2.15,3.03,1.2,0.8,0.16,0.0
11,1489,Defender,LaLiga 2,E. Galilea,Málaga,37,1997,1,12.0,3,0,37,109,25,45,1,97,1136,969,136,0,1,4,0.0,0.0,0.05,1,0.05,0.54,0.14,4.37,51.2,43.67,6.13,0.0,0.05,0.18,1.67,4.91,1.13,2.03,0.05,0.0
12,1490,Defender,LaLiga 2,D. Costas,Real Oviedo,39,2872,1,7.0,3,1,34,126,27,87,1,146,1722,1529,235,0,2,4,0.0,0.03,0.03,2,0.06,0.22,0.09,4.58,53.96,47.91,7.36,0.0,0.06,0.13,1.07,3.95,0.85,2.73,0.03,0.0
13,1491,Defender,LaLiga 2,J. León,CD Tenerife,33,2500,0,16.0,5,3,24,129,24,67,3,117,1362,1083,294,3,0,3,0.0,0.11,0.0,3,0.11,0.58,0.18,4.21,49.03,38.99,10.58,0.11,0.0,0.11,0.86,4.64,0.86,2.41,0.11,0.0
14,1492,Defender,LaLiga 2,D. Calvo,Real Oviedo,44,3957,3,20.0,7,2,49,237,28,124,3,191,2403,2162,240,8,3,9,0.0,0.05,0.07,5,0.11,0.45,0.16,4.34,54.66,49.17,5.46,0.18,0.07,0.2,1.11,5.39,0.64,2.82,0.07,0.0
15,1493,Defender,LaLiga 2,L. Ahijado,Real Oviedo,39,816,2,5.0,2,1,27,16,6,4,2,41,259,212,30,17,1,7,0.0,0.11,0.22,3,0.33,0.55,0.22,4.52,28.57,23.38,3.31,1.88,0.11,0.77,2.98,1.76,0.66,0.44,0.22,0.0
16,1494,Defender,LaLiga 2,V. Garcia Marin,Málaga,39,1660,1,4.0,1,0,52,35,17,6,0,68,842,691,88,98,4,20,0.0,0.0,0.05,1,0.05,0.22,0.05,3.69,45.65,37.46,4.77,5.31,0.22,1.08,2.82,1.9,0.92,0.33,0.0,0.0
17,1495,Defender,LaLiga 2,F. Miguel,Burgos Club de Fútbol,41,3184,1,29.0,5,0,56,134,37,51,6,166,1084,764,194,93,6,20,0.0,0.0,0.03,1,0.03,0.82,0.14,4.69,30.64,21.6,5.48,2.63,0.17,0.57,1.58,3.79,1.05,1.44,0.17,0.0
18,1496,Defender,LaLiga 2,K. Vázquez,Sporting Gijón,37,797,1,4.0,1,0,15,30,5,12,1,38,331,246,57,24,0,4,0.0,0.0,0.11,1,0.11,0.45,0.11,4.29,37.38,27.78,6.44,2.71,0.0,0.45,1.69,3.39,0.56,1.36,0.11,0.0
19,1497,Defender,LaLiga 2,A. Buñuel,Burgos Club de Fútbol,29,2177,0,9.0,5,1,58,79,18,28,1,116,733,547,110,55,1,11,0.0,0.04,0.0,1,0.04,0.37,0.21,4.8,30.3,22.61,4.55,2.27,0.04,0.45,2.4,3.27,0.74,1.16,0.04,0.0
20,1498,Defender,LaLiga 2,C. Pomares,Real Zaragoza,38,1676,2,13.0,2,0,50,57,22,30,4,105,749,565,130,70,2,17,0.0,0.0,0.11,2,0.11,0.7,0.11,5.64,40.22,30.34,6.98,3.76,0.11,0.91,2.68,3.06,1.18,1.61,0.21,0.0
21,1499,Defender,LaLiga 2,A. Radovanović,Real Zaragoza,43,1155,0,8.0,2,0,15,81,13,39,2,61,594,511,88,0,0,1,0.0,0.0,0.0,0,0.0,0.62,0.16,4.75,46.29,39.82,6.86,0.0,0.0,0.08,1.17,6.31,1.01,3.04,0.16,0.0
22,1500,Defender,LaLiga 2,A. Landázuri,CD Tenerife,13,846,1,3.0,1,1,8,51,10,16,1,33,461,394,87,2,2,5,0.0,0.11,0.11,2,0.21,0.32,0.11,3.51,49.04,41.91,9.26,0.21,0.21,0.53,0.85,5.43,1.06,1.7,0.11,0.0
