,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
1,1121,Defender,LaLiga,C. Azpilicueta,Sevilla,31,877,0,5.0,2,1,0.24,0.24,0.39,25,29,5,14,2,46,583,511,45,5,0,3,0.0,0.1,0.0,1,0.1,0.51,0.21,4.72,59.83,52.44,4.62,0.51,0.0,0.31,2.57,2.98,0.51,1.44,0.21,0.0,0.02,0.02,0.04
2,1122,Defender,LaLiga,Ó. de Marcos,Athletic Club,37,1574,4,8.0,2,0,1.0,1.0,2.19,32,31,16,8,1,49,759,602,95,55,6,19,0.0,0.0,0.23,4,0.23,0.46,0.11,2.8,43.4,34.42,5.43,3.14,0.34,1.09,1.83,1.77,0.91,0.46,0.06,0.0,0.06,0.06,0.13
3,1123,Defender,LaLiga,K. Femenía,Getafe,30,2229,1,3.0,0,0,0.36,0.36,2.12,50,55,40,6,1,85,1254,1134,71,47,3,16,0.0,0.0,0.04,1,0.04,0.12,0.0,3.43,50.63,45.79,2.87,1.9,0.12,0.65,2.02,2.22,1.62,0.24,0.04,0.0,0.01,0.01,0.09
5,1125,Defender,LaLiga,R. Rodríguez,Real Betis,35,1280,1,5.0,1,0,0.18,0.18,0.61,29,45,8,27,2,66,613,523,39,15,0,7,0.0,0.0,0.07,1,0.07,0.35,0.07,4.64,43.1,36.77,2.74,1.05,0.0,0.49,2.04,3.16,0.56,1.9,0.14,0.0,0.01,0.01,0.04
6,1126,Defender,LaLiga,M. Alonso,Celta Vigo,31,2655,0,34.0,13,3,3.97,1.61,2.03,35,118,34,70,10,149,2298,2079,201,42,3,21,0.0,0.1,0.0,3,0.1,1.15,0.44,5.05,77.9,70.47,6.81,1.42,0.1,0.71,1.19,4.0,1.15,2.37,0.34,0.0,0.13,0.05,0.07
7,1127,Defender,LaLiga,L. Cabrera,Espanyol,33,2870,2,19.0,6,4,1.18,1.11,0.72,40,195,30,77,6,126,1402,1073,300,17,2,9,0.0,0.13,0.06,6,0.19,0.6,0.19,3.95,43.97,33.65,9.41,0.53,0.06,0.28,1.25,6.11,0.94,2.41,0.19,0.0,0.04,0.03,0.02
8,1128,Defender,LaLiga,Y. Berchiche,Athletic Club,35,2048,2,16.0,4,0,0.56,0.56,2.16,33,70,27,28,8,86,1134,969,102,42,3,18,0.0,0.0,0.09,2,0.09,0.7,0.18,3.78,49.83,42.58,4.48,1.85,0.13,0.79,1.45,3.08,1.19,1.23,0.35,0.0,0.02,0.02,0.09
9,1129,Defender,LaLiga,F. Lejeune,Rayo Vallecano,37,3326,3,58.0,17,2,3.56,3.57,1.13,46,178,41,93,14,161,2046,1719,380,8,3,14,0.0,0.05,0.08,5,0.14,1.57,0.46,4.36,55.36,46.52,10.28,0.22,0.08,0.38,1.24,4.82,1.11,2.52,0.38,0.0,0.1,0.1,0.03
10,1130,Defender,LaLiga,M. Bartra,Real Betis,31,2101,1,18.0,5,2,1.19,1.19,0.24,33,145,33,51,4,104,1150,940,234,1,0,4,0.0,0.09,0.04,3,0.13,0.77,0.21,4.46,49.26,40.27,10.02,0.04,0.0,0.17,1.41,6.21,1.41,2.18,0.17,0.0,0.05,0.05,0.01
11,1131,Defender,LaLiga,D. Carvajal,Real Madrid,8,609,0,3.0,1,1,1.31,1.31,0.26,12,14,10,7,1,27,402,354,17,14,0,5,0.0,0.15,0.0,1,0.15,0.44,0.15,3.99,59.41,52.32,2.51,2.07,0.0,0.74,1.77,2.07,1.48,1.03,0.15,0.0,0.19,0.19,0.04
