,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
0,1941,Defender,Liga Portugal 2,P. Mota,Leixões SC,3,216,0,2.0,1,1,2,7,2,2,0,5,68,55,8,21,0,0,0.0,0.42,0.0,1,0.42,0.83,0.42,2.08,28.33,22.92,3.33,8.75,0.0,0.0,0.83,2.92,0.83,0.83,0.0,0.0
2,1943,Defender,Liga Portugal 2,R. Alves,Chaves,5,450,0,4.0,3,2,5,33,4,18,1,24,161,127,32,2,0,1,0.0,0.4,0.0,2,0.4,0.8,0.6,4.8,32.2,25.4,6.4,0.4,0.0,0.2,1.0,6.6,0.8,3.6,0.2,0.0
3,1944,Defender,Liga Portugal 2,H. Basto,CD Trofense,3,257,0,1.0,0,0,4,18,1,5,1,9,82,63,9,0,0,0,0.0,0.0,0.0,0,0.0,0.35,0.0,3.15,28.72,22.06,3.15,0.0,0.0,0.0,1.4,6.3,0.35,1.75,0.35,0.0
4,1945,Defender,Liga Portugal 2,R. Rossi,CD Mafra,5,450,0,3.0,0,0,4,26,6,12,0,18,206,169,39,0,0,2,0.0,0.0,0.0,0,0.0,0.6,0.0,3.6,41.2,33.8,7.8,0.0,0.0,0.4,0.8,5.2,1.2,2.4,0.0,0.0
5,1946,Defender,Liga Portugal 2,Simãozinho,Leixões SC,4,360,0,3.0,2,0,6,18,8,5,0,20,145,92,17,25,0,4,0.0,0.0,0.0,0,0.0,0.75,0.5,5.0,36.25,23.0,4.25,6.25,0.0,1.0,1.5,4.5,2.0,1.25,0.0,0.0
6,1947,Defender,Liga Portugal 2,Carraça,Chaves,5,450,1,5.0,1,0,7,7,6,7,3,20,188,150,15,44,0,5,0.0,0.0,0.2,1,0.2,1.0,0.2,4.0,37.6,30.0,3.0,8.8,0.0,1.0,1.4,1.4,1.2,1.4,0.6,0.0
7,1948,Defender,Liga Portugal 2,Talocha,Varzim SC,5,442,2,8.0,0,0,6,14,8,4,4,13,123,82,26,32,3,6,0.0,0.0,0.41,2,0.41,1.63,0.0,2.65,25.05,16.7,5.29,6.52,0.61,1.22,1.22,2.85,1.63,0.81,0.81,0.0
8,1949,Defender,Liga Portugal 2,J. Miguel,Penafiel,3,270,0,2.0,0,0,6,20,3,8,1,14,87,63,20,0,0,0,0.0,0.0,0.0,0,0.0,0.67,0.0,4.67,29.0,21.0,6.67,0.0,0.0,0.0,2.0,6.67,1.0,2.67,0.33,0.0
9,1950,Defender,Liga Portugal 2,B. Silva,Feirense,5,402,0,2.0,0,0,21,9,4,9,1,40,163,133,11,21,0,6,0.0,0.0,0.0,0,0.0,0.45,0.0,8.96,36.49,29.78,2.46,4.7,0.0,1.34,4.7,2.01,0.9,2.01,0.22,0.0
13,1954,Defender,Liga Portugal 2,ZRZ. Ricardo,Feirense,4,121,0,1.0,1,0,6,4,3,1,0,11,18,12,7,0,0,1,0.0,0.0,0.0,0,0.0,0.74,0.74,8.18,13.39,8.93,5.21,0.0,0.0,0.74,4.46,2.98,2.23,0.74,0.0,0.0
14,1955,Defender,Liga Portugal 2,A. Correia,Académico Viseu FC,5,450,1,4.0,1,0,9,21,7,5,1,16,272,236,50,2,1,3,0.0,0.0,0.2,1,0.2,0.8,0.2,3.2,54.4,47.2,10.0,0.4,0.2,0.6,1.8,4.2,1.4,1.0,0.2,0.0
15,1956,Defender,Liga Portugal 2,Chicao,Leixões SC,4,103,0,1.0,0,0,3,3,2,4,0,10,46,31,13,0,0,0,0.0,0.0,0.0,0,0.0,0.87,0.0,8.74,40.19,27.09,11.36,0.0,0.0,0.0,2.62,2.62,1.75,3.5,0.0,0.0
16,1957,Defender,Liga Portugal 2,N. Michelis,Académico Viseu FC,4,360,0,0.0,0,0,4,24,9,8,0,14,170,134,42,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.5,42.5,33.5,10.5,0.0,0.0,0.0,1.0,6.0,2.25,2.0,0.0,0.0
17,1958,Defender,Liga Portugal 2,B. Rodrigues,Chaves,5,450,0,3.0,2,0,10,25,3,5,1,18,224,189,35,0,0,1,0.0,0.0,0.0,0,0.0,0.6,0.4,3.6,44.8,37.8,7.0,0.0,0.0,0.2,2.0,5.0,0.6,1.0,0.2,0.0
19,1960,Defender,Liga Portugal 2,T. Domingos,Académico Viseu FC,5,420,0,1.0,0,0,5,16,4,3,1,12,159,111,17,22,0,1,0.0,0.0,0.0,0,0.0,0.21,0.0,2.57,34.07,23.79,3.64,4.71,0.0,0.21,1.07,3.43,0.86,0.64,0.21,0.0
20,1961,Defender,Liga Portugal 2,P. Rosas,Casa Pia,5,379,2,4.0,0,0,9,18,5,7,2,19,104,87,14,27,3,11,0.0,0.0,0.47,2,0.47,0.95,0.0,4.51,24.7,20.66,3.32,6.41,0.71,2.61,2.14,4.27,1.19,1.66,0.47,0.0
21,1962,Defender,Liga Portugal 2,R. Pereira,Académico Viseu FC,1,90,0,0.0,0,0,1,10,0,3,0,4,26,18,8,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.0,26.0,18.0,8.0,0.0,0.0,0.0,1.0,10.0,0.0,3.0,0.0,0.0
22,1963,Defender,Liga Portugal 2,A. Romero,Chaves,5,449,0,2.0,0,0,11,3,5,0,1,17,198,167,19,17,0,4,0.0,0.0,0.0,0,0.0,0.4,0.0,3.41,39.69,33.47,3.81,3.41,0.0,0.8,2.2,0.6,1.0,0.0,0.2,0.0
23,1964,Defender,Liga Portugal 2,J. Wynder,Benfica B U21,4,299,0,2.0,1,0,6,11,6,11,0,20,221,196,25,0,0,2,0.0,0.0,0.0,0,0.0,0.6,0.3,6.02,66.52,59.0,7.53,0.0,0.0,0.6,1.81,3.31,1.81,3.31,0.0,0.0
24,1965,Defender,Liga Portugal 2,D. Spencer,Benfica B U21,4,165,0,1.0,0,0,2,3,0,0,0,3,60,45,8,5,0,1,0.0,0.0,0.0,0,0.0,0.55,0.0,1.64,32.73,24.55,4.36,2.73,0.0,0.55,1.09,1.64,0.0,0.0,0.0,0.0
25,1966,Defender,Liga Portugal 2,I. Milioransa,Académico Viseu FC,4,214,1,3.0,0,0,1,4,4,2,0,8,76,52,12,8,1,6,0.0,0.0,0.42,1,0.42,1.26,0.0,3.36,31.96,21.87,5.05,3.36,0.42,2.52,0.42,1.68,1.68,0.84,0.0,0.0
