,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
0,1715,Defender,Liga Portugal,I. Marcano,FC Porto,11,943,0,7.0,1,1,0.64,0.65,0.28,11,43,13,29,1,45,760,678,90,10,1,4,0.0,0.1,0.0,1,0.1,0.67,0.1,4.29,72.53,64.71,8.59,0.95,0.1,0.38,1.05,4.1,1.24,2.77,0.1,0.0,0.06,0.06,0.03
1,1716,Defender,Liga Portugal,N. Otamendi,Benfica,32,2709,2,29.0,12,6,3.88,3.82,1.94,53,107,59,125,5,209,2014,1804,212,2,2,10,0.0,0.2,0.07,8,0.27,0.96,0.4,6.94,66.91,59.93,7.04,0.07,0.07,0.33,1.76,3.55,1.96,4.15,0.17,0.0,0.13,0.13,0.06
2,1717,Defender,Liga Portugal,P. Oliveira,Sporting Braga,24,1713,0,15.0,6,1,2.12,2.08,0.39,23,128,27,45,0,77,1147,980,145,1,0,1,0.0,0.05,0.0,1,0.05,0.79,0.32,4.05,60.26,51.49,7.62,0.05,0.0,0.05,1.21,6.73,1.42,2.36,0.0,0.0,0.11,0.11,0.02
3,1718,Defender,Liga Portugal,A. Santos,AVS - Futebol SAD,14,678,0,1.0,0,0,0.01,0.01,0.02,9,70,4,19,0,29,238,196,38,0,0,0,0.0,0.0,0.0,0,0.0,0.13,0.0,3.85,31.59,26.02,5.04,0.0,0.0,0.0,1.19,9.29,0.53,2.52,0.0,0.0,0.0,0.0,0.0
4,1719,Defender,Liga Portugal,L. Rocha,Vizela,30,2490,0,10.0,2,0,0.33,0.42,0.17,32,135,18,51,4,97,1091,934,106,1,1,3,0.0,0.0,0.0,0,0.0,0.36,0.07,3.51,39.43,33.76,3.83,0.04,0.04,0.11,1.16,4.88,0.65,1.84,0.14,0.0,0.01,0.02,0.01
5,1720,Defender,Liga Portugal,F. Ferreira,Boavista,26,2141,0,10.0,3,0,0.22,0.1,0.68,27,67,23,18,7,64,875,663,164,38,0,8,0.0,0.0,0.0,0,0.0,0.42,0.13,2.69,36.78,27.87,6.89,1.6,0.0,0.34,1.13,2.82,0.97,0.76,0.29,0.0,0.01,0.0,0.03
6,1721,Defender,Liga Portugal,R. Soares,Famalicão,24,1918,2,8.0,2,0,0.39,0.36,2.22,37,65,15,11,4,60,821,637,102,130,6,36,0.0,0.0,0.09,2,0.09,0.38,0.09,2.82,38.52,29.89,4.79,6.1,0.28,1.69,1.74,3.05,0.7,0.52,0.19,0.0,0.02,0.02,0.1
7,1722,Defender,Liga Portugal,F. Venâncio,Santa Clara,31,1654,0,4.0,1,0,0.24,0.25,0.19,28,97,24,37,0,66,767,651,102,3,0,6,0.0,0.0,0.0,0,0.0,0.22,0.05,3.59,41.74,35.42,5.55,0.16,0.0,0.33,1.52,5.28,1.31,2.01,0.0,0.0,0.01,0.01,0.01
8,1723,Defender,Liga Portugal,K. Afonso,AVS - Futebol SAD,9,320,0,3.0,0,0,0.09,0.08,0.15,3,10,5,8,1,15,111,79,24,8,0,4,0.0,0.0,0.0,0,0.0,0.84,0.0,4.22,31.22,22.22,6.75,2.25,0.0,1.12,0.84,2.81,1.41,2.25,0.28,0.0,0.02,0.02,0.04
10,1725,Defender,Liga Portugal,Ferro,Estoril Praia,25,1412,0,6.0,1,0,0.38,0.37,0.33,46,91,26,29,2,86,744,558,195,7,0,5,0.0,0.0,0.0,0,0.0,0.38,0.06,5.48,47.42,35.57,12.43,0.45,0.0,0.32,2.93,5.8,1.66,1.85,0.13,0.0,0.02,0.02,0.02
11,1726,Defender,Liga Portugal,CPC. Ponck,AVS - Futebol SAD,16,491,0,1.0,1,0,0.06,0.06,0.03,9,37,6,12,0,25,298,256,29,0,0,2,0.0,0.0,0.0,0,0.0,0.18,0.18,4.58,54.62,46.92,5.32,0.0,0.0,0.37,1.65,6.78,1.1,2.2,0.0,0.0,0.01,0.01,0.01
14,1729,Defender,Liga Portugal,J. Buatu,Gil Vicente,29,1733,2,5.0,0,0,0.35,0.35,0.6,26,94,15,35,2,68,1007,917,95,2,2,4,0.0,0.0,0.1,2,0.1,0.26,0.0,3.53,52.3,47.62,4.93,0.1,0.1,0.21,1.35,4.88,0.78,1.82,0.1,0.0,0.02,0.02,0.03
15,1730,Defender,Liga Portugal,P. Amaral,Estoril Praia,28,2303,2,7.0,2,0,0.44,0.55,2.49,30,59,21,24,1,90,945,758,112,66,1,20,0.0,0.0,0.08,2,0.08,0.27,0.08,3.52,36.93,29.62,4.38,2.58,0.04,0.78,1.17,2.31,0.82,0.94,0.04,0.0,0.02,0.02,0.1
16,1731,Defender,Liga Portugal,R. Abascal,Vitória SC,28,2510,0,18.0,4,0,0.83,0.54,1.33,56,138,41,36,6,105,1078,796,335,31,1,17,0.0,0.0,0.0,0,0.0,0.65,0.14,3.76,38.65,28.54,12.01,1.11,0.04,0.61,2.01,4.95,1.47,1.29,0.22,0.0,0.03,0.02,0.05
17,1732,Defender,Liga Portugal,A. Bah,Benfica,19,1325,1,11.0,1,0,1.02,1.02,1.39,48,14,19,23,5,106,723,592,59,55,5,12,0.0,0.0,0.07,1,0.07,0.75,0.07,7.2,49.11,40.21,4.01,3.74,0.34,0.82,3.26,0.95,1.29,1.56,0.34,0.0,0.07,0.07,0.09
18,1733,Defender,Liga Portugal,T. Esgaio,FC Arouca,23,2014,1,18.0,6,2,1.53,1.66,1.96,56,96,31,63,1,137,935,680,119,39,4,14,0.0,0.09,0.04,3,0.13,0.8,0.27,6.12,41.78,30.39,5.32,1.74,0.18,0.63,2.5,4.29,1.39,2.82,0.04,0.0,0.07,0.07,0.09
19,1734,Defender,Liga Portugal,S. Niakaté,Sporting Braga,25,1873,1,12.0,3,1,1.12,1.14,0.61,18,96,32,57,4,94,1354,1194,139,5,1,6,0.0,0.05,0.05,2,0.1,0.58,0.14,4.52,65.06,57.37,6.68,0.24,0.05,0.29,0.86,4.61,1.54,2.74,0.19,0.0,0.05,0.05,0.03
20,1735,Defender,Liga Portugal,J. De Haas,Famalicão,30,2386,0,12.0,5,1,1.65,0.92,0.33,39,155,43,72,5,126,1397,1188,215,1,0,3,0.0,0.04,0.0,1,0.04,0.45,0.19,4.75,52.69,44.81,8.11,0.04,0.0,0.11,1.47,5.85,1.62,2.72,0.19,0.0,0.06,0.03,0.01
