,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
0,2483,Defender,Premier League,J. Evans,Manchester United,17,314,0,2.0,1,0,0.13,0.0,0.02,8,15,5,10,0,24,214,190,12,0,0,0,0.0,0.0,0.0,0,0.0,0.57,0.29,6.88,61.34,54.46,3.44,0.0,0.0,0.0,2.29,4.3,1.43,2.87,0.0,0.0,0.04,0.0,0.01
1,2484,Defender,Premier League,N. Clyne,Crystal Palace,37,504,0,2.0,0,0,0.02,0.0,0.24,12,13,3,1,0,15,203,158,31,7,0,3,0.0,0.0,0.0,0,0.0,0.36,0.0,2.68,36.25,28.21,5.54,1.25,0.0,0.54,2.14,2.32,0.54,0.18,0.0,0.0,0.0,0.0,0.04
2,2485,Defender,Premier League,K. Walker,Burnley,17,973,0,5.0,2,0,0.14,0.0,1.33,17,11,3,9,2,34,731,648,55,14,2,7,0.0,0.0,0.0,0,0.0,0.46,0.18,3.14,67.62,59.94,5.09,1.29,0.18,0.65,1.57,1.02,0.28,0.83,0.18,0.0,0.01,0.0,0.12
3,2486,Defender,Premier League,C. Dawson,Wolverhampton,21,987,0,5.0,1,0,0.49,0.0,0.07,15,51,9,21,1,42,558,484,85,0,0,2,0.0,0.0,0.0,0,0.0,0.46,0.09,3.83,50.88,44.13,7.75,0.0,0.0,0.18,1.37,4.65,0.82,1.91,0.09,0.0,0.04,0.0,0.01
4,2487,Defender,Premier League,K. Trippier,Newcastle United,31,1328,3,4.0,0,0,0.12,0.0,1.45,38,42,12,22,2,75,1038,886,77,82,2,22,0.0,0.0,0.2,3,0.2,0.27,0.0,5.08,70.35,60.05,5.22,5.56,0.14,1.49,2.58,2.85,0.81,1.49,0.14,0.0,0.01,0.0,0.1
5,2488,Defender,Premier League,S. Coleman,Everton,18,224,0,1.0,1,0,0.57,0.0,0.02,3,7,1,2,0,10,74,57,16,4,0,0,0.0,0.0,0.0,0,0.0,0.4,0.4,4.02,29.73,22.9,6.43,1.61,0.0,0.0,1.21,2.81,0.4,0.8,0.0,0.0,0.23,0.0,0.01
6,2489,Defender,Premier League,B. Davies,Tottenham Hotspur,24,1330,0,5.0,1,0,0.28,0.0,0.48,17,79,12,53,1,77,1011,890,83,4,0,2,0.0,0.0,0.0,0,0.0,0.34,0.07,5.21,68.41,60.23,5.62,0.27,0.0,0.14,1.15,5.35,0.81,3.59,0.07,0.0,0.02,0.0,0.03
7,2490,Defender,Premier League,L. Digne,Aston Villa,38,2358,4,13.0,3,0,0.8,0.0,4.01,65,84,25,39,5,127,980,811,70,140,15,36,0.0,0.0,0.15,4,0.15,0.5,0.11,4.85,37.4,30.95,2.67,5.34,0.57,1.37,2.48,3.21,0.95,1.49,0.19,0.0,0.03,0.0,0.15
8,2491,Defender,Premier League,D. Burn,Newcastle United,37,3330,1,23.0,7,1,1.96,0.0,1.05,39,194,27,148,3,200,1994,1767,131,3,2,9,0.0,0.03,0.03,2,0.05,0.62,0.19,5.41,53.89,47.76,3.54,0.08,0.05,0.24,1.05,5.24,0.73,4.0,0.08,0.0,0.05,0.0,0.03
9,2492,Defender,Premier League,F. Schär,Newcastle United,34,2937,0,40.0,11,4,3.8,0.0,1.01,36,133,45,59,12,115,1942,1641,312,13,0,5,0.0,0.12,0.0,4,0.12,1.23,0.34,3.52,59.51,50.29,9.56,0.4,0.0,0.15,1.1,4.08,1.38,1.81,0.37,0.0,0.12,0.0,0.03
10,2493,Defender,Premier League,M. Keane,Everton,36,1046,0,10.0,4,3,0.62,0.0,0.01,12,65,16,26,2,38,372,312,74,1,0,2,0.0,0.26,0.0,3,0.26,0.86,0.34,3.27,32.01,26.85,6.37,0.09,0.0,0.17,1.03,5.59,1.38,2.24,0.17,0.0,0.05,0.0,0.0
11,2494,Defender,Premier League,L. Dunk,Brighton & Hove Albion,27,2083,0,12.0,3,0,0.81,0.0,1.02,17,78,13,52,3,79,1934,1768,180,5,1,6,0.0,0.0,0.0,0,0.0,0.52,0.13,3.41,83.56,76.39,7.78,0.22,0.04,0.26,0.73,3.37,0.56,2.25,0.13,0.0,0.04,0.0,0.04
12,2495,Defender,Premier League,J. Vestergaard,Leicester City,20,1395,0,3.0,2,0,0.1,0.0,0.07,22,74,16,27,1,56,958,870,70,0,0,3,0.0,0.0,0.0,0,0.0,0.19,0.13,3.61,61.81,56.13,4.52,0.0,0.0,0.19,1.42,4.77,1.03,1.74,0.06,0.0,0.01,0.0,0.0
13,2496,Defender,Premier League,J. Stephens,Southampton,23,1394,0,4.0,2,1,0.57,0.0,0.26,34,49,13,6,0,44,938,867,47,1,1,3,0.0,0.06,0.0,1,0.06,0.26,0.13,2.84,60.56,55.98,3.03,0.06,0.06,0.19,2.2,3.16,0.84,0.39,0.0,0.0,0.04,0.0,0.02
14,2497,Defender,Premier League,M. Doherty,Wolverhampton,38,2121,1,10.0,3,2,1.04,0.0,1.21,38,95,22,56,4,116,1210,1031,144,22,4,12,0.0,0.08,0.04,3,0.13,0.42,0.13,4.92,51.34,43.75,6.11,0.93,0.17,0.51,1.61,4.03,0.93,2.38,0.17,0.0,0.04,0.0,0.05
15,2498,Defender,Premier League,V. Lindelöf,Aston Villa,23,725,0,0.0,0,0,0.0,0.0,0.08,7,36,8,17,0,25,380,356,19,1,0,3,0.0,0.0,0.0,0,0.0,0.0,0.0,3.1,47.17,44.19,2.36,0.12,0.0,0.37,0.87,4.47,0.99,2.11,0.0,0.0,0.0,0.0,0.01
16,2499,Defender,Premier League,J. Tarkowski,Everton,33,2924,1,15.0,4,1,1.31,0.0,2.33,64,209,41,103,4,199,1277,1042,235,1,5,16,0.0,0.03,0.03,2,0.06,0.46,0.12,6.13,39.31,32.07,7.23,0.03,0.15,0.49,1.97,6.43,1.26,3.17,0.12,0.0,0.04,0.0,0.07
17,2500,Defender,Premier League,J. Schlupp,Norwich City,24,118,0,4.0,2,0,0.16,0.0,0.14,2,1,0,3,1,6,43,37,3,4,0,3,0.0,0.0,0.0,0,0.0,3.05,1.53,4.58,32.8,28.22,2.29,3.05,0.0,2.29,1.53,0.76,0.0,2.29,0.76,0.0,0.12,0.0,0.1
18,2501,Defender,Premier League,H. Maguire,Manchester United,30,1764,0,15.0,7,1,1.82,0.0,0.26,30,77,40,64,2,107,1119,964,116,4,1,9,0.0,0.05,0.0,1,0.05,0.77,0.36,5.46,57.09,49.18,5.92,0.2,0.05,0.46,1.53,3.93,2.04,3.27,0.1,0.0,0.09,0.0,0.01
19,2502,Defender,Premier League,N. Aké,Manchester City,19,688,0,3.0,0,0,0.22,0.0,0.17,9,22,3,13,1,23,532,502,26,1,0,1,0.0,0.0,0.0,0,0.0,0.39,0.0,3.01,69.59,65.67,3.4,0.13,0.0,0.13,1.18,2.88,0.39,1.7,0.13,0.0,0.03,0.0,0.02
20,2503,Defender,Premier League,E. Krafth,Newcastle United,26,349,0,1.0,0,0,0.03,0.0,0.02,4,16,2,8,1,14,140,111,10,2,0,1,0.0,0.0,0.0,0,0.0,0.26,0.0,3.61,36.1,28.62,2.58,0.52,0.0,0.26,1.03,4.13,0.52,2.06,0.26,0.0,0.01,0.0,0.01
21,2504,Defender,Premier League,V. van Dijk,Liverpool,38,3330,1,27.0,8,3,2.24,0.0,0.96,38,190,56,119,3,173,2922,2679,276,1,2,12,0.0,0.08,0.03,4,0.11,0.73,0.22,4.68,78.97,72.41,7.46,0.03,0.05,0.32,1.03,5.14,1.51,3.22,0.08,0.0,0.06,0.0,0.03
22,2505,Defender,Premier League,J. Stones,Manchester City,15,545,0,2.0,2,2,0.43,0.0,0.17,6,18,4,8,0,18,402,367,25,0,0,2,0.0,0.33,0.0,2,0.33,0.33,0.33,2.97,66.39,60.61,4.13,0.0,0.0,0.33,0.99,2.97,0.66,1.32,0.0,0.0,0.07,0.0,0.03
23,2506,Defender,Premier League,J. Lascelles,Leicester City,3,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2507,Defender,Premier League,L. Shaw,Manchester United,8,348,0,1.0,0,0,0.03,0.0,0.76,4,7,2,3,0,8,277,246,24,11,1,6,0.0,0.0,0.0,0,0.0,0.26,0.0,2.07,71.64,63.62,6.21,2.84,0.26,1.55,1.03,1.81,0.52,0.78,0.0,0.0,0.01,0.0,0.2
