,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
0,2824,Defender,Premiership,C. Robertson,Dundee FC,20,1567,0,8.0,4,0,19,136,9,67,2,93,597,440,125,4,0,4,0.0,0.0,0.0,0,0.0,0.46,0.23,5.34,34.29,25.27,7.18,0.23,0.0,0.23,1.09,7.81,0.52,3.85,0.11,0.0
1,2825,Defender,Premiership,J. Tavernier,Rangers,31,2518,8,51.0,17,4,55,84,39,54,13,142,1656,1313,218,220,14,66,0.0,0.14,0.29,12,0.43,1.82,0.61,5.08,59.19,46.93,7.79,7.86,0.5,2.36,1.97,3.0,1.39,1.93,0.46,0.0
2,2826,Defender,Premiership,M. Fraser,St. Mirren,35,3140,3,9.0,2,0,58,137,39,52,2,152,1127,790,239,43,3,22,0.0,0.0,0.09,3,0.09,0.26,0.06,4.36,32.3,22.64,6.85,1.23,0.09,0.63,1.66,3.93,1.12,1.49,0.06,0.0
3,2827,Defender,Premiership,J. Obita,Hibernian,33,1897,5,5.0,1,0,26,73,15,37,2,81,770,556,160,99,8,22,0.0,0.0,0.24,5,0.24,0.24,0.05,3.84,36.53,26.38,7.59,4.7,0.38,1.04,1.23,3.46,0.71,1.76,0.09,0.0
4,2828,Defender,Premiership,S. Kingsley,Heart of Midlothian,18,590,0,4.0,1,1,8,19,5,7,0,20,336,285,46,21,1,1,0.0,0.15,0.0,1,0.15,0.61,0.15,3.05,51.25,43.47,7.02,3.2,0.15,0.15,1.22,2.9,0.76,1.07,0.0,0.0
5,2829,Defender,Premiership,K. Holt,Dundee United,24,1908,1,24.0,7,2,39,173,20,117,7,163,791,574,172,9,2,12,0.0,0.09,0.05,3,0.14,1.13,0.33,7.69,37.31,27.08,8.11,0.42,0.09,0.57,1.84,8.16,0.94,5.52,0.33,0.0
6,2830,Defender,Premiership,S. O'Donnell,Motherwell,30,1990,1,10.0,3,1,43,92,17,53,2,110,990,761,199,47,6,15,0.0,0.05,0.05,2,0.09,0.45,0.14,4.97,44.77,34.42,9.0,2.13,0.27,0.68,1.94,4.16,0.77,2.4,0.09,0.0
7,2831,Defender,Premiership,SFS. Findlay,Heart of Midlothian,14,966,0,6.0,2,0,14,62,8,29,1,61,311,230,77,2,1,2,0.0,0.0,0.0,0,0.0,0.56,0.19,5.68,28.98,21.43,7.17,0.19,0.09,0.19,1.3,5.78,0.75,2.7,0.09,0.0
8,2832,Defender,Premiership,P. McGinn,Motherwell,12,625,0,3.0,1,1,9,23,5,9,0,28,234,177,48,6,1,1,0.0,0.14,0.0,1,0.14,0.43,0.14,4.03,33.7,25.49,6.91,0.86,0.14,0.14,1.3,3.31,0.72,1.3,0.0,0.0
9,2833,Defender,Premiership,D. Gallagher,Ross County,32,2711,2,10.0,3,1,37,247,13,150,2,194,1131,859,270,4,0,7,0.0,0.03,0.07,3,0.1,0.33,0.1,6.44,37.55,28.52,8.96,0.13,0.0,0.23,1.23,8.2,0.43,4.98,0.07,0.0
10,2834,Defender,Premiership,D. Wright,Dundee FC,32,2621,1,17.0,6,1,44,77,22,33,5,133,1345,1059,168,51,2,30,0.0,0.03,0.03,2,0.07,0.58,0.21,4.57,46.18,36.36,5.77,1.75,0.07,1.03,1.51,2.64,0.76,1.13,0.17,0.0
11,2835,Defender,Premiership,J. Souttar,Rangers,22,1849,0,12.0,5,1,18,119,12,66,3,103,1536,1398,162,1,0,7,0.0,0.05,0.0,1,0.05,0.58,0.24,5.01,74.76,68.05,7.89,0.05,0.0,0.34,0.88,5.79,0.58,3.21,0.15,0.0
12,2836,Defender,Premiership,J. McGhee,Motherwell,25,1758,0,19.0,7,4,27,106,15,70,2,109,635,470,63,17,1,10,0.0,0.2,0.0,4,0.2,0.97,0.36,5.58,32.51,24.06,3.23,0.87,0.05,0.51,1.38,5.43,0.77,3.58,0.1,0.0
13,2837,Defender,Premiership,L. Gordon,Motherwell,28,2317,1,17.0,7,1,27,182,28,135,3,174,820,601,184,2,1,5,0.0,0.04,0.04,2,0.08,0.66,0.27,6.76,31.85,23.34,7.15,0.08,0.04,0.19,1.05,7.07,1.09,5.24,0.12,0.0
14,2838,Defender,Premiership,F. Kent,Heart of Midlothian,17,1295,0,11.0,2,2,15,74,11,56,5,84,914,798,124,0,0,5,0.0,0.14,0.0,2,0.14,0.76,0.14,5.84,63.52,55.46,8.62,0.0,0.0,0.35,1.04,5.14,0.76,3.89,0.35,0.0
15,2839,Defender,Premiership,B. Mikulić,St. Johnstone,14,1166,0,5.0,2,2,13,111,9,36,1,50,746,632,101,1,0,2,0.0,0.15,0.0,2,0.15,0.39,0.15,3.86,57.58,48.78,7.8,0.08,0.0,0.15,1.0,8.57,0.69,2.78,0.08,0.0
16,2840,Defender,Premiership,J. McCart,Heart of Midlothian,10,811,0,10.0,3,1,6,97,7,67,1,81,478,358,85,0,0,1,0.0,0.11,0.0,1,0.11,1.11,0.33,8.99,53.05,39.73,9.43,0.0,0.0,0.11,0.67,10.76,0.78,7.44,0.11,0.0
17,2841,Defender,Premiership,C. Halkett,Heart of Midlothian,29,999,0,10.0,5,1,15,79,11,78,1,101,734,645,66,0,0,4,0.0,0.09,0.0,1,0.09,0.9,0.45,9.1,66.13,58.11,5.95,0.0,0.0,0.36,1.35,7.12,0.99,7.03,0.09,0.0
18,2842,Defender,Premiership,N. Devlin,Aberdeen,33,2239,0,25.0,8,4,35,82,16,46,8,122,865,630,138,43,0,7,0.0,0.16,0.0,4,0.16,1.0,0.32,4.9,34.77,25.32,5.55,1.73,0.0,0.28,1.41,3.3,0.64,1.85,0.32,0.0
19,2843,Defender,Premiership,A. Wright,Ross County,35,3150,1,19.0,7,4,88,221,64,111,5,229,947,696,127,29,0,14,0.0,0.11,0.03,5,0.14,0.54,0.2,6.54,27.06,19.89,3.63,0.83,0.0,0.4,2.51,6.31,1.83,3.17,0.14,0.0
20,2844,Defender,Premiership,D. Sterling,Rangers,20,1149,0,5.0,1,0,25,50,14,25,0,64,665,586,57,11,1,3,0.0,0.0,0.0,0,0.0,0.39,0.08,5.01,52.09,45.9,4.46,0.86,0.08,0.23,1.96,3.92,1.1,1.96,0.0,0.0
21,2845,Defender,Premiership,M. Knoester,Aberdeen,10,867,1,12.0,1,0,21,82,10,35,2,58,487,391,93,7,1,2,0.0,0.0,0.1,1,0.1,1.25,0.1,6.02,50.55,40.59,9.65,0.73,0.1,0.21,2.18,8.51,1.04,3.63,0.21,0.0
