,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90
0,2987,Defender,Serie A,L. De Silvestri,Bologna,36,1055,0,8.0,4,1,0.81,0.82,0.37,11,29,10,13,0,32,432,346,52,23,0,5,0.0,0.09,0.0,1,0.09,0.68,0.34,2.73,36.85,29.52,4.44,1.96,0.0,0.43,0.94,2.47,0.85,1.11,0.0,0.0,0.07,0.07,0.03
1,2988,Defender,Serie A,M. Hummels,Roma,33,918,0,8.0,1,0,0.47,0.47,0.08,30,43,26,23,1,61,434,388,35,2,0,2,0.0,0.0,0.0,0,0.0,0.78,0.1,5.98,42.55,38.04,3.43,0.2,0.0,0.2,2.94,4.22,2.55,2.25,0.1,0.0,0.05,0.05,0.01
2,2989,Defender,Serie A,C. Kabasele,Udinese,37,1082,0,15.0,4,2,1.49,1.49,0.52,16,63,13,33,2,65,539,461,81,2,0,6,0.0,0.17,0.0,2,0.17,1.25,0.33,5.41,44.83,38.35,6.74,0.17,0.0,0.5,1.33,5.24,1.08,2.74,0.17,0.0,0.12,0.12,0.04
3,2990,Defender,Serie A,S. de Vrij,Inter,35,1719,0,13.0,3,3,1.1,1.1,0.3,18,88,23,65,6,91,1400,1307,63,0,0,1,0.0,0.16,0.0,3,0.16,0.68,0.16,4.76,73.3,68.43,3.3,0.0,0.0,0.05,0.94,4.61,1.2,3.4,0.31,0.0,0.06,0.06,0.02
4,2991,Defender,Serie A,C. Lykogiannis,Bologna,33,1038,4,6.0,2,0,0.24,0.24,2.05,22,35,11,26,3,59,510,406,64,102,4,18,0.0,0.0,0.35,4,0.35,0.52,0.17,5.12,44.22,35.2,5.55,8.84,0.35,1.56,1.91,3.03,0.95,2.25,0.26,0.0,0.02,0.02,0.18
5,2992,Defender,Serie A,J. Jesus,Napoli,33,1075,1,3.0,0,0,0.34,0.34,0.13,25,39,9,25,1,54,848,761,97,0,0,1,0.0,0.0,0.08,1,0.08,0.25,0.0,4.52,71.0,63.71,8.12,0.0,0.0,0.08,2.09,3.27,0.75,2.09,0.08,0.0,0.03,0.03,0.01
6,2993,Defender,Serie A,C. Biraghi,Fiorentina,29,1600,0,15.0,3,1,0.62,0.64,2.67,20,49,12,13,4,50,775,646,93,137,7,31,0.0,0.06,0.0,1,0.06,0.84,0.17,2.81,43.59,36.34,5.23,7.71,0.39,1.74,1.12,2.76,0.68,0.73,0.22,0.0,0.03,0.04,0.15
7,2994,Defender,Serie A,F. Acerbi,Inter,30,1714,1,5.0,1,0,0.4,0.4,1.35,23,79,26,62,1,105,1277,1184,78,10,2,10,0.0,0.0,0.05,1,0.05,0.26,0.05,5.51,67.05,62.17,4.1,0.53,0.11,0.53,1.21,4.15,1.37,3.26,0.05,0.0,0.02,0.02,0.07
8,2995,Defender,Serie A,E. Hysaj,Lazio,16,422,3,2.0,0,0,0.17,0.17,1.12,11,18,5,8,0,23,215,180,23,18,3,6,0.0,0.0,0.64,3,0.64,0.43,0.0,4.91,45.85,38.39,4.91,3.84,0.64,1.28,2.35,3.84,1.07,1.71,0.0,0.0,0.04,0.04,0.24
9,2996,Defender,Serie A,S. Kolašinac,Atalanta,23,1910,2,10.0,3,0,0.8,0.8,1.48,41,52,25,35,0,98,1242,1094,59,10,5,17,0.0,0.0,0.09,2,0.09,0.47,0.14,4.62,58.52,51.55,2.78,0.47,0.24,0.8,1.93,2.45,1.18,1.65,0.0,0.0,0.04,0.04,0.07
