,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90
0,3339,Defender,Serie B,A. Caracciolo,Pisa,36,3032,0,25.0,4,2,71,210,49,91,5,173,1356,1162,166,3,2,6,0.0,0.06,0.0,2,0.06,0.74,0.12,5.14,40.25,34.49,4.93,0.09,0.06,0.18,2.11,6.23,1.45,2.7,0.15,0.0
1,3340,Defender,Serie B,A. Salvi,Cittadella,36,2359,2,20.0,6,0,33,132,34,63,3,130,1017,745,247,47,3,11,0.0,0.0,0.08,2,0.08,0.76,0.23,4.96,38.8,28.42,9.42,1.79,0.11,0.42,1.26,5.04,1.3,2.4,0.11,0.0
2,3341,Defender,Serie B,P. Rozzio,Reggiana,19,1217,0,7.0,3,0,11,106,16,53,3,78,617,557,66,0,0,4,0.0,0.0,0.0,0,0.0,0.52,0.22,5.77,45.63,41.19,4.88,0.0,0.0,0.3,0.81,7.84,1.18,3.92,0.22,0.0
3,3342,Defender,Serie B,F. Lucioni,Frosinone,13,388,1,5.0,2,0,4,40,0,9,0,14,151,125,37,0,1,3,0.0,0.0,0.23,1,0.23,1.16,0.46,3.25,35.03,28.99,8.58,0.0,0.23,0.7,0.93,9.28,0.0,2.09,0.0,0.0
4,3343,Defender,Serie B,F. Ceccherini,Cremonese,30,1548,1,10.0,4,1,22,83,24,60,1,113,1001,905,84,5,2,4,0.0,0.06,0.06,2,0.12,0.58,0.23,6.57,58.2,52.62,4.88,0.29,0.12,0.23,1.28,4.83,1.4,3.49,0.06,0.0
5,3344,Defender,Serie B,M. Sampirisi,Reggiana,24,1558,0,6.0,0,0,27,60,24,23,4,79,649,530,90,34,1,8,0.0,0.0,0.0,0,0.0,0.35,0.0,4.56,37.49,30.62,5.2,1.96,0.06,0.46,1.56,3.47,1.39,1.33,0.23,0.0
6,3345,Defender,Serie B,M. Bianchetti,Cremonese,37,3112,2,13.0,2,1,50,137,36,121,2,203,1888,1602,221,15,1,17,0.0,0.03,0.06,3,0.09,0.38,0.06,5.87,54.6,46.33,6.39,0.43,0.03,0.49,1.45,3.96,1.04,3.5,0.06,0.0
7,3346,Defender,Serie B,S. Scognamillo,Benevento,38,2888,2,16.0,3,1,36,150,42,50,1,148,1837,1698,116,13,4,8,0.0,0.03,0.06,3,0.09,0.5,0.09,4.61,57.25,52.92,3.61,0.41,0.12,0.25,1.12,4.67,1.31,1.56,0.03,0.0
8,3347,Defender,Serie B,CAC. Andreoni,Crotone,19,663,0,1.0,0,0,9,25,5,9,1,23,177,126,36,24,3,5,0.0,0.0,0.0,0,0.0,0.14,0.0,3.12,24.03,17.1,4.89,3.26,0.41,0.68,1.22,3.39,0.68,1.22,0.14,0.0
9,3348,Defender,Serie B,A. Calabresi,Pisa,38,1107,1,2.0,0,0,30,65,14,21,1,73,440,358,75,20,0,5,0.0,0.0,0.08,1,0.08,0.16,0.0,5.93,35.77,29.11,6.1,1.63,0.0,0.41,2.44,5.28,1.14,1.71,0.08,0.0
10,3349,Defender,Serie B,F. Vicari,Reggiana,31,1961,0,14.0,1,0,18,153,14,85,4,111,867,755,122,1,0,5,0.0,0.0,0.0,0,0.0,0.64,0.05,5.09,39.79,34.65,5.6,0.05,0.0,0.23,0.83,7.02,0.64,3.9,0.18,0.0
11,3350,Defender,Serie B,A. Redolfi,Cittadella,31,1349,0,5.0,4,2,19,69,15,42,0,75,1079,992,61,2,0,1,0.0,0.13,0.0,2,0.13,0.33,0.27,5.0,71.99,66.18,4.07,0.13,0.0,0.07,1.27,4.6,1.0,2.8,0.0,0.0
12,3351,Defender,Serie B,N. Pavan,Cittadella,29,2241,0,6.0,0,0,42,152,31,98,3,186,1106,874,186,8,0,7,0.0,0.0,0.0,0,0.0,0.24,0.0,7.47,44.42,35.1,7.47,0.32,0.0,0.28,1.69,6.1,1.24,3.94,0.12,0.0
13,3352,Defender,Serie B,L. Libutti,Reggiana,37,2430,1,3.0,1,0,37,124,11,30,0,76,914,750,95,27,2,8,0.0,0.0,0.04,1,0.04,0.11,0.04,2.81,33.85,27.78,3.52,1.0,0.07,0.3,1.37,4.59,0.41,1.11,0.0,0.0
14,3353,Defender,Serie B,G. Ricci,Benevento,37,1403,0,16.0,3,1,48,25,16,27,7,134,439,304,67,106,3,31,0.0,0.06,0.0,1,0.06,1.03,0.19,8.6,28.16,19.5,4.3,6.8,0.19,1.99,3.08,1.6,1.03,1.73,0.45,0.0
15,3354,Defender,Serie B,R. Marchizza,Frosinone,27,2073,3,32.0,11,2,9,36,7,23,14,53,729,565,120,127,2,37,0.0,0.09,0.13,5,0.22,1.39,0.48,2.3,31.65,24.53,5.21,5.51,0.09,1.61,0.39,1.56,0.3,1.0,0.61,0.0
16,3355,Defender,Serie B,L. Ravanelli,Monza,33,2363,1,10.0,4,1,50,163,16,108,2,174,1562,1399,103,2,3,11,0.0,0.04,0.04,2,0.08,0.38,0.15,6.63,59.49,53.28,3.92,0.08,0.11,0.42,1.9,6.21,0.61,4.11,0.08,0.0
17,3356,Defender,Serie B,A. Tripaldelli,Reggiana,29,158,0,2.0,1,0,1,8,0,3,0,11,40,28,4,4,1,2,0.0,0.0,0.0,0,0.0,1.14,0.57,6.27,22.78,15.95,2.28,2.28,0.57,1.14,0.57,4.56,0.0,1.71,0.0,0.0
18,3357,Defender,Serie B,V. Antov,Monza,37,2506,0,15.0,3,1,53,100,43,93,3,189,1741,1511,155,20,2,8,0.0,0.04,0.0,1,0.04,0.54,0.11,6.79,62.53,54.27,5.57,0.72,0.07,0.29,1.9,3.59,1.54,3.34,0.11,0.0
19,3358,Defender,Serie B,D. Quaranta,Reggiana,19,447,0,2.0,0,0,5,31,3,13,1,20,135,88,27,2,0,2,0.0,0.0,0.0,0,0.0,0.4,0.0,4.03,27.18,17.72,5.44,0.4,0.0,0.4,1.01,6.24,0.6,2.62,0.2,0.0
20,3359,Defender,Serie B,G. Altare,Pescara,14,1061,0,9.0,1,0,13,77,9,42,3,62,432,349,73,4,0,1,0.0,0.0,0.0,0,0.0,0.76,0.08,5.26,36.64,29.6,6.19,0.34,0.0,0.08,1.1,6.53,0.76,3.56,0.25,0.0
21,3360,Defender,Serie B,A. Cagnano,Pescara,10,234,0,2.0,2,0,4,3,3,7,0,17,138,106,17,12,0,2,0.0,0.0,0.0,0,0.0,0.77,0.77,6.54,53.08,40.77,6.54,4.62,0.0,0.77,1.54,1.15,1.15,2.69,0.0,0.0
22,3361,Defender,Serie B,S. Canestrelli,Pisa,37,3090,2,30.0,10,3,39,193,29,119,4,180,1376,1099,224,19,1,7,0.0,0.09,0.06,5,0.15,0.87,0.29,5.24,40.08,32.01,6.52,0.55,0.03,0.2,1.14,5.62,0.84,3.47,0.12,0.0
