,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,xgPer90,npxgPer90,xaPer90,passAccuracy,scoreGoalScoring,scoreAssisting,scorePassing,scoreDefending,scoreDuels,scoreGoalkeeping,scoreRaw,scoreFinal,playerProfile
0,170,Defender,Bundesliga,K. Vogt,VfL Bochum 1848,22,1280,0,1.0,1,1,0.79,0.0,0.24,10,66,8,12,0,32,809,710,120,0,0,2,0.0,0.07,0.0,1,0.07,0.07,0.07,2.25,56.88,49.92,8.44,0.0,0.0,0.14,0.7,4.64,0.56,0.84,0.0,0.0,0.06,0.0,0.02,87.76,64.5,30.53,61.39,36.14,20.41,,38.12,13.79,Centerback
1,171,Defender,Bundesliga,D. da Costa,1. FSV Mainz 05,32,2011,1,5.0,1,0,0.1,0.1,1.26,42,94,27,33,2,87,1142,905,204,22,1,10,0.0,0.0,0.04,1,0.04,0.22,0.04,3.89,51.11,40.5,9.13,0.98,0.04,0.45,1.88,4.21,1.21,1.48,0.09,0.0,0.0,0.0,0.06,79.25,17.17,62.41,53.01,66.28,43.19,,55.01,55.76,Centerback
2,172,Defender,Bundesliga,A. Jung,SC Freiburg,33,1905,0,1.0,0,0,0.04,0.04,0.45,33,74,25,34,0,89,1492,1339,108,4,0,2,0.0,0.0,0.0,0,0.0,0.05,0.0,4.2,70.49,63.26,5.1,0.19,0.0,0.09,1.56,3.5,1.18,1.61,0.0,0.0,0.0,0.0,0.02,89.75,11.85,29.44,66.19,56.98,49.89,,52.04,47.0,Centerback
3,173,Defender,Bundesliga,S. Bell,1. FSV Mainz 05,23,1438,1,12.0,4,0,0.77,0.77,0.65,22,107,28,84,3,117,713,564,135,0,1,5,0.0,0.0,0.06,1,0.06,0.75,0.25,7.32,44.62,35.3,8.45,0.0,0.06,0.31,1.38,6.7,1.75,5.26,0.19,0.0,0.05,0.05,0.04,79.1,70.91,53.8,39.78,76.89,97.05,,71.9,97.72,Centerback
5,175,Defender,Bundesliga,W. Orbán,RB Leipzig,26,2224,0,22.0,7,5,4.0,4.0,0.66,38,167,21,104,3,159,1732,1525,148,5,1,8,0.0,0.2,0.0,5,0.2,0.89,0.28,6.43,70.09,61.71,5.99,0.2,0.04,0.32,1.54,6.76,0.85,4.21,0.12,0.0,0.16,0.16,0.03,88.05,94.3,48.14,64.12,60.92,93.02,,69.98,96.16,Centerback
6,176,Defender,Bundesliga,C. Günter,SC Freiburg,34,2323,2,21.0,6,2,0.78,0.78,4.19,23,45,8,7,6,37,824,648,93,121,5,28,0.0,0.08,0.08,4,0.15,0.81,0.23,1.43,31.92,25.11,3.6,4.69,0.19,1.08,0.89,1.74,0.31,0.27,0.23,0.0,0.03,0.03,0.16,78.64,56.62,89.8,44.68,15.67,10.85,,29.73,8.99,Fullback
7,177,Defender,Bundesliga,M. Ginter,SC Freiburg,33,2565,1,24.0,4,2,2.81,2.81,1.49,30,140,19,98,4,158,1496,1249,213,13,2,9,0.0,0.07,0.04,3,0.11,0.84,0.14,5.54,52.49,43.82,7.47,0.46,0.07,0.32,1.05,4.91,0.67,3.44,0.14,0.0,0.1,0.1,0.05,83.49,81.58,58.2,57.42,42.47,86.19,,59.92,73.38,Centerback
8,178,Defender,Bundesliga,L. Kübler,SC Freiburg,31,1849,1,18.0,11,5,2.73,2.73,1.05,40,58,53,44,2,105,838,664,90,30,1,11,0.0,0.24,0.05,6,0.29,0.88,0.54,5.11,40.79,32.32,4.38,1.46,0.05,0.54,1.95,2.82,2.58,2.14,0.1,0.0,0.13,0.13,0.05,79.24,96.68,61.84,42.46,67.45,69.93,,63.97,85.85,Centerback
9,179,Defender,Bundesliga,J. Gouweleeuw,FC Augsburg,33,2945,4,18.0,5,1,1.71,0.93,2.93,50,183,35,63,2,132,1671,1397,271,17,4,14,0.0,0.03,0.12,5,0.15,0.55,0.15,4.03,51.07,42.69,8.28,0.52,0.12,0.43,1.53,5.59,1.07,1.93,0.06,0.0,0.05,0.03,0.09,83.6,64.56,73.49,59.35,64.12,53.92,,61.57,79.38,Centerback
10,180,Defender,Bundesliga,D. Kohr,1. FSV Mainz 05,28,2303,0,13.0,5,2,1.58,1.82,1.68,62,121,42,39,1,141,1310,1077,215,16,0,12,0.0,0.08,0.0,2,0.08,0.51,0.2,5.51,51.19,42.09,8.4,0.63,0.0,0.47,2.42,4.73,1.64,1.52,0.04,0.0,0.06,0.07,0.07,82.21,74.66,59.99,57.01,81.49,61.33,,69.06,95.2,Centerback
