,ID,Position,League,Name,Team,App,Mins,Assists,Shots,shotsOnTarget,Goals,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Saves,goalsPer90,assistsPer90,g+a,g+aPer90,shotsPer90,shotsOnTargetPer90,duelsWonPer90,passesPer90,accuratePassesPer90,longBallsPer90,crossesPer90,bigChancesCreatedPer90,keyPassesPer90,tacklesPer90,clearancesPer90,interceptionsPer90,aerialsWonPer90,blocksPer90,savesPer90,passAccuracy,scoreGoalScoring,scoreAssisting,scorePassing,scoreDefending,scoreDuels,scoreGoalkeeping,scoreRaw,scoreFinal,playerProfile
1,1,Defender,2. Bundesliga,S. Jung,Karlsruher SC,31,2712,1,26.0,6,2,38,64,22,13,10,64,1047,813,135,106,3,21,0.0,0.07,0.03,3,0.1,0.86,0.2,2.12,34.75,26.98,4.48,3.52,0.1,0.7,1.26,2.12,0.73,0.43,0.33,0.0,77.65,75.95,69.81,49.58,33.84,15.67,,38.15,17.07,Fullback
2,2,Defender,2. Bundesliga,M. Zimmermann,Fortuna Düsseldorf,33,2221,2,24.0,10,3,64,62,24,33,6,126,1212,1023,69,58,3,18,0.0,0.12,0.08,5,0.2,0.97,0.41,5.11,49.11,41.45,2.8,2.35,0.12,0.73,2.59,2.51,0.97,1.34,0.24,0.0,84.41,90.81,78.2,58.96,56.17,53.78,,60.06,71.34,Fullback
3,3,Defender,2. Bundesliga,T. Kalas,FC Schalke 04,27,1319,1,6.0,2,1,16,95,27,62,0,95,699,580,86,9,1,6,0.0,0.07,0.07,2,0.14,0.41,0.14,6.48,47.7,39.58,5.87,0.61,0.07,0.41,1.09,6.48,1.84,4.23,0.0,0.0,82.98,72.2,70.87,58.38,71.56,91.49,,73.87,99.39,Centerback
4,4,Defender,2. Bundesliga,M. Halstenberg,Hannover 96,28,2492,2,26.0,8,3,42,99,37,42,8,110,1536,1303,222,37,2,15,0.0,0.11,0.07,5,0.18,0.94,0.29,3.97,55.47,47.06,8.02,1.34,0.07,0.54,1.52,3.58,1.34,1.52,0.29,0.0,84.83,87.26,72.81,74.01,61.2,45.18,,62.22,77.13,Centerback
5,5,Defender,2. Bundesliga,M. Franke,Karlsruher SC,30,2587,0,17.0,5,3,22,162,24,92,2,129,1481,1314,202,3,0,2,0.0,0.1,0.0,3,0.1,0.59,0.17,4.49,51.52,45.71,7.03,0.1,0.0,0.07,0.77,5.64,0.83,3.2,0.07,0.0,88.72,79.38,30.24,71.49,48.26,69.33,,57.93,63.41,Centerback
8,8,Defender,2. Bundesliga,L. Paqarada,1. FC Heidenheim,31,2443,6,33.0,3,0,61,74,28,27,13,127,1511,1206,172,258,15,82,0.0,0.0,0.22,6,0.22,1.22,0.11,4.68,55.67,44.43,6.34,9.5,0.55,3.02,2.25,2.73,1.03,0.99,0.48,0.0,79.81,37.87,95.96,63.41,57.52,40.0,,57.18,61.89,Fullback
9,9,Defender,2. Bundesliga,M. Heyer,Fortuna Düsseldorf,23,1441,0,3.0,2,1,35,57,14,8,1,68,523,451,29,13,2,5,0.0,0.06,0.0,1,0.06,0.19,0.12,4.25,32.66,28.17,1.81,0.81,0.12,0.31,2.19,3.56,0.87,0.5,0.06,0.0,86.23,68.58,46.49,58.16,58.19,28.23,,50.04,39.33,Fullback
11,11,Defender,2. Bundesliga,M. Neubauer,Hannover 96,34,3060,7,27.0,9,3,61,93,28,30,5,112,1506,1198,168,197,10,60,0.0,0.09,0.21,10,0.29,0.79,0.26,3.29,44.29,35.24,4.94,5.79,0.29,1.76,1.79,2.74,0.82,0.88,0.15,0.0,79.55,82.16,93.53,57.05,46.94,25.34,,49.98,39.02,Fullback
12,12,Defender,2. Bundesliga,E. Iyoha,Fortuna Düsseldorf,22,1415,0,25.0,8,1,24,39,15,12,5,71,609,486,52,42,2,15,0.0,0.06,0.0,1,0.06,1.59,0.51,4.52,38.73,30.91,3.31,2.67,0.13,0.95,1.53,2.48,0.95,0.76,0.32,0.0,79.8,80.98,54.46,48.89,45.65,33.29,,45.86,26.52,Fullback
13,13,Defender,2. Bundesliga,M. Muheim,Hamburger SV,30,2667,11,24.0,6,1,86,89,31,29,6,173,1794,1510,192,175,15,71,0.0,0.03,0.37,12,0.4,0.81,0.2,5.84,60.54,50.96,6.48,5.91,0.51,2.4,2.9,3.0,1.05,0.98,0.2,0.0,84.17,66.77,98.35,73.78,62.67,49.42,,65.35,86.28,Fullback
