,Position,League,Name,Team,playerProfile,Category,Score
0,Defender,2. Bundesliga,S. Jung,Karlsruher SC,Fullback,GoalScoring,75.95
1,Defender,2. Bundesliga,M. Zimmermann,Fortuna Düsseldorf,Fullback,GoalScoring,90.81
2,Defender,2. Bundesliga,T. Kalas,FC Schalke 04,Centerback,GoalScoring,72.2
3,Defender,2. Bundesliga,M. Halstenberg,Hannover 96,Centerback,GoalScoring,87.26
4,Defender,2. Bundesliga,M. Franke,Karlsruher SC,Centerback,GoalScoring,79.38
5,Defender,2. Bundesliga,L. Paqarada,1. FC Heidenheim,Fullback,GoalScoring,37.87
6,Defender,2. Bundesliga,M. Heyer,Fortuna Düsseldorf,Fullback,GoalScoring,68.58
7,Defender,2. Bundesliga,M. Neubauer,Hannover 96,Fullback,GoalScoring,82.16
8,Defender,2. Bundesliga,E. Iyoha,Fortuna Düsseldorf,Fullback,GoalScoring,80.98
9,Defender,2. Bundesliga,M. Muheim,Hamburger SV,Fullback,GoalScoring,66.77
10,Defender,2. Bundesliga,R. Ziegele,SSV Jahn Regensburg,Centerback,GoalScoring,77.96
11,Defender,2. Bundesliga,A. Donkor,FC Schalke 04,Fullback,GoalScoring,50.08
12,Defender,2. Bundesliga,C. Kobald,Karlsruher SC,Centerback,GoalScoring,87.36
13,Defender,2. Bundesliga,F. Götze,SC Paderborn 07,Centerback,GoalScoring,77.64
14,Defender,2. Bundesliga,T. Christopher Oberdorf,Fortuna Düsseldorf,Centerback,GoalScoring,74.66
15,Defender,2. Bundesliga,A. Vukotić,Darmstadt 98,Centerback,GoalScoring,83.03
16,Defender,2. Bundesliga,R. Schallenberg,FC Schalke 04,Centerback,GoalScoring,84.59
17,Defender,2. Bundesliga,B. Tomiak,Hannover 96,Centerback,GoalScoring,94.98
18,Defender,2. Bundesliga,S. López,Darmstadt 98,Fullback,GoalScoring,86.11
19,Defender,2. Bundesliga,M. Hoffmeier,SC Paderborn 07,Centerback,GoalScoring,39.24
20,Defender,2. Bundesliga,V. Lunddal,Fortuna Düsseldorf,Fullback,GoalScoring,43.72
21,Defender,2. Bundesliga,F. Nürnberger,Darmstadt 98,Fullback,GoalScoring,75.52
22,Defender,2. Bundesliga,D. Elfadli,Hamburger SV,Centerback,GoalScoring,81.39
23,Defender,2. Bundesliga,L. Curda,SC Paderborn 07,Centerback,GoalScoring,82.3
24,Defender,2. Bundesliga,M. Beifus,Karlsruher SC,Centerback,GoalScoring,33.2
25,Defender,2. Bundesliga,D. Herold,Karlsruher SC,Fullback,GoalScoring,39.24
26,Defender,2. Bundesliga,A. Gantenbein,FC Schalke 04,Fullback,GoalScoring,78.51
27,Defender,2. Bundesliga,B. Ezeh,Hannover 96,Fullback,GoalScoring,27.62
28,Defender,2. Bundesliga,W. Mikelbrencis,Hamburger SV,Fullback,GoalScoring,48.2
