Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Evans,Manchester United,17,0,314,0.127,0.0247,
N. Clyne,Crystal Palace,37,0,504,0.0241,0.236,
K. Walker,Burnley,17,0,973,0.1429,1.3338,
C. Dawson,Wolverhampton,21,0,987,0.4923,0.0664,
K. Trippier,Newcastle United,31,0,1328,0.1241,1.4518,
S. Coleman,Everton,18,0,224,0.5696,0.0235,
B. Davies,Tottenham Hotspur,24,0,1330,0.2826,0.4785,
L. Digne,Aston Villa,38,0,2358,0.8021,4.0076,
D. Burn,Newcastle United,37,1,3330,1.9588,1.0523,
F. Schär,Newcastle United,34,4,2937,3.7954,1.0134,
M. Keane,Everton,36,3,1046,0.618,0.0146,
L. Dunk,Brighton & Hove Albion,27,0,2083,0.8107,1.0243,
J. Vestergaard,Leicester City,20,0,1395,0.0984,0.0697,
J. Stephens,Southampton,23,1,1394,0.566,0.265,
M. Doherty,Wolverhampton,38,2,2121,1.0375,1.2123,
V. Lindelöf,Aston Villa,23,0,725,0,0.0815,
J. Tarkowski,Everton,33,1,2924,1.3149,2.3288,
J. Schlupp,Norwich City,24,0,118,0.1587,0.1353,
H. Maguire,Manchester United,30,1,1764,1.8213,0.2616,
N. Aké,Manchester City,19,0,688,0.2244,0.1667,
E. Krafth,Newcastle United,26,0,349,0.0285,0.0235,
V. van Dijk,Liverpool,38,3,3330,2.2383,0.9635,
J. Stones,Manchester City,15,2,545,0.432,0.1689,
J. Lascelles,Leicester City,3,0,0,0,0,
L. Shaw,Manchester United,8,0,348,0.0345,0.7635,
A. Webster,Brighton & Hove Albion,21,0,888,0.2468,0.2612,
J. Veltman,Brighton & Hove Albion,24,0,1699,0.4675,1.3187,
R. Pereira,Leicester City,18,0,392,0.0914,0.0693,
A. Robertson,Liverpool,38,0,2492,1.1736,4.247,
T. Mings,Aston Villa,27,0,1121,0.8227,0.236,
J. Gomez,Liverpool,19,0,526,0.3281,0.0866,
R. Dias,Manchester City,27,0,2273,1.4992,1.1895,
R. Manning,Southampton,31,0,1498,0.3454,2.7937,
T. Adarabioyo,Chelsea,38,1,1439,0.9317,0.2082,
J. Bree,Southampton,32,0,1078,0.1108,0.6987,
K. Ajer,Brentford,26,0,1460,0.9559,0.4818,
R. Henry,Brentford,10,0,100,0,0.006,
M. Holgate,Everton,2,0,16,0,0,
M. Cucurella,Chelsea,36,5,2990,2.8019,2.3907,
K. Danso,Tottenham Hotspur,10,0,843,0.4098,0.1171,
M. de Ligt,Manchester United,30,2,2128,2.46,0.231,
A. Tuanzebe,Burnley,22,0,1717,0.2047,0.2489,
K. Walker-Peters,West Ham United,35,0,2922,0.8431,2.296,
T. Malacia,Manchester United,11,0,99,0,0.02,
F. Kadıoğlu,Brighton & Hove Albion,7,1,388,0.4364,0.2734,
M. Roerslev,Southampton,23,0,1107,0.1956,2.0926,
T. Chalobah,Chelsea,30,3,1981,2.0101,0.6121,
I. Konaté,Liverpool,32,1,2565,1.7707,0.9032,
A. Disasi,West Ham United,26,1,853,0.3722,0.3747,
E. Konsa,Aston Villa,35,2,2937,1.2782,0.5883,
J. Justin,Leeds United,37,2,2928,1.4951,0.7992,
K. Mavropanos,West Ham United,36,0,2057,1.5402,0.3628,
C. Romero,Tottenham Hotspur,21,1,1420,1.593,0.811,
M. Cash,Aston Villa,29,1,2077,0.4922,1.2356,
I. Júlio,Brighton & Hove Albion,23,0,967,0.0477,0.2549,
B. White,Arsenal,20,0,1213,0.456,1.4088,
S. Bueno,Wolverhampton,37,0,1716,0.4277,0.0752,
