Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Evans,Manchester United,8,15,5,10,0,314,24,
N. Clyne,Crystal Palace,12,13,3,1,0,504,15,
K. Walker,Burnley,17,11,3,9,2,973,34,
C. Dawson,Wolverhampton,15,51,9,21,1,987,42,
K. Trippier,Newcastle United,38,42,12,22,2,1328,75,
S. Coleman,Everton,3,7,1,2,0,224,10,
B. Davies,Tottenham Hotspur,17,79,12,53,1,1330,77,
L. Digne,Aston Villa,65,84,25,39,5,2358,127,
D. Burn,Newcastle United,39,194,27,148,3,3330,200,
F. Schär,Newcastle United,36,133,45,59,12,2937,115,
M. Keane,Everton,12,65,16,26,2,1046,38,
L. Dunk,Brighton & Hove Albion,17,78,13,52,3,2083,79,
J. Vestergaard,Leicester City,22,74,16,27,1,1395,56,
J. Stephens,Southampton,34,49,13,6,0,1394,44,
M. Doherty,Wolverhampton,38,95,22,56,4,2121,116,
V. Lindelöf,Aston Villa,7,36,8,17,0,725,25,
J. Tarkowski,Everton,64,209,41,103,4,2924,199,
J. Schlupp,Norwich City,2,1,0,3,1,118,6,
H. Maguire,Manchester United,30,77,40,64,2,1764,107,
N. Aké,Manchester City,9,22,3,13,1,688,23,
E. Krafth,Newcastle United,4,16,2,8,1,349,14,
V. van Dijk,Liverpool,38,190,56,119,3,3330,173,
J. Stones,Manchester City,6,18,4,8,0,545,18,
J. Lascelles,Leicester City,0,0,0,0,0,0,0,
L. Shaw,Manchester United,4,7,2,3,0,348,8,
A. Webster,Brighton & Hove Albion,10,40,20,24,2,888,37,
J. Veltman,Brighton & Hove Albion,43,62,19,22,2,1699,112,
R. Pereira,Leicester City,13,11,4,4,0,392,31,
A. Robertson,Liverpool,39,42,21,7,2,2492,61,
T. Mings,Aston Villa,7,59,7,28,2,1121,47,
J. Gomez,Liverpool,13,19,7,9,0,526,25,
R. Dias,Manchester City,17,70,20,37,5,2273,64,
R. Manning,Southampton,28,40,17,15,5,1498,86,
T. Adarabioyo,Chelsea,17,79,11,42,4,1439,72,
J. Bree,Southampton,19,27,9,13,3,1078,40,
K. Ajer,Brentford,26,47,12,28,4,1460,66,
R. Henry,Brentford,2,2,1,2,0,100,6,
M. Holgate,Everton,0,0,0,0,0,16,0,
M. Cucurella,Chelsea,67,80,28,32,5,2990,141,
K. Danso,Tottenham Hotspur,7,70,6,21,0,843,43,
M. de Ligt,Manchester United,30,91,33,58,3,2128,102,
A. Tuanzebe,Burnley,31,54,23,23,2,1717,69,
K. Walker-Peters,West Ham United,44,75,19,11,8,2922,145,
T. Malacia,Manchester United,2,1,1,0,0,99,5,
F. Kadıoğlu,Brighton & Hove Albion,10,17,8,3,2,388,19,
M. Roerslev,Southampton,18,31,4,10,0,1107,45,
T. Chalobah,Chelsea,31,104,29,45,2,1981,106,
I. Konaté,Liverpool,40,125,17,75,4,2565,137,
A. Disasi,West Ham United,15,28,7,13,0,853,40,
E. Konsa,Aston Villa,34,107,24,31,2,2937,120,
J. Justin,Leeds United,58,115,46,69,11,2928,180,
K. Mavropanos,West Ham United,35,123,40,59,3,2057,117,
C. Romero,Tottenham Hotspur,35,52,21,42,2,1420,89,
M. Cash,Aston Villa,56,58,23,20,1,2077,115,
I. Júlio,Brighton & Hove Albion,5,38,4,8,0,967,24,
