Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
J. Evans,Manchester United,214,190,12,0,0,0,314,0,
N. Clyne,Crystal Palace,203,158,31,0,7,0,504,3,
K. Walker,Burnley,731,648,55,0,14,2,973,7,
C. Dawson,Wolverhampton,558,484,85,0,0,0,987,2,
K. Trippier,Newcastle United,1038,886,77,3,82,2,1328,22,
S. Coleman,Everton,74,57,16,0,4,0,224,0,
B. Davies,Tottenham Hotspur,1011,890,83,0,4,0,1330,2,
L. Digne,Aston Villa,980,811,70,4,140,15,2358,36,
D. Burn,Newcastle United,1994,1767,131,1,3,2,3330,9,
F. Schär,Newcastle United,1942,1641,312,0,13,0,2937,5,
M. Keane,Everton,372,312,74,0,1,0,1046,2,
L. Dunk,Brighton & Hove Albion,1934,1768,180,0,5,1,2083,6,
J. Vestergaard,Leicester City,958,870,70,0,0,0,1395,3,
J. Stephens,Southampton,938,867,47,0,1,1,1394,3,
M. Doherty,Wolverhampton,1210,1031,144,1,22,4,2121,12,
V. Lindelöf,Aston Villa,380,356,19,0,1,0,725,3,
J. Tarkowski,Everton,1277,1042,235,1,1,5,2924,16,
J. Schlupp,Norwich City,43,37,3,0,4,0,118,3,
H. Maguire,Manchester United,1119,964,116,0,4,1,1764,9,
N. Aké,Manchester City,532,502,26,0,1,0,688,1,
E. Krafth,Newcastle United,140,111,10,0,2,0,349,1,
V. van Dijk,Liverpool,2922,2679,276,1,1,2,3330,12,
J. Stones,Manchester City,402,367,25,0,0,0,545,2,
J. Lascelles,Leicester City,0,0,0,0,0,0,0,0,
L. Shaw,Manchester United,277,246,24,0,11,1,348,6,
A. Webster,Brighton & Hove Albion,721,636,84,0,2,1,888,3,
J. Veltman,Brighton & Hove Albion,774,638,66,0,24,2,1699,6,
R. Pereira,Leicester City,210,174,13,0,3,0,392,0,
A. Robertson,Liverpool,1541,1356,135,1,147,7,2492,40,
T. Mings,Aston Villa,675,596,61,0,1,1,1121,3,
J. Gomez,Liverpool,416,372,28,0,2,0,526,2,
R. Dias,Manchester City,2309,2165,149,0,3,0,2273,5,
R. Manning,Southampton,620,519,49,1,84,5,1498,34,
T. Adarabioyo,Chelsea,1177,1075,90,1,0,1,1439,1,
J. Bree,Southampton,533,461,29,1,29,2,1078,10,
K. Ajer,Brentford,558,434,45,0,14,2,1460,8,
R. Henry,Brentford,37,25,6,0,2,0,100,0,
M. Holgate,Everton,0,0,0,0,0,0,16,0,
M. Cucurella,Chelsea,1633,1449,108,1,31,3,2990,19,
K. Danso,Tottenham Hotspur,554,479,48,0,1,0,843,2,
M. de Ligt,Manchester United,1370,1238,97,0,6,0,2128,6,
A. Tuanzebe,Burnley,671,578,36,1,10,1,1717,5,
K. Walker-Peters,West Ham United,1495,1353,52,2,51,5,2922,25,
T. Malacia,Manchester United,48,43,4,0,1,0,99,1,
F. Kadıoğlu,Brighton & Hove Albion,150,128,9,0,9,0,388,5,
M. Roerslev,Southampton,442,363,38,2,31,4,1107,14,
T. Chalobah,Chelsea,1094,944,122,1,10,5,1981,8,
I. Konaté,Liverpool,1897,1713,122,2,0,2,2565,10,
A. Disasi,West Ham United,542,490,20,0,1,1,853,5,
E. Konsa,Aston Villa,1633,1523,72,0,5,1,2937,6,
J. Justin,Leeds United,1233,963,114,2,57,1,2928,14,
K. Mavropanos,West Ham United,1244,1081,145,0,2,2,2057,5,
C. Romero,Tottenham Hotspur,1211,1086,96,0,3,1,1420,8,
M. Cash,Aston Villa,764,646,58,1,40,3,2077,11,
I. Júlio,Brighton & Hove Albion,713,661,47,0,4,0,967,2,
B. White,Arsenal,590,510,39,2,17,2,1213,10,
S. Bueno,Wolverhampton,837,737,72,0,0,0,1716,0,
N. Mazraoui,Manchester United,1589,1368,114,1,23,2,2848,20,
E. Pinnock,Brentford,1032,904,102,0,9,2,1913,8,
L. Martínez,Manchester United,1314,1183,102,1,9,3,1754,9,
A. Wan-Bissaka,West Ham United,1503,1244,81,5,76,7,3154,33,
P. Torres,Aston Villa,1359,1214,128,0,3,0,2020,3,
L. Kelly,Newcastle United,165,134,20,1,1,1,335,2,
G. Magalhães,Arsenal,1628,1477,134,1,9,2,2365,13,
V. Mykolenko,Everton,972,764,118,2,101,4,3084,25,
M. Guéhi,Manchester City,1741,1465,247,2,13,5,3060,16,
M. Lacroix,Crystal Palace,1468,1203,238,1,7,4,3118,8,
R. James,Chelsea,743,657,70,1,43,3,1072,11,
M. Kilman,West Ham United,1948,1696,226,1,4,0,3349,16,
B. Badiashile,Chelsea,303,273,22,0,0,0,333,0,
S. Botman,Newcastle United,245,219,14,0,0,1,418,2,
P. Porro,Tottenham Hotspur,1440,1095,203,6,196,10,2622,57,
W. Fofana,Chelsea,781,709,33,0,1,1,1176,6,
S. van den Berg,Brentford,1209,1036,74,0,7,2,2588,6,
C. Richards,Crystal Palace,833,677,100,0,5,0,1925,2,
W. Saliba,Arsenal,2547,2409,110,0,3,1,3041,7,
N. Wood,Southampton,471,443,17,0,3,0,778,1,
M. Nunes,Manchester City,1079,958,45,6,45,7,1682,23,
J. Todibo,West Ham United,1071,946,88,0,3,0,1855,2,
D. Spence,Tottenham Hotspur,979,850,40,2,25,2,1805,11,
R. Calafiori,Arsenal,479,421,21,1,11,0,984,6,
N. Collins,Brentford,1961,1693,184,3,8,4,3420,10,
J. Timber,Arsenal,1182,1039,39,3,28,1,2422,17,
J. Paul van Hecke,Brighton & Hove Albion,2265,2004,255,0,11,3,2960,15,
J. Gvardiol,Manchester City,2528,2310,127,0,22,1,3279,26,
A. Hickey,Brentford,0,0,0,0,0,0,0,0,
C. Okoli,Leicester City,643,556,53,0,1,0,1128,0,
K. Lewis-Potter,Brentford,1048,844,142,3,78,4,3101,26,
T. Gomes,Wolverhampton,1665,1441,141,1,13,1,2615,9,
A. Bella-Kotchap,Southampton,223,202,18,0,0,0,329,0,
I. Maatsen,Aston Villa,616,535,22,2,51,4,1164,21,
J. Branthwaite,Everton,1184,981,188,1,5,2,2525,3,
V. Livramento,Newcastle United,1353,1182,61,1,52,5,2842,26,
T. Harwood-Bellis,Southampton,2124,1872,197,0,10,3,2828,14,
D. Udogie,Tottenham Hotspur,953,841,21,1,19,2,1938,16,
L. Thomas,Leicester City,517,435,38,0,29,1,1112,9,
L. Colwill,Chelsea,2595,2328,202,1,13,2,3149,15,
M. Gusto,Chelsea,1214,1081,72,1,53,1,1876,22,
R. Drăguşin,Tottenham Hotspur,836,712,87,0,1,1,1251,4,
M. van de Ven,Tottenham Hotspur,797,725,48,2,0,2,1018,2,
J. O'Brien,Everton,605,492,72,0,18,1,1574,6,
E. Cashin,Brighton & Hove Albion,27,23,3,0,1,0,19,0,
C. Bradley,Liverpool,477,402,31,2,7,4,756,7,
Welington,Southampton,141,118,15,0,17,0,486,3,
R. Edwards,Southampton,5,5,0,0,0,0,12,0,
Y. Mosquera,Wolverhampton,237,204,29,0,2,0,442,2,
J. Wilson-Esbrand,Manchester City,0,0,0,0,0,0,0,0,
N. Patterson,Everton,120,95,20,1,14,1,345,4,
C. Riad,Crystal Palace,82,70,10,0,0,0,90,0,
L. Bogarde,Aston Villa,253,223,9,0,0,1,481,2,
V. Kristiansen,Leicester City,1027,840,106,1,97,5,2489,18,
M. Kerkez,Liverpool,1350,1086,149,5,142,8,3342,37,
L. Hall,Newcastle United,1313,1121,113,4,110,5,2192,34,
R. Lewis,Manchester City,1204,1101,42,2,6,0,1897,7,
TFT. Fredricson,Manchester United,122,110,8,0,0,0,166,0,
J. Hinshelwood,Brighton & Hove Albion,943,803,72,2,27,3,1854,17,
R. McConville,Norwich City,0,0,0,0,0,0,0,0,
A. Gray,Tottenham Hotspur,1079,964,79,0,17,0,1764,3,
N. O'Reilly,Manchester City,308,270,7,0,8,0,532,4,
L. Yoro,Manchester United,757,700,37,0,1,0,1169,2,
A. Khusanov,Manchester City,391,357,22,0,1,0,504,2,
B. Nelson,Leicester City,0,0,0,0,0,0,0,0,
J. Acheampong,Chelsea,123,103,14,0,0,0,181,0,
M. Lewis-Skelly,Arsenal,667,624,15,0,10,0,1377,8,
A. Heaven,Manchester United,105,90,7,0,0,0,171,1,
A. García,Aston Villa,158,146,6,0,18,1,325,3,
C. Kporha,Crystal Palace,4,3,0,0,2,0,19,0,
OAO. Aluko,Leicester City,5,3,0,0,0,0,1,0,
P. Lima,Wolverhampton,26,20,0,0,5,0,70,2,
