Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
D. Welbeck,Brighton & Hove Albion,4,1,60.0,24,10,2122,9.5684,,1.3789,
J. Ayew,Leicester City,0,2,33.0,10,5,1701,3.6823,,1.4783,
C. Wilson,West Ham United,0,0,6.0,1,0,368,0.3768,,0.087,
L. Trossard,Arsenal,7,13,72.0,22,8,2558,7.2121,,4.1066,
A. Traoré,West Ham United,7,11,39.0,12,2,1794,4.0026,,4.526,
A. Armstrong,Southampton,2,3,26.0,9,2,1252,3.2848,,0.5591,
D. Solanke,Tottenham Hotspur,3,6,60.0,26,9,2206,10.973,,1.1391,
J. Murphy,Newcastle United,12,16,43.0,15,8,2379,5.7177,,6.1481,
D. Calvert-Lewin,Leeds United,1,1,50.0,20,3,1629,6.7498,,0.6394,
O. Watkins,Aston Villa,8,7,84.0,40,16,2610,15.3791,,2.0455,
D. Jota,Liverpool,3,3,51.0,13,6,1206,7.9187,,1.0968,
H. Hwang,Wolverhampton,0,1,5.0,3,2,661,0.7987,,0.3121,
G. Jesus,Arsenal,0,1,20.0,8,3,627,2.9862,,0.5113,
Y. Wissa,Newcastle United,4,3,90.0,43,19,2927,18.5866,,1.8118,
A. Isak,Liverpool,6,11,99.0,46,23,2769,20.4234,,3.5946,
R. Nelson,Brentford,1,2,12.0,6,1,488,1.0988,,0.9665,
K. Havertz,Arsenal,3,3,53.0,21,9,1874,9.5647,,1.6634,
E. Haaland,Manchester City,3,5,108.0,60,22,2741,22.0106,,2.0062,
Richarlison,Tottenham Hotspur,1,1,17.0,7,4,514,3.7163,,0.5947,
I. Sarr,Crystal Palace,6,17,59.0,29,8,2719,10.7218,,6.727,
F. Chiesa,Liverpool,0,0,5.0,2,0,116,0.3377,,0.1515,
J. Mateta,Crystal Palace,2,7,70.0,33,14,2654,13.5332,,2.2564,
H. Barnes,Newcastle United,4,8,63.0,21,9,1766,7.2252,,4.5521,
E. Nketiah,Crystal Palace,1,2,43.0,16,3,1045,5.7379,,0.8376,
E. Eze,Arsenal,8,11,102.0,29,8,2600,10.4976,,4.6722,
P. Daka,Leicester City,0,0,15.0,4,1,736,1.2535,,0.0547,
O. Marmoush,Manchester City,0,8,49.0,17,7,1190,5.4857,,2.1158,
J. Strand Larsen,Wolverhampton,4,6,54.0,34,14,2599,10.2737,,1.0188,
R. Stewart,Southampton,0,0,9.0,2,1,406,1.0964,,0.0377,
M. Cunha,Manchester United,6,13,110.0,44,15,2600,8.6288,,5.2816,
A. Gordon,Newcastle United,5,6,59.0,19,6,2444,8.0315,,5.0996,
J. Zirkzee,Manchester United,1,4,28.0,11,3,1406,4.8166,,1.0418,
G. Martinelli,Arsenal,4,7,55.0,25,8,2300,7.4062,,4.6501,
B. Saka,Arsenal,10,21,67.0,23,6,1735,6.846,,7.8018,
A. Diallo,Manchester United,6,7,47.0,17,8,1908,4.685,,4.1743,
J. Pedro,Chelsea,6,11,47.0,20,10,1953,8.904,,3.0879,
Beto,Everton,0,2,49.0,23,8,1541,7.8648,,0.4535,
F. Carvalho,Brentford,1,1,12.0,6,2,456,2.4863,,0.5407,
C. Archer,Southampton,0,0,29.0,11,2,1452,5.7213,,0.7102,
A. Broja,Burnley,0,0,4.0,0,0,336,0.1121,,0.1056,
L. Delap,Chelsea,2,3,68.0,32,12,2612,9.343,,1.3708,
E. Ferguson,Brighton & Hove Albion,0,2,12.0,3,1,418,1.0987,,0.6634,
I. Thiago,Brentford,0,0,2.0,0,0,174,0.1288,,0.0329,
B. Johnson,Crystal Palace,3,4,54.0,20,11,2186,10.3966,,2.0379,
D. Ouattara,Brentford,4,10,62.0,20,7,2012,8.3646,,3.2756,
W. Osula,Newcastle United,0,0,4.0,1,1,168,0.1618,,0.0557,
A. Garnacho,Chelsea,2,4,84.0,30,6,2195,7.3343,,2.7657,
W. Odobert,Tottenham Hotspur,0,1,13.0,4,1,849,1.6118,,0.7549,
JRJ. Robinson,Southampton,0,1,1.0,1,0,143,0.0476,,0.529,
COC. Obi-Martin,Manchester United,0,0,5.0,1,0,169,0.6604,,0.0229,
JMJ. Monga,Leicester City,0,0,3.0,1,0,118,0.1615,,0.011,
M. Mané,Wolverhampton,0,0,,0,0,1,0.0,,0.0,
