Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
D. Welbeck,Brighton & Hove Albion,30,10,2122,9.5684,1.3789,
J. Ayew,Leicester City,37,5,1701,3.6823,1.4783,
C. Wilson,West Ham United,18,0,368,0.3768,0.087,
L. Trossard,Arsenal,38,8,2558,7.2121,4.1066,
A. Traoré,West Ham United,37,2,1794,4.0026,4.526,
A. Armstrong,Southampton,24,2,1252,3.2848,0.5591,
D. Solanke,Tottenham Hotspur,28,9,2206,10.973,1.1391,
J. Murphy,Newcastle United,37,8,2379,5.7177,6.1481,
D. Calvert-Lewin,Leeds United,26,3,1629,6.7498,0.6394,
O. Watkins,Aston Villa,38,16,2610,15.3791,2.0455,
D. Jota,Liverpool,29,6,1206,7.9187,1.0968,
H. Hwang,Wolverhampton,29,2,661,0.7987,0.3121,
G. Jesus,Arsenal,18,3,627,2.9862,0.5113,
Y. Wissa,Newcastle United,35,19,2927,18.5866,1.8118,
A. Isak,Liverpool,34,23,2769,20.4234,3.5946,
R. Nelson,Brentford,13,1,488,1.0988,0.9665,
K. Havertz,Arsenal,24,9,1874,9.5647,1.6634,
E. Haaland,Manchester City,32,22,2741,22.0106,2.0062,
Richarlison,Tottenham Hotspur,17,4,514,3.7163,0.5947,
I. Sarr,Crystal Palace,38,8,2719,10.7218,6.727,
F. Chiesa,Liverpool,19,0,116,0.3377,0.1515,
J. Mateta,Crystal Palace,37,14,2654,13.5332,2.2564,
H. Barnes,Newcastle United,34,9,1766,7.2252,4.5521,
E. Nketiah,Crystal Palace,33,3,1045,5.7379,0.8376,
E. Eze,Arsenal,34,8,2600,10.4976,4.6722,
P. Daka,Leicester City,27,1,736,1.2535,0.0547,
O. Marmoush,Manchester City,16,7,1190,5.4857,2.1158,
J. Strand Larsen,Wolverhampton,35,14,2599,10.2737,1.0188,
R. Stewart,Southampton,12,1,406,1.0964,0.0377,
M. Cunha,Manchester United,33,15,2600,8.6288,5.2816,
A. Gordon,Newcastle United,34,6,2444,8.0315,5.0996,
J. Zirkzee,Manchester United,32,3,1406,4.8166,1.0418,
G. Martinelli,Arsenal,35,8,2300,7.4062,4.6501,
B. Saka,Arsenal,25,6,1735,6.846,7.8018,
A. Diallo,Manchester United,28,8,1908,4.685,4.1743,
J. Pedro,Chelsea,27,10,1953,8.904,3.0879,
Beto,Everton,38,8,1541,7.8648,0.4535,
F. Carvalho,Brentford,25,2,456,2.4863,0.5407,
C. Archer,Southampton,37,2,1452,5.7213,0.7102,
A. Broja,Burnley,13,0,336,0.1121,0.1056,
L. Delap,Chelsea,37,12,2612,9.343,1.3708,
E. Ferguson,Brighton & Hove Albion,27,1,418,1.0987,0.6634,
I. Thiago,Brentford,8,0,174,0.1288,0.0329,
B. Johnson,Crystal Palace,35,11,2186,10.3966,2.0379,
D. Ouattara,Brentford,32,7,2012,8.3646,3.2756,
W. Osula,Newcastle United,38,1,168,0.1618,0.0557,
A. Garnacho,Chelsea,36,6,2195,7.3343,2.7657,
W. Odobert,Tottenham Hotspur,16,1,849,1.6118,0.7549,
JRJ. Robinson,Southampton,5,0,143,0.0476,0.529,
COC. Obi-Martin,Manchester United,11,0,169,0.6604,0.0229,
JMJ. Monga,Leicester City,7,0,118,0.1615,0.011,
M. Mané,Wolverhampton,5,0,1,0,0,
