Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
D. Welbeck,Brighton & Hove Albion,26,14,5,17,18,2122,79,
J. Ayew,Leicester City,28,18,12,40,13,1701,151,
C. Wilson,West Ham United,2,1,1,2,2,368,6,
L. Trossard,Arsenal,31,14,9,6,28,2558,121,
A. Traoré,West Ham United,20,4,1,25,15,1794,125,
A. Armstrong,Southampton,12,8,3,5,8,1252,28,
D. Solanke,Tottenham Hotspur,18,23,1,46,16,2206,117,
J. Murphy,Newcastle United,28,29,13,5,12,2379,83,
D. Calvert-Lewin,Leeds United,9,23,7,86,8,1629,127,
O. Watkins,Aston Villa,10,14,8,52,17,2610,105,
D. Jota,Liverpool,14,6,8,22,16,1206,61,
H. Hwang,Wolverhampton,6,10,2,3,1,661,20,
G. Jesus,Arsenal,10,7,4,9,4,627,38,
Y. Wissa,Newcastle United,22,19,8,30,21,2927,118,
A. Isak,Liverpool,12,17,3,27,23,2769,94,
R. Nelson,Brentford,9,2,5,0,3,488,32,
K. Havertz,Arsenal,16,32,6,65,9,1874,111,
E. Haaland,Manchester City,11,22,5,57,16,2741,94,
Richarlison,Tottenham Hotspur,5,8,0,10,2,514,29,
I. Sarr,Crystal Palace,22,38,9,37,10,2719,132,
F. Chiesa,Liverpool,1,1,0,0,2,116,3,
J. Mateta,Crystal Palace,18,22,2,64,17,2654,129,
H. Barnes,Newcastle United,16,11,6,7,23,1766,68,
E. Nketiah,Crystal Palace,15,10,3,21,10,1045,76,
E. Eze,Arsenal,39,8,11,7,41,2600,164,
P. Daka,Leicester City,19,11,1,12,5,736,50,
O. Marmoush,Manchester City,13,3,6,5,15,1190,58,
J. Strand Larsen,Wolverhampton,10,29,6,67,5,2599,104,
R. Stewart,Southampton,6,6,1,13,4,406,29,
M. Cunha,Manchester United,38,19,17,13,30,2600,183,
A. Gordon,Newcastle United,32,5,7,8,19,2444,149,
J. Zirkzee,Manchester United,14,8,6,23,9,1406,59,
G. Martinelli,Arsenal,23,16,5,17,15,2300,94,
B. Saka,Arsenal,29,6,3,10,26,1735,119,
A. Diallo,Manchester United,38,16,11,10,20,1908,117,
J. Pedro,Chelsea,16,12,9,42,14,1953,132,
Beto,Everton,14,24,4,99,8,1541,155,
F. Carvalho,Brentford,13,2,3,2,4,456,27,
C. Archer,Southampton,13,9,2,9,7,1452,50,
A. Broja,Burnley,3,4,1,18,0,336,33,
L. Delap,Chelsea,11,28,2,58,15,2612,157,
E. Ferguson,Brighton & Hove Albion,7,5,1,9,6,418,23,
I. Thiago,Brentford,5,3,2,7,0,174,18,
B. Johnson,Crystal Palace,39,10,4,7,11,2186,91,
D. Ouattara,Brentford,35,48,11,46,14,2012,138,
W. Osula,Newcastle United,2,1,4,6,1,168,12,
A. Garnacho,Chelsea,30,10,13,3,29,2195,102,
W. Odobert,Tottenham Hotspur,14,5,4,4,5,849,33,
JRJ. Robinson,Southampton,4,1,0,0,0,143,11,
COC. Obi-Martin,Manchester United,2,1,0,2,3,169,6,
JMJ. Monga,Leicester City,2,1,0,0,1,118,9,
M. Mané,Wolverhampton,0,0,0,1,0,1,1,
