Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
D. Welbeck,Brighton & Hove Albion,485,415,8,4,3,1,2122,23,
J. Ayew,Leicester City,483,388,26,0,61,2,1701,17,
C. Wilson,West Ham United,50,39,0,0,2,0,368,3,
L. Trossard,Arsenal,853,687,52,7,86,13,2558,41,
A. Traoré,West Ham United,484,393,17,7,100,11,1794,42,
A. Armstrong,Southampton,269,225,10,2,14,3,1252,9,
D. Solanke,Tottenham Hotspur,353,252,15,3,4,6,2206,14,
J. Murphy,Newcastle United,844,637,58,12,120,16,2379,42,
D. Calvert-Lewin,Leeds United,282,179,6,1,6,1,1629,7,
O. Watkins,Aston Villa,414,307,5,8,7,7,2610,25,
D. Jota,Liverpool,299,213,21,3,8,3,1206,11,
H. Hwang,Wolverhampton,189,158,1,0,8,1,661,3,
G. Jesus,Arsenal,190,152,4,0,7,1,627,8,
Y. Wissa,Newcastle United,563,447,32,4,20,3,2927,28,
A. Isak,Liverpool,658,507,26,6,16,11,2769,42,
R. Nelson,Brentford,243,222,6,1,23,2,488,13,
K. Havertz,Arsenal,501,400,5,3,11,3,1874,17,
E. Haaland,Manchester City,375,253,3,3,3,5,2741,29,
Richarlison,Tottenham Hotspur,96,60,3,1,7,1,514,4,
I. Sarr,Crystal Palace,680,476,27,6,55,17,2719,46,
F. Chiesa,Liverpool,28,26,1,0,2,0,116,2,
J. Mateta,Crystal Palace,420,286,13,2,26,7,2654,29,
H. Barnes,Newcastle United,548,450,14,4,47,8,1766,26,
E. Nketiah,Crystal Palace,235,178,14,1,5,2,1045,13,
E. Eze,Arsenal,914,745,65,8,112,11,2600,59,
P. Daka,Leicester City,138,102,5,0,3,0,736,1,
O. Marmoush,Manchester City,286,241,2,0,28,8,1190,15,
J. Strand Larsen,Wolverhampton,451,294,18,4,6,6,2599,21,
R. Stewart,Southampton,95,67,1,0,0,0,406,0,
M. Cunha,Manchester United,949,753,88,6,142,13,2600,58,
A. Gordon,Newcastle United,809,655,38,5,131,6,2444,52,
J. Zirkzee,Manchester United,405,292,11,1,4,4,1406,12,
G. Martinelli,Arsenal,590,466,15,4,92,7,2300,40,
B. Saka,Arsenal,598,504,17,10,117,21,1735,61,
A. Diallo,Manchester United,854,734,27,6,42,7,1908,49,
J. Pedro,Chelsea,626,467,24,6,22,11,1953,30,
Beto,Everton,264,155,8,0,4,2,1541,12,
F. Carvalho,Brentford,166,124,10,1,10,1,456,4,
C. Archer,Southampton,247,205,6,0,3,0,1452,5,
A. Broja,Burnley,71,53,0,0,1,0,336,4,
L. Delap,Chelsea,348,216,19,2,5,3,2612,21,
E. Ferguson,Brighton & Hove Albion,93,71,5,0,0,2,418,5,
I. Thiago,Brentford,54,40,3,0,2,0,174,2,
B. Johnson,Crystal Palace,571,433,17,3,53,4,2186,19,
D. Ouattara,Brentford,495,326,37,4,88,10,2012,35,
W. Osula,Newcastle United,25,18,0,0,4,0,168,2,
A. Garnacho,Chelsea,750,625,28,2,56,4,2195,37,
W. Odobert,Tottenham Hotspur,243,206,6,0,25,1,849,6,
JRJ. Robinson,Southampton,33,23,4,0,1,1,143,3,
COC. Obi-Martin,Manchester United,24,20,1,0,0,0,169,0,
JMJ. Monga,Leicester City,25,18,0,0,4,0,118,1,
M. Mané,Wolverhampton,5,4,0,0,0,0,1,0,
