Name,Team,Assists,Big Chances Created,Shots,Shots On Target,Goals,Mins,XG,NpxG,XA,Unnamed: 10
J. Ruddy,Newcastle United,0,0,,0,0,0,0.0,,0.0,
A. Begović,Leicester City,0,0,,0,0,0,0.0,,0.0,
T. Heaton,Manchester United,0,0,,0,0,0,0.0,,0.0,
J. Steele,Brighton & Hove Albion,0,0,,0,0,180,0.0,,0.0,
M. Dúbravka,Burnley,0,0,,0,0,900,0.0,,0.0,
A. McCarthy,Southampton,0,0,,0,0,450,0.0,,0.0,
A. Aréola,West Ham United,0,0,,0,0,2259,0.0,,0.0,
S. Johnstone,Wolverhampton,0,0,,0,0,630,0.0,,0.0,
D. Bentley,Wolverhampton,0,0,,0,0,180,0.0,,0.0,
J. Pickford,Everton,1,1,,0,0,3420,0.0,,0.1793,
E. Martínez,Aston Villa,0,1,,0,0,3196,0.0,,0.0147,
N. Pope,Newcastle United,0,0,,0,0,2520,0.0,,0.0,
K. Arrizabalaga,Arsenal,0,0,1.0,0,0,2790,0.061,,0.0204,
Alisson,Liverpool,0,1,,0,0,2509,0.0,,0.2008,
J. Sá,Wolverhampton,0,0,,0,0,2609,0.0,,0.0069,
M. Bettinelli,Manchester City,0,0,,0,0,0,0.0,,0.0,
G. Vicario,Tottenham Hotspur,0,0,,0,0,2160,0.0,,0.0,
D. Raya,Arsenal,0,0,,0,0,3420,0.0,,0.0257,
R. Matthews,Crystal Palace,0,0,,0,0,0,0.0,,0.0,
T. King,Everton,0,0,,0,0,1,0.0,,0.0,
D. Henderson,Crystal Palace,0,0,1.0,0,0,3420,0.0149,,0.0126,
A. Bayındır,Manchester United,0,0,,0,0,360,0.0,,0.0,
A. Whiteman,Tottenham Hotspur,0,0,,0,0,0,0.0,,0.0,
C. Kelleher,Brentford,0,0,,0,0,900,0.0,,0.0,
A. Ramsdale,Newcastle United,0,0,,0,0,2700,0.0,,0.0277,
M. Hermansen,West Ham United,0,0,,0,0,2385,0.0,,0.0164,
B. Austin,Tottenham Hotspur,0,0,,0,0,90,0.0,,0.0,
R. Sánchez,Chelsea,0,0,,0,0,2880,0.0,,0.0148,
F. Jørgensen,Chelsea,0,0,,0,0,540,0.0,,0.0,
J. Gauci,Aston Villa,0,0,,0,0,0,0.0,,0.0,
B. Verbruggen,Brighton & Hove Albion,1,0,,0,0,3240,0.0,,0.0072,
J. Stolarczyk,Leicester City,0,0,,0,0,900,0.0,,0.0,
H. Rafn Valdimarsson,Brentford,0,0,,0,0,144,0.0,,0.0,
A. Kinský,Tottenham Hotspur,0,1,,0,0,540,0.0,,0.0059,
JEJ. Eyestone,Brentford,0,0,,0,0,0,0.0,,0.0,
