Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Ruddy,Newcastle United,8,0,0,0,0,
A. Begović,Leicester City,18,0,0,0,0,
T. Heaton,Manchester United,8,0,0,0,0,
J. Steele,Brighton & Hove Albion,26,0,180,0,0,
M. Dúbravka,Burnley,34,0,900,0,0,
A. McCarthy,Southampton,38,0,450,0,0,
A. Aréola,West Ham United,34,0,2259,0,0,
S. Johnstone,Wolverhampton,25,0,630,0,0,
D. Bentley,Wolverhampton,18,0,180,0,0,
J. Pickford,Everton,38,0,3420,0,0.1793,
E. Martínez,Aston Villa,37,0,3196,0,0.0147,
N. Pope,Newcastle United,31,0,2520,0,0,
K. Arrizabalaga,Arsenal,32,0,2790,0.061,0.0204,
Alisson,Liverpool,28,0,2509,0,0.2008,
J. Sá,Wolverhampton,33,0,2609,0,0.0069,
M. Bettinelli,Manchester City,5,0,0,0,0,
G. Vicario,Tottenham Hotspur,26,0,2160,0,0,
D. Raya,Arsenal,38,0,3420,0,0.0257,
R. Matthews,Crystal Palace,7,0,0,0,0,
T. King,Everton,3,0,1,0,0,
D. Henderson,Crystal Palace,38,0,3420,0.0149,0.0126,
A. Bayındır,Manchester United,31,0,360,0,0,
A. Whiteman,Tottenham Hotspur,1,0,0,0,0,
C. Kelleher,Brentford,37,0,900,0,0,
A. Ramsdale,Newcastle United,32,0,2700,0,0.0277,
M. Hermansen,West Ham United,27,0,2385,0,0.0164,
B. Austin,Tottenham Hotspur,13,0,90,0,0,
R. Sánchez,Chelsea,38,0,2880,0,0.0148,
F. Jørgensen,Chelsea,37,0,540,0,0,
J. Gauci,Aston Villa,10,0,0,0,0,
B. Verbruggen,Brighton & Hove Albion,36,0,3240,0,0.0072,
J. Stolarczyk,Leicester City,21,0,900,0,0,
H. Rafn Valdimarsson,Brentford,38,0,144,0,0,
A. Kinský,Tottenham Hotspur,18,0,540,0,0.0059,
JEJ. Eyestone,Brentford,1,0,0,0,0,
