Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Ruddy,Newcastle United,0,0,0,0,0,0,0,
A. Begović,Leicester City,0,0,0,0,0,0,0,
T. Heaton,Manchester United,0,0,0,0,0,0,0,
J. Steele,Brighton & Hove Albion,0,3,0,1,0,180,2,
M. Dúbravka,Burnley,0,5,0,4,0,900,5,
A. McCarthy,Southampton,0,3,0,2,0,450,3,
A. Aréola,West Ham United,2,25,0,2,0,2259,4,
S. Johnstone,Wolverhampton,0,9,0,4,0,630,4,
D. Bentley,Wolverhampton,0,3,0,2,0,180,2,
J. Pickford,Everton,1,52,1,8,0,3420,13,
E. Martínez,Aston Villa,3,20,0,11,0,3196,20,
N. Pope,Newcastle United,0,53,1,14,0,2520,16,
K. Arrizabalaga,Arsenal,1,36,0,8,0,2790,15,
Alisson,Liverpool,1,31,0,7,0,2509,11,
J. Sá,Wolverhampton,2,25,0,13,0,2609,30,
M. Bettinelli,Manchester City,0,0,0,0,0,0,0,
G. Vicario,Tottenham Hotspur,0,33,1,10,0,2160,12,
D. Raya,Arsenal,0,29,2,14,0,3420,24,
R. Matthews,Crystal Palace,0,0,0,0,0,0,0,
T. King,Everton,0,0,0,0,0,1,0,
D. Henderson,Crystal Palace,2,40,0,13,0,3420,15,
A. Bayındır,Manchester United,0,14,0,1,0,360,2,
A. Whiteman,Tottenham Hotspur,0,0,0,0,0,0,0,
C. Kelleher,Brentford,0,3,0,2,0,900,5,
A. Ramsdale,Newcastle United,0,28,2,8,0,2700,11,
M. Hermansen,West Ham United,1,33,0,4,0,2385,9,
B. Austin,Tottenham Hotspur,0,1,0,4,0,90,4,
R. Sánchez,Chelsea,0,36,2,12,0,2880,16,
F. Jørgensen,Chelsea,0,0,0,1,0,540,1,
J. Gauci,Aston Villa,0,0,0,0,0,0,0,
B. Verbruggen,Brighton & Hove Albion,0,46,0,10,0,3240,14,
J. Stolarczyk,Leicester City,2,16,0,5,0,900,7,
H. Rafn Valdimarsson,Brentford,0,3,0,1,0,144,1,
A. Kinský,Tottenham Hotspur,3,15,0,2,0,540,5,
JEJ. Eyestone,Brentford,0,0,0,0,0,0,0,
