Name,Team,Mins,Saves,Unnamed: 3
J. Ruddy,Newcastle United,0,0,
A. Begović,Leicester City,0,0,
T. Heaton,Manchester United,0,0,
J. Steele,Brighton & Hove Albion,180,3,
M. Dúbravka,Burnley,900,29,
A. McCarthy,Southampton,450,24,
A. Aréola,West Ham United,2259,82,
S. Johnstone,Wolverhampton,630,23,
D. Bentley,Wolverhampton,180,8,
J. Pickford,Everton,3420,122,
E. Martínez,Aston Villa,3196,100,
N. Pope,Newcastle United,2520,88,
K. Arrizabalaga,Arsenal,2790,97,
Alisson,Liverpool,2509,78,
J. Sá,Wolverhampton,2609,71,
M. Bettinelli,Manchester City,0,0,
G. Vicario,Tottenham Hotspur,2160,68,
D. Raya,Arsenal,3420,86,
R. Matthews,Crystal Palace,0,0,
T. King,Everton,1,0,
D. Henderson,Crystal Palace,3420,104,
A. Bayındır,Manchester United,360,8,
A. Whiteman,Tottenham Hotspur,0,0,
C. Kelleher,Brentford,900,27,
A. Ramsdale,Newcastle United,2700,125,
M. Hermansen,West Ham United,2385,103,
B. Austin,Tottenham Hotspur,90,2,
R. Sánchez,Chelsea,2880,95,
F. Jørgensen,Chelsea,540,20,
J. Gauci,Aston Villa,0,0,
B. Verbruggen,Brighton & Hove Albion,3240,91,
J. Stolarczyk,Leicester City,900,28,
H. Rafn Valdimarsson,Brentford,144,3,
A. Kinský,Tottenham Hotspur,540,24,
JEJ. Eyestone,Brentford,0,0,
