Name,Team,Passes,Accurate Passes,Long Balls,Assists,Crosses,Big Chances Created,Mins,KeyPasses,Unnamed: 9
J. Ruddy,Newcastle United,0,0,0,0,0,0,0,0,
A. Begović,Leicester City,0,0,0,0,0,0,0,0,
T. Heaton,Manchester United,0,0,0,0,0,0,0,0,
J. Steele,Brighton & Hove Albion,105,94,23,0,0,0,180,0,
M. Dúbravka,Burnley,278,211,96,0,0,0,900,0,
A. McCarthy,Southampton,126,88,58,0,0,0,450,0,
A. Aréola,West Ham United,865,572,438,0,0,0,2259,0,
S. Johnstone,Wolverhampton,249,156,149,0,0,0,630,1,
D. Bentley,Wolverhampton,59,43,25,0,0,0,180,0,
J. Pickford,Everton,1425,899,886,1,0,1,3420,2,
E. Martínez,Aston Villa,1248,961,476,0,0,1,3196,2,
N. Pope,Newcastle United,590,385,279,0,0,0,2520,1,
K. Arrizabalaga,Arsenal,901,634,436,0,0,0,2790,1,
Alisson,Liverpool,829,669,240,0,0,1,2509,1,
J. Sá,Wolverhampton,800,474,436,0,0,0,2609,3,
M. Bettinelli,Manchester City,0,0,0,0,0,0,0,0,
G. Vicario,Tottenham Hotspur,754,648,142,0,0,0,2160,0,
D. Raya,Arsenal,1232,870,519,0,0,0,3420,1,
R. Matthews,Crystal Palace,0,0,0,0,0,0,0,0,
T. King,Everton,0,0,0,0,0,0,1,0,
D. Henderson,Crystal Palace,1100,631,637,0,0,0,3420,3,
A. Bayındır,Manchester United,140,80,77,0,0,0,360,0,
A. Whiteman,Tottenham Hotspur,0,0,0,0,0,0,0,0,
C. Kelleher,Brentford,333,240,125,0,0,0,900,0,
A. Ramsdale,Newcastle United,1087,646,655,0,0,0,2700,0,
M. Hermansen,West Ham United,936,526,537,0,0,0,2385,0,
B. Austin,Tottenham Hotspur,27,18,13,0,0,0,90,0,
R. Sánchez,Chelsea,1052,687,487,0,0,0,2880,2,
F. Jørgensen,Chelsea,170,140,40,0,0,0,540,0,
J. Gauci,Aston Villa,0,0,0,0,0,0,0,0,
B. Verbruggen,Brighton & Hove Albion,1187,891,472,1,0,0,3240,1,
J. Stolarczyk,Leicester City,350,203,210,0,0,0,900,0,
H. Rafn Valdimarsson,Brentford,63,39,42,0,0,0,144,0,
A. Kinský,Tottenham Hotspur,179,130,71,0,0,1,540,1,
JEJ. Eyestone,Brentford,0,0,0,0,0,0,0,0,
