Name,Team,App,Goals,Mins,XG,XA,Unnamed: 6
J. Milner,Brighton & Hove Albion,4,0,173,0.1639,0.1548,
A. Lallana,Southampton,20,0,377,0.167,0.4835,
R. Barkley,Aston Villa,24,3,615,1.7632,0.4234,
I. Gueye,Everton,37,0,3072,1.0636,1.9542,
Casemiro,Manchester United,38,1,1513,1.8293,1.9926,
C. Nørgaard,Arsenal,34,5,2829,4.364,1.3628,
M. Kovačić,Manchester City,33,6,2207,1.8838,3.2297,
R. Fraser,Southampton,13,0,312,0.0275,0.1004,
W. Endo,Liverpool,37,0,300,0,0.0883,
B. Decordova-Reid,Leicester City,32,1,788,0.7919,0.1407,
M. Salah,Liverpool,38,29,3377,25.3674,9.0575,
J. Ward-Prowse,Burnley,34,1,1454,1.7011,2.59,
J. Grealish,Everton,32,1,735,1.128,1.6777,
W. Hughes,Crystal Palace,33,0,2118,1.0842,2.633,
J. McGinn,Aston Villa,34,1,2247,3.1282,2.698,
B. Fernandes,Manchester United,37,8,3024,9.9512,7.9767,
S. March,Brighton & Hove Albion,13,0,168,0.0855,0.3108,
B. Silva,Manchester City,38,4,2671,3.8971,4.5421,
Y. Tielemans,Aston Villa,36,3,3032,3.3215,5.6477,
J. Lerma,Crystal Palace,34,0,2289,1.0928,1.7207,
J. Maddison,Tottenham Hotspur,32,9,1826,5.8325,5.9085,
H. Winks,Leicester City,25,0,1540,0.2233,1.525,
M. Ødegaard,Arsenal,30,3,2328,4.81,6.6597,
J. Bowen,West Ham United,34,13,2979,8.6375,6.4709,
Joelinton,Newcastle United,29,4,2404,3.953,2.3333,
M. Merino,Arsenal,28,7,1597,5.914,1.1737,
S. Mavididi,Leicester City,33,4,1620,1.8382,3.2482,
E. Buendía,Aston Villa,23,0,124,0.6518,0.0229,
K. Phillips,Manchester City,25,0,1239,0.4306,0.4655,
R. Bentancur,Tottenham Hotspur,27,2,1661,1.3272,0.9944,
D. Kamada,Crystal Palace,35,0,1594,1.0898,1.5892,
T. Souček,West Ham United,36,9,2570,6.8456,1.2412,
M. Jensen,Brentford,24,0,857,0.2425,1.7419,
V. Janelt,Brentford,32,1,2287,0.8223,2.4002,
J. Aribo,Leicester City,38,3,2033,2.6976,1.2317,
B. Kamara,Aston Villa,27,1,1733,0.8177,0.819,
Rodri,Manchester City,5,0,80,0,0.0906,
H. Choudhury,Leicester City,15,0,130,0,0.1959,
M. Mount,Manchester United,20,1,625,3.3134,0.5681,
D. Dalot,Manchester United,33,0,2813,2.0519,2.4546,
Y. Bissouma,Tottenham Hotspur,34,2,1430,0.625,0.5978,
J. Bellegarde,Wolverhampton,37,2,1706,1.5278,2.7288,
M. Ugarte,Manchester United,32,1,1796,1.0095,0.6754,
J. Sancho,Manchester United,32,3,1773,2.1723,3.1119,
D. Rice,Arsenal,36,4,2833,3.5105,5.6257,
P. Foden,Manchester City,33,7,1785,5.1573,5.3379,
O. Skipp,Leicester City,35,0,1143,0.3588,0.3131,
K. Dewsbury-Hall,Everton,26,0,292,0.2226,0.2111,
C. Gakpo,Liverpool,35,10,1946,7.0927,3.7592,
S. Longstaff,Leeds United,38,0,837,0.601,0.2081,
B. Guimarães,Newcastle United,38,5,3282,4.3118,5.3879,
D. Szoboszlai,Liverpool,36,6,2496,7.3435,5.8786,
D. Muñoz,Crystal Palace,37,4,3233,4.9298,3.5666,
P. Neto,Chelsea,36,4,2281,3.5006,4.7561,
F. Downes,Southampton,29,1,2161,0.6347,1.4065,
F. Onyeka,Brentford,2,0,28,0,0.016,
J. Willock,Newcastle United,33,0,1097,1.6342,0.9168,
S. Tonali,Newcastle United,36,4,2631,4.3991,2.7563,
A. Mac Allister,Liverpool,35,5,2607,2.8328,5.6389,
R. Gravenberch,Liverpool,37,0,3168,1.1183,3.5261,
M. Kudus,Tottenham Hotspur,32,5,2601,6.9009,2.7009,
C. Doucouré,Crystal Palace,17,0,462,0.4023,0.0972,
M. Damsgaard,Brentford,38,2,2926,2.8313,6.9767,
