Name,Team,Tackles,Clearances,Interceptions,Aerials Won,Blocks,Mins,Duels Won,Unnamed: 8
J. Milner,Brighton & Hove Albion,5,2,2,0,0,173,7,
A. Lallana,Southampton,8,5,5,2,1,377,23,
R. Barkley,Aston Villa,14,5,10,6,4,615,35,
I. Gueye,Everton,133,34,48,25,7,3072,221,
Casemiro,Manchester United,83,48,14,39,7,1513,141,
C. Nørgaard,Arsenal,79,64,49,52,12,2829,163,
M. Kovačić,Manchester City,69,21,24,10,19,2207,127,
R. Fraser,Southampton,6,8,1,2,0,312,14,
W. Endo,Liverpool,12,8,6,3,0,300,24,
B. Decordova-Reid,Leicester City,9,10,0,6,2,788,24,
M. Salah,Liverpool,21,5,9,9,26,3377,127,
J. Ward-Prowse,Burnley,24,19,13,13,5,1454,45,
J. Grealish,Everton,9,5,2,1,6,735,48,
W. Hughes,Crystal Palace,66,26,22,19,13,2118,121,
J. McGinn,Aston Villa,33,14,14,17,10,2247,139,
B. Fernandes,Manchester United,84,30,26,23,31,3024,174,
S. March,Brighton & Hove Albion,6,1,2,1,1,168,10,
B. Silva,Manchester City,56,30,23,5,11,2671,121,
Y. Tielemans,Aston Villa,84,46,23,24,14,3032,193,
J. Lerma,Crystal Palace,35,78,42,45,7,2289,122,
J. Maddison,Tottenham Hotspur,31,17,12,5,11,1826,133,
H. Winks,Leicester City,24,18,9,8,1,1540,48,
M. Ødegaard,Arsenal,19,5,6,8,19,2328,75,
J. Bowen,West Ham United,41,21,16,12,28,2979,148,
Joelinton,Newcastle United,57,46,23,59,13,2404,166,
M. Merino,Arsenal,46,23,15,60,7,1597,137,
S. Mavididi,Leicester City,34,13,11,9,10,1620,96,
E. Buendía,Aston Villa,6,1,0,0,1,124,12,
K. Phillips,Manchester City,35,35,19,8,6,1239,67,
R. Bentancur,Tottenham Hotspur,40,37,40,36,9,1661,95,
D. Kamada,Crystal Palace,47,14,18,4,9,1594,79,
T. Souček,West Ham United,46,84,20,101,10,2570,176,
M. Jensen,Brentford,14,13,8,8,1,857,41,
V. Janelt,Brentford,38,48,27,19,3,2287,75,
J. Aribo,Leicester City,47,28,20,26,6,2033,121,
B. Kamara,Aston Villa,50,47,19,21,3,1733,115,
Rodri,Manchester City,2,1,1,1,0,80,5,
H. Choudhury,Leicester City,1,2,5,0,0,130,4,
M. Mount,Manchester United,15,4,4,4,5,625,29,
D. Dalot,Manchester United,68,64,37,38,7,2813,142,
Y. Bissouma,Tottenham Hotspur,49,35,18,7,4,1430,81,
J. Bellegarde,Wolverhampton,39,17,10,10,6,1706,110,
M. Ugarte,Manchester United,77,15,27,18,7,1796,146,
J. Sancho,Manchester United,13,7,2,6,12,1773,75,
D. Rice,Arsenal,53,50,25,38,15,2833,120,
P. Foden,Manchester City,13,7,9,3,18,1785,64,
O. Skipp,Leicester City,21,10,11,12,2,1143,53,
K. Dewsbury-Hall,Everton,8,7,2,0,1,292,16,
C. Gakpo,Liverpool,28,16,12,17,10,1946,107,
S. Longstaff,Leeds United,27,8,7,9,3,837,42,
B. Guimarães,Newcastle United,83,40,29,19,9,3282,243,
D. Szoboszlai,Liverpool,38,14,9,19,25,2496,102,
D. Muñoz,Crystal Palace,123,94,44,58,6,3233,221,
P. Neto,Chelsea,23,4,9,12,26,2281,101,
F. Downes,Southampton,49,50,32,17,4,2161,113,
F. Onyeka,Brentford,0,0,0,0,0,28,0,
J. Willock,Newcastle United,30,5,6,5,6,1097,60,
S. Tonali,Newcastle United,51,30,34,12,13,2631,132,
A. Mac Allister,Liverpool,95,29,22,19,13,2607,170,
R. Gravenberch,Liverpool,69,57,60,26,7,3168,184,
M. Kudus,Tottenham Hotspur,38,8,4,11,29,2601,205,
C. Doucouré,Crystal Palace,16,10,11,5,5,462,30,
M. Damsgaard,Brentford,83,29,27,12,15,2926,172,
E. Maghoma,Norwich City,2,1,1,1,1,121,10,
I. Ndiaye,Everton,53,15,20,8,10,2440,179,
C. Summerville,West Ham United,13,6,0,4,6,791,53,
A. Onana,Aston Villa,55,40,26,33,4,1631,131,
B. Mbeumo,Manchester United,49,51,14,35,21,3415,179,
C. Jones,Liverpool,39,8,7,14,15,1735,90,
J. Garner,Everton,47,34,23,11,2,1599,80,
D. Kulusevski,Tottenham Hotspur,45,9,13,10,19,2391,131,
R. Aït Nouri,Manchester City,89,66,26,22,15,3128,220,
A. Semenyo,Manchester City,55,34,11,67,44,3209,227,
J. Doku,Manchester City,31,2,4,0,13,1533,171,
D. McNeil,Everton,13,2,6,3,6,1376,58,
K. Mitoma,Brighton & Hove Albion,45,7,14,27,12,2608,147,
G. Rutter,Brighton & Hove Albion,39,12,10,25,20,1673,136,
M. Rogers,Aston Villa,43,18,6,13,21,3129,173,
N. González,Manchester City,16,21,8,16,2,763,38,
H. Elliott,Aston Villa,5,3,1,1,4,399,11,
M. Mudryk,Chelsea,2,1,0,2,0,158,9,
M. Wieffer,Brighton & Hove Albion,58,25,17,34,1,1045,107,
N. Madueke,Arsenal,25,10,10,11,23,2060,106,
E. Fernández,Chelsea,65,20,13,15,14,2946,159,
J. Ramsey,Newcastle United,30,8,8,7,7,1628,90,
A. Elanga,Newcastle United,19,20,6,24,7,2507,115,
C. Palmer,Chelsea,34,19,11,2,40,3195,147,
M. Caicedo,Chelsea,114,53,49,36,9,3356,236,
T. Mitchell,Crystal Palace,91,95,19,20,3,3102,152,
P. Matar Sarr,Tottenham Hotspur,49,24,30,34,7,1913,129,
R. Gomes,Wolverhampton,23,16,7,8,2,823,42,
K. Schade,Brentford,39,30,5,90,12,2309,197,
J. Gomes,Wolverhampton,116,32,25,11,11,2987,204,
Y. Yarmolyuk,Brentford,49,31,13,8,4,1462,83,
André,Wolverhampton,91,29,37,2,2,2495,143,
Y. Ayari,Brighton & Hove Albion,59,25,20,16,6,1990,119,
Savinho,Manchester City,23,9,6,1,18,1770,104,
L. Ugochukwu,Burnley,50,23,14,21,4,1664,105,
S. Edozie,Southampton,3,0,0,0,0,64,6,
D. Gómez,Brighton & Hove Albion,21,10,8,10,2,512,40,
R. Lavia,Chelsea,22,10,16,12,2,801,51,
J. Devenny,Crystal Palace,17,11,0,2,3,519,21,
T. Collyer,Manchester United,12,3,2,3,0,175,20,
T. Iroegbunam,Everton,29,11,16,11,2,582,60,
A. Fatawu Issahaku,Leicester City,21,12,4,14,2,577,84,
A. Wharton,Crystal Palace,34,27,20,7,3,1336,64,
F. Buonanotte,Brighton & Hove Albion,53,12,12,18,9,1529,134,
V. Barco,Brighton & Hove Albion,0,0,0,0,0,0,0,
K. Mainoo,Manchester United,46,12,19,19,8,1656,109,
M. Fernandes,West Ham United,89,30,28,15,20,2919,208,
T. Dibling,Everton,34,16,8,10,8,1883,139,
K. Rodney,Crystal Palace,0,0,0,0,0,0,0,
C. Baleba,Brighton & Hove Albion,79,43,46,39,18,2670,199,
L. Bergvall,Tottenham Hotspur,39,21,24,9,5,1219,86,
P. Dorgu,Manchester United,31,19,4,16,2,842,77,
Y. Minteh,Brighton & Hove Albion,48,28,11,18,7,1854,122,
L. Miley,Newcastle United,14,5,2,6,1,324,22,
M. Golding,Leicester City,0,0,0,0,0,1,0,
T. George,Everton,2,1,2,0,1,184,5,
C. Olusesi,Tottenham Hotspur,0,0,0,0,0,0,0,
S. Amo-Ameyaw,Southampton,1,0,0,0,1,26,3,
T. Nyoni,Liverpool,0,0,0,0,0,0,0,
C. Echeverri,Manchester City,1,0,0,0,0,11,1,
H. Armstrong,Everton,0,1,0,0,0,47,3,
HHH. Howell,Brighton & Hove Albion,1,0,0,0,0,14,1,
