Name,Team,App,Mins,ID,Assists,Shots,shotsOnTarget,Goals,xG,npxG,xA,Tackles,Clearances,Interceptions,aerialsWon,Blocks,duelsWon,Passes,accuratePasses,longBalls,Crosses,bigChancesCreated,keyPasses,Position
C. Robertson,Dundee FC,20,1567,2824,0,8.0,4,0,0.0,,0.0,19,136,9,67,2,93,597,440,125,4,0,4,Defender
J. Tavernier,Rangers,31,2518,2825,8,51.0,17,4,0.0,,0.0,55,84,39,54,13,142,1656,1313,218,220,14,66,Defender
M. Fraser,St. Mirren,35,3140,2826,3,9.0,2,0,0.0,,0.0,58,137,39,52,2,152,1127,790,239,43,3,22,Defender
J. Obita,Hibernian,33,1897,2827,5,5.0,1,0,0.0,,0.0,26,73,15,37,2,81,770,556,160,99,8,22,Defender
S. Kingsley,Heart of Midlothian,18,590,2828,0,4.0,1,1,0.0,,0.0,8,19,5,7,0,20,336,285,46,21,1,1,Defender
K. Holt,Dundee United,24,1908,2829,1,24.0,7,2,0.0,,0.0,39,173,20,117,7,163,791,574,172,9,2,12,Defender
S. O'Donnell,Motherwell,30,1990,2830,1,10.0,3,1,0.0,,0.0,43,92,17,53,2,110,990,761,199,47,6,15,Defender
SFS. Findlay,Heart of Midlothian,14,966,2831,0,6.0,2,0,0.0,,0.0,14,62,8,29,1,61,311,230,77,2,1,2,Defender
P. McGinn,Motherwell,12,625,2832,0,3.0,1,1,0.0,,0.0,9,23,5,9,0,28,234,177,48,6,1,1,Defender
D. Gallagher,Ross County,32,2711,2833,2,10.0,3,1,0.0,,0.0,37,247,13,150,2,194,1131,859,270,4,0,7,Defender
D. Wright,Dundee FC,32,2621,2834,1,17.0,6,1,0.0,,0.0,44,77,22,33,5,133,1345,1059,168,51,2,30,Defender
J. Souttar,Rangers,22,1849,2835,0,12.0,5,1,0.0,,0.0,18,119,12,66,3,103,1536,1398,162,1,0,7,Defender
J. McGhee,Motherwell,25,1758,2836,0,19.0,7,4,0.0,,0.0,27,106,15,70,2,109,635,470,63,17,1,10,Defender
L. Gordon,Motherwell,28,2317,2837,1,17.0,7,1,0.0,,0.0,27,182,28,135,3,174,820,601,184,2,1,5,Defender
F. Kent,Heart of Midlothian,17,1295,2838,0,11.0,2,2,0.0,,0.0,15,74,11,56,5,84,914,798,124,0,0,5,Defender
B. Mikulić,St. Johnstone,14,1166,2839,0,5.0,2,2,0.0,,0.0,13,111,9,36,1,50,746,632,101,1,0,2,Defender
J. McCart,Heart of Midlothian,10,811,2840,0,10.0,3,1,0.0,,0.0,6,97,7,67,1,81,478,358,85,0,0,1,Defender
C. Halkett,Heart of Midlothian,29,999,2841,0,10.0,5,1,0.0,,0.0,15,79,11,78,1,101,734,645,66,0,0,4,Defender
N. Devlin,Aberdeen,33,2239,2842,0,25.0,8,4,0.0,,0.0,35,82,16,46,8,122,865,630,138,43,0,7,Defender
A. Wright,Ross County,35,3150,2843,1,19.0,7,4,0.0,,0.0,88,221,64,111,5,229,947,696,127,29,0,14,Defender
D. Sterling,Rangers,20,1149,2844,0,5.0,1,0,0.0,,0.0,25,50,14,25,0,64,665,586,57,11,1,3,Defender
M. Knoester,Aberdeen,10,867,2845,1,12.0,1,0,0.0,,0.0,21,82,10,35,2,58,487,391,93,7,1,2,Defender
C. Carter-Vickers,Celtic,29,2438,2846,0,10.0,2,1,0.0,,0.0,27,139,33,117,0,160,2989,2835,109,0,1,5,Defender
A. Trusty,Celtic,30,1827,2847,1,15.0,3,1,0.0,,0.0,35,77,14,95,4,148,2304,2162,89,1,0,5,Defender
A. Iacovitti,Ross County,16,793,2848,0,5.0,2,1,0.0,,0.0,10,54,12,37,1,52,283,172,61,4,0,3,Defender
A. Ralston,Celtic,35,625,2849,2,4.0,2,2,0.0,,0.0,19,18,8,10,0,44,616,558,51,36,2,10,Defender
J. Koutroumbis,Motherwell,20,283,2850,0,1.0,0,0,0.0,,0.0,6,14,2,4,1,14,127,93,21,2,0,4,Defender
H. Milne,Heart of Midlothian,9,239,2851,0,2.0,0,0,0.0,,0.0,7,11,1,1,1,13,106,89,12,4,0,2,Defender
L. Scales,Celtic,32,1734,2852,3,15.0,5,2,0.0,,0.0,19,101,22,124,4,161,2265,2082,91,1,1,9,Defender
K. Tobers,Aberdeen,9,709,2853,0,5.0,5,0,0.0,,0.0,10,63,3,24,0,42,444,395,59,0,0,0,Defender
A. Gogić,St. Mirren,34,2825,2854,1,14.0,3,1,0.0,,0.0,39,220,41,71,1,131,963,711,261,3,0,5,Defender
S. Welsh,Celtic,8,90,2855,0,1.0,0,0,0.0,,0.0,0,10,0,3,0,4,151,145,2,0,0,2,Defender
R. Bushiri Kiranga,Hibernian,35,2114,2856,1,12.0,3,3,0.0,,0.0,17,168,18,54,3,84,793,680,104,0,0,6,Defender
J. Iredale,Hibernian,30,2002,2857,1,4.0,1,1,0.0,,0.0,48,153,39,53,1,111,889,651,230,11,2,9,Defender
M. Steinwender,Heart of Midlothian,11,712,2858,0,5.0,1,1,0.0,,0.0,8,65,10,28,2,45,447,376,62,0,0,1,Defender
W. O'Hora,Hibernian,35,2303,2859,0,13.0,3,1,0.0,,0.0,25,180,27,109,6,147,985,771,147,2,2,12,Defender
A. Johnston,Celtic,33,2540,2860,9,18.0,9,4,0.0,,0.0,46,67,14,33,4,112,2132,1851,133,98,14,46,Defender
R. Astley,Dundee FC,33,1941,2861,2,9.0,1,0,0.0,,0.0,37,122,19,62,3,105,750,539,133,10,1,4,Defender
G. Molloy,Aberdeen,20,1698,2862,0,4.0,0,0,0.0,,0.0,22,141,33,66,2,106,1107,931,134,4,0,0,Defender
R. Graham,Dundee United,25,1174,2863,0,13.0,5,4,0.0,,0.0,17,122,7,68,2,96,504,343,143,7,0,3,Defender
B. Koumetio,Dundee FC,23,1225,2864,0,10.0,1,0,0.0,,0.0,20,101,21,86,0,122,534,368,98,0,0,10,Defender
I. Samuels,Dundee FC,13,90,2865,0,,0,0,0.0,,0.0,1,1,1,1,0,5,40,31,4,6,0,2,Defender
T. Sparrow,Motherwell,31,1636,2866,1,18.0,6,4,0.0,,0.0,38,41,15,27,2,82,438,329,36,30,3,14,Defender
A. Jensen,Aberdeen,13,1098,2867,3,7.0,1,0,0.0,,0.0,21,28,7,12,1,49,535,447,27,50,2,16,Defender
A. Montgomery,Celtic,1,0,2868,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
DMD. Murray,Celtic,3,0,2869,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
A. Donnelly,Dundee FC,13,876,2870,0,8.0,2,1,0.0,,0.0,12,71,8,32,4,52,309,179,102,9,1,7,Defender
J. Milne,Aberdeen,22,174,2871,0,,0,0,0.0,,0.0,11,16,3,6,0,18,72,59,9,3,0,1,Defender
R. Fraser,Rangers,8,16,2872,0,,0,0,0.0,,0.0,0,0,0,0,0,2,9,9,1,2,0,0,Defender
KMK. Megwa,Hibernian,3,0,2873,0,,0,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,Defender
Z. Mitchell,Hibernian,8,543,2874,0,,0,0,0.0,,0.0,11,43,5,17,0,37,336,285,52,2,0,0,Defender
LGL. Graham,Dundee FC,9,270,2875,0,2.0,0,0,0.0,,0.0,4,20,4,14,1,22,114,73,23,3,0,0,Defender
